model,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,ngdp_rpch,0.770655941637232,0.301725884794733,0.149916247390323,0.319013809452176,-0.173913043478261,,,0.352173913043478,0.6
bvar_ciss,pcpi_pch,0.373384619284468,0.223502878154643,0.060090095859377,0.0897916452704474,-0.0130434782608696,,,0.526086956521739,0.747826086956522
bvar_qu,ngdp_rpch,0.758724565975192,0.275991443300475,0.0312107516005299,0.451522371074187,-0.189583333333333,,,0.366666666666667,0.554166666666667
bvar_qu,pcpi_pch,0.441793828840553,0.342165636175101,0.0318998654002464,0.0677283272652055,0.075,,,0.6125,0.8375
