model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,DEU,ngdp_rpch,0,0.454122420194486,0.0754714742636355,0.161988033522859,0.216662912407991,-0.316666666666667,,,0.25,0.416666666666667
bvar_ciss,DEU,ngdp_rpch,0.5,0.869403877583936,0.303035924701958,0.446764957462473,0.119602995419505,0.0166666666666666,,,0.583333333333333,0.75
bvar_ciss,DEU,ngdp_rpch,1,0.949517448435442,0.52418458802003,0.138283184113979,0.287049676301432,0.0318181818181818,,,0.545454545454545,0.818181818181818
bvar_ciss,DEU,ngdp_rpch,1.5,1.93581755230252,0.655266732505766,0.794360785733087,0.48619003406367,-0.0136363636363637,,,0.454545454545455,0.818181818181818
bvar_ciss,DEU,pcpi_pch,0,0.117253869237313,0.0345472073181458,0.0679879950340758,0.014718666885091,-0.358333333333333,,,0.166666666666667,0.416666666666667
bvar_ciss,DEU,pcpi_pch,0.5,0.214832113288689,0.175157912633337,0.00233420052787833,0.0373400001274738,0.183333333333333,,,0.75,0.916666666666667
bvar_ciss,DEU,pcpi_pch,1,0.465840146883409,0.309759636706656,0.0256082835928996,0.130472226583853,0.122727272727273,,,0.636363636363636,0.909090909090909
bvar_ciss,DEU,pcpi_pch,1.5,0.511204850438321,0.399017522605231,0,0.11218732783309,0.168181818181818,,,0.727272727272727,0.909090909090909
bvar_ciss,FRA,ngdp_rpch,0,0.31526962294315,0.0328044522480404,0.0275268199109383,0.254938350784172,-0.608333333333333,0.816666666666667,,0,0.0833333333333333
bvar_ciss,FRA,ngdp_rpch,0.5,0.548408650437324,0.164064933898306,0.181981727883346,0.202361988655671,-0.316666666666667,,,0.0833333333333333,0.583333333333333
bvar_ciss,FRA,ngdp_rpch,1,0.627713366849402,0.322186640659453,0.00603003075065591,0.299496695439293,-0.104545454545455,,,0.363636363636364,0.727272727272727
bvar_ciss,FRA,ngdp_rpch,1.5,1.40348864330872,0.44884153930206,0.39004862458795,0.564598479418707,-0.195454545454545,,,0.363636363636364,0.545454545454545
bvar_ciss,FRA,pcpi_pch,0,0.0922759858963962,0.0296009073928767,0.0626750785035195,0,-0.358333333333333,,,0.166666666666667,0.416666666666667
bvar_ciss,FRA,pcpi_pch,0.5,0.210661259608378,0.126702178392646,0.0839590812157321,0,0.0166666666666666,,,0.5,0.833333333333333
bvar_ciss,FRA,pcpi_pch,1,0.460111507092598,0.225151120132839,0.0835797992226354,0.151380587737124,0.0318181818181818,,,0.545454545454545,0.818181818181818
bvar_ciss,FRA,pcpi_pch,1.5,0.45782264908304,0.274784104897591,0.0706336474549459,0.112404896730503,0.122727272727273,,,0.727272727272727,0.818181818181818
bvar_ciss,GBR,ngdp_rpch,0,0.609146503805718,0.0318418294921362,0.181025109670198,0.396279564643384,-0.608333333333333,0.15,,0,0.0833333333333333
bvar_ciss,GBR,ngdp_rpch,0.5,0.542326173267128,0.177501067422799,0.071826875646745,0.292998230197584,-0.358333333333333,,,0.166666666666667,0.416666666666667
bvar_ciss,GBR,ngdp_rpch,1,0.528259044328949,0.366913201505785,0.0254396128439895,0.135906229979175,0.0318181818181818,,,0.545454545454545,0.818181818181818
bvar_ciss,GBR,ngdp_rpch,1.5,1.28827610897527,0.500000126597737,0.119432791964881,0.668843190412648,-0.0136363636363637,,,0.454545454545455,0.818181818181818
bvar_ciss,GBR,pcpi_pch,0,0.246095677764839,0.0506847217137159,0.178189532602108,0.0172214234490158,-0.233333333333333,,,0.333333333333333,0.5
bvar_ciss,GBR,pcpi_pch,0.5,0.343825066039374,0.216866140429783,0.0994136035841637,0.0275453220254267,-0.0666666666666667,,,0.333333333333333,0.833333333333333
bvar_ciss,GBR,pcpi_pch,1,0.771124804728408,0.377606427687818,0.101651950851237,0.291866426189353,0.0318181818181818,,,0.636363636363636,0.727272727272727
