model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,expanding window,ngdp_rpch,0.660307262620504,0.341903374789703,0.054099823635122,0.264304064195679,0.00922619047619045,,,0.541666666666667,0.776785714285714
IMF,absolute,expanding window,pcpi_pch,0.337462385217152,0.172715542817159,0.104582899010822,0.0601639433891709,-0.0517857142857143,,,0.443452380952381,0.752976190476191
IMF,absolute,leave-one-out,ngdp_rpch,0.598496177614753,0.315906289854548,0.0716873393820045,0.2109025483782,-0.00808270676691732,,,0.5,0.783834586466166
IMF,absolute,leave-one-out,pcpi_pch,0.31441701285248,0.19812957278765,0.0634232369408763,0.0528642031239544,0.0116541353383458,,,0.507518796992481,0.81578947368421
IMF,absolute,rolling window,ngdp_rpch,0.726910904913147,0.314581741105965,0.0718137348687798,0.340515428938402,-0.062202380952381,,,0.494047619047619,0.681547619047619
IMF,absolute,rolling window,pcpi_pch,0.357529681018735,0.173217856299808,0.107713793134101,0.0765980315848266,-0.0681547619047619,,,0.488095238095238,0.675595238095238
IMF,directional,expanding window,ngdp_rpch,0.634089179747254,0.290360583120159,0.136890600390158,0.206837996236937,-0.0488095238095238,,,0.473214285714286,0.729166666666667
IMF,directional,expanding window,pcpi_pch,0.354940479600641,0.147687640349541,0.144725456775277,0.0625273824758234,-0.121726190476191,,,0.386904761904762,0.669642857142857
IMF,directional,leave-one-out,ngdp_rpch,0.593930487191813,0.287618533602193,0.145832362628144,0.160479590961476,-0.0419172932330827,,,0.456766917293233,0.759398496240602
IMF,directional,leave-one-out,pcpi_pch,0.314961171973397,0.187864521596587,0.0576201413924859,0.0694765089843233,-0.00338345864661656,,,0.496240601503759,0.796992481203008
IMF,directional,rolling window,ngdp_rpch,0.799624745660051,0.209047233543237,0.202616371057676,0.387961141059139,-0.24375,,,0.324404761904762,0.488095238095238
IMF,directional,rolling window,pcpi_pch,0.398984229263359,0.111049601094388,0.151089653714016,0.136844974454955,-0.258630952380952,,,0.303571428571429,0.479166666666667
ar,absolute,expanding window,ngdp_rpch,0.859406756367812,0.435223645116247,0.01404896075687,0.410134150494695,-0.0398809523809524,,,0.482142857142857,0.738095238095238
ar,absolute,expanding window,pcpi_pch,0.545629823499173,0.391105546558032,0.020853084247497,0.133671192693644,0.0389880952380952,,,0.592261904761905,0.785714285714286
ar,absolute,leave-one-out,ngdp_rpch,0.755448007321643,0.424020539185328,0.0120101475039639,0.319417320632351,0.00789473684210524,,,0.516917293233083,0.798872180451128
ar,absolute,leave-one-out,pcpi_pch,0.550076696350651,0.376562339839672,0.0131061033293318,0.160408253181646,0.00977443609022554,,,0.526315789473684,0.793233082706767
ar,absolute,rolling window,ngdp_rpch,0.921938022036686,0.412471774257795,0.0188955613054989,0.490570686473393,-0.0666666666666667,,,0.479166666666667,0.6875
ar,absolute,rolling window,pcpi_pch,0.548708567151779,0.357251776784194,0.0215010956066536,0.169955694760932,-0.00416666666666669,,,0.547619047619048,0.744047619047619
ar,directional,expanding window,ngdp_rpch,0.675260920099574,0.25975187202596,0.127152525261569,0.288356522812045,-0.108333333333333,,,0.407738095238095,0.675595238095238
ar,directional,expanding window,pcpi_pch,0.387413313951497,0.150623054586414,0.137933636673264,0.0988566226918187,-0.138095238095238,,,0.354166666666667,0.669642857142857
ar,directional,leave-one-out,ngdp_rpch,0.584895326455761,0.276508275150973,0.119562604131332,0.188824447173455,-0.0541353383458647,,,0.441729323308271,0.75
ar,directional,leave-one-out,pcpi_pch,0.34712969730668,0.196191778996371,0.0513463667078631,0.0995915516024457,0.00601503759398494,,,0.518796992481203,0.793233082706767
