model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,ngdp_rpch,0.746034982611436,0.210261160156425,0.18114214890798,0.354631673547031,-0.221428571428571,,,0.300595238095238,0.556547619047619
IMF,directional,rolling window,pcpi_pch,0.387930968428041,0.11172112307917,0.149494509997831,0.126715335351039,-0.252678571428572,,,0.297619047619048,0.49702380952381
ar,directional,rolling window,ngdp_rpch,0.794886064154784,0.19581343902784,0.174105982169261,0.424966642957683,-0.234821428571429,,,0.31547619047619,0.514880952380952
ar,directional,rolling window,pcpi_pch,0.407786231559122,0.111690123176765,0.148910024670388,0.14718608371197,-0.242261904761905,,,0.300595238095238,0.514880952380952
bvar,directional,rolling window,ngdp_rpch,0.80435507749651,0.198107506547923,0.19499621818616,0.411251352762427,-0.248214285714286,,,0.306547619047619,0.49702380952381
bvar,directional,rolling window,pcpi_pch,0.435568046479686,0.116500012734852,0.188064962800125,0.131003070944709,-0.260119047619048,,,0.294642857142857,0.485119047619048
