model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,ngdp_rpch,0.699019076181394,0.22447850665361,0.159682473280546,0.314858096247238,-0.199107142857143,,,0.3125,0.589285714285714
IMF,directional,rolling window,pcpi_pch,0.374699754066779,0.118711823090246,0.141601459041758,0.114386471934775,-0.2125,,,0.333333333333333,0.541666666666667
ar,directional,rolling window,ngdp_rpch,0.750123248189096,0.206739698201356,0.151752494289785,0.391631055697955,-0.197619047619048,,,0.333333333333333,0.571428571428571
ar,directional,rolling window,pcpi_pch,0.396831767360948,0.118807262417148,0.145151120295308,0.132873384648493,-0.2125,,,0.327380952380952,0.547619047619048
bvar,directional,rolling window,ngdp_rpch,0.757736587507513,0.208958003911725,0.172533929950695,0.376244653645093,-0.205059523809524,,,0.339285714285714,0.550595238095238
bvar,directional,rolling window,pcpi_pch,0.429368376960415,0.124835909665433,0.185554239102394,0.118978228192588,-0.234821428571429,,,0.31547619047619,0.514880952380952
