model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,ngdp_rpch,0.699029605081828,0.244714840688928,0.164794023584219,0.289520740808681,-0.164880952380952,,,0.357142857142857,0.613095238095238
IMF,directional,rolling window,pcpi_pch,0.366013327203096,0.126287907273829,0.143706900822867,0.0960185191063998,-0.161904761904762,,,0.37202380952381,0.604166666666667
ar,directional,rolling window,ngdp_rpch,0.7302902632011,0.219630998289673,0.143834795658788,0.36682446925264,-0.17827380952381,,,0.354166666666667,0.589285714285714
ar,directional,rolling window,pcpi_pch,0.394540469974768,0.125645527578909,0.149128458655925,0.119766483739934,-0.202083333333333,,,0.318452380952381,0.577380952380952
bvar,directional,rolling window,ngdp_rpch,0.737084480270928,0.223142758337584,0.166867124100677,0.347074597832667,-0.172321428571429,,,0.366071428571429,0.589285714285714
bvar,directional,rolling window,pcpi_pch,0.427961616711232,0.131618680347629,0.192191818519448,0.104151117844155,-0.221428571428571,,,0.318452380952381,0.538690476190476
