ccode,value,target_year,quarter
KOR,2.810896,1985,1
KOR,2.408893,1985,2
KOR,1.137674,1985,3
KOR,3.048657,1985,4
KOR,1.92543,1986,1
KOR,3.897173,1986,2
KOR,4.317175,1986,3
KOR,1.559826,1986,4
KOR,3.211522,1987,1
KOR,4.953212,1987,2
KOR,0.975698,1987,3
KOR,2.035329,1987,4
KOR,7.703239,1988,1
KOR,-2.160737,1988,2
KOR,3.145655,1988,3
KOR,3.254636,1988,4
KOR,0.043278,1989,1
KOR,1.460586,1989,2
KOR,2.564383,1989,3
KOR,4.129776,1989,4
KOR,1.018551,1990,1
KOR,2.230622,1990,2
KOR,3.232928,1990,3
KOR,2.033266,1990,4
KOR,3.750176,1991,1
KOR,1.661478,1991,2
KOR,2.145297,1991,3
KOR,2.503572,1991,4
KOR,1.780393,1992,1
KOR,0.701695,1992,2
KOR,0.067624,1992,3
KOR,1.560678,1992,4
KOR,1.990658,1993,1
KOR,2.565332,1993,2
KOR,1.843683,1993,3
KOR,1.913664,1993,4
KOR,2.916856,1994,1
KOR,1.631592,1994,2
KOR,1.682199111,1994,3
KOR,3.930438208,1994,4
KOR,2.090489,1995,1
KOR,2.021825,1995,2
KOR,2.075873,1995,3
KOR,1.870552,1995,4
KOR,1.908135,1996,1
KOR,2.020152,1996,2
KOR,1.758931,1996,3
KOR,1.691579,1996,4
KOR,0.468064,1997,1
KOR,3.550553,1997,2
KOR,0.791744,1997,3
KOR,-0.455994,1997,4
KOR,-6.818022,1998,1
KOR,-0.807932,1998,2
KOR,1.747152,1998,3
KOR,2.49605,1998,4
KOR,3.034633,1999,1
KOR,4.383165,1999,2
KOR,2.781171,1999,3
KOR,2.886255,1999,4
KOR,1.895052,2000,1
KOR,1.33251,2000,2
KOR,2.754591,2000,3
KOR,-0.324458,2000,4
KOR,1.225555,2001,1
KOR,1.298881,2001,2
KOR,1.350194,2001,3
KOR,1.762586,2001,4
KOR,2.544482,2002,1
KOR,1.812135,2002,2
KOR,2.021813,2002,3
KOR,1.097354,2002,4
KOR,-0.65916,2003,1
KOR,-0.154147,2003,2
KOR,1.93267,2003,3
KOR,2.63948,2003,4
KOR,1.254801,2004,1
KOR,0.763499,2004,2
KOR,0.405586,2004,3
KOR,0.757934,2004,4
KOR,0.850903,2005,1
KOR,1.887063,2005,2
KOR,1.505331,2005,3
KOR,1.012464666,2005,4
KOR,1.639117138,2006,1
KOR,0.730602,2006,2
KOR,1.613955,2006,3
KOR,0.779358,2006,4
KOR,1.674044,2007,1
KOR,1.730291,2007,2
KOR,1.173831,2007,3
KOR,2.156949,2007,4
KOR,0.402395,2008,1
KOR,0.523473,2008,2
KOR,0.815881,2008,3
KOR,-3.283889,2008,4
KOR,0.089987,2009,1
KOR,1.332778,2009,2
KOR,2.992675,2009,3
KOR,0.746868,2009,4
KOR,1.959077,2010,1
KOR,1.899801,2010,2
KOR,1.155215,2010,3
KOR,1.219319,2010,4
KOR,0.933131,2011,1
KOR,0.490791,2011,2
KOR,0.526324,2011,3
KOR,0.472298,2011,4
KOR,0.865665953,2012,1
KOR,0.565974618,2012,2
KOR,0.45177694,2012,3
KOR,0.502248725,2012,4
KOR,0.859424906,2013,1
KOR,1.166152951,2013,2
KOR,0.856151759,2013,3
KOR,0.874915753,2013,4
KOR,0.856974689,2014,1
KOR,0.87785841,2014,2
KOR,0.311317266,2014,3
KOR,0.490638748,2014,4
KOR,0.77536404,2015,1
KOR,0.483265163,2015,2
KOR,1.44296871,2015,3
KOR,0.703947532,2015,4
KOR,0.285955753,2016,1
KOR,1.206465365,2016,2
KOR,0.415940623,2016,3
KOR,0.606194491,2016,4
KOR,0.984785463,2017,1
KOR,0.714647727,2017,2
KOR,1.441838418,2017,3
KOR,-0.319868975,2017,4
KOR,1.205851771,2018,1
KOR,0.636597085,2018,2
KOR,0.730848332,2018,3
KOR,0.700312956,2018,4
KOR,-0.198579317,2019,1
KOR,1.059905534,2019,2
KOR,0.527437881,2019,3
KOR,1.271115777,2019,4
KOR,-1.337455717,2020,1
KOR,-3.026935758,2020,2
KOR,2.347785538,2020,3
KOR,1.213742846,2020,4
KOR,1.724067239,2021,1
KOR,0.833347929,2021,2
KOR,0.213238983,2021,3
KOR,1.33777574,2021,4
KOR,0.633967885,2022,1
KOR,0.739266758,2022,2
KOR,0.322829368,2022,3
KOR,-0.405779059,2022,4
KOR,0.285015458,2023,1
AUS,1.440907407,1985,1
AUS,2.20258129,1985,2
AUS,1.331002293,1985,3
AUS,-0.288095316,1985,4
AUS,0.661649881,1986,1
AUS,-0.184325321,1986,2
AUS,0.285392455,1986,3
AUS,1.653481653,1986,4
AUS,0.9800953,1987,1
AUS,1.586600173,1987,2
AUS,1.813492968,1987,3
AUS,2.0197345,1987,4
AUS,0.427258813,1988,1
AUS,0.066521709,1988,2
AUS,0.827991983,1988,3
AUS,1.569073169,1988,4
AUS,1.032311195,1989,1
AUS,2.119763522,1989,2
AUS,0.819787588,1989,3
AUS,-0.272437689,1989,4
AUS,0.82701746,1990,1
AUS,0.110229073,1990,2
AUS,-0.559328621,1990,3
AUS,0.597367674,1990,4
AUS,-1.2972478,1991,1
AUS,-0.174302556,1991,2
AUS,0.452006571,1991,3
AUS,0.053735053,1991,4
AUS,0.792516626,1992,1
AUS,0.70612765,1992,2
AUS,0.993793392,1992,3
AUS,2.085108128,1992,4
AUS,0.691252466,1993,1
AUS,0.581470073,1993,2
AUS,0.127783139,1993,3
AUS,1.839049099,1993,4
AUS,1.635582674,1994,1
AUS,1.188770456,1994,2
AUS,0.778161069,1994,3
AUS,1.055664189,1994,4
AUS,0.012789781,1995,1
AUS,0.419946207,1995,2
AUS,2.261019595,1995,3
AUS,-0.018880506,1995,4
AUS,1.647735719,1996,1
AUS,0.636789097,1996,2
AUS,0.799296148,1996,3
AUS,0.931677019,1996,4
AUS,0.629668951,1997,1
AUS,2.984776871,1997,2
AUS,0.127777198,1997,3
AUS,1.454726746,1997,4
AUS,0.650191244,1998,1
AUS,0.930912112,1998,2
AUS,1.903854276,1998,3
AUS,1.515103209,1998,4
AUS,0.730367661,1999,1
AUS,0.324602215,1999,2
AUS,1.15815717,1999,3
AUS,1.697206368,1999,4
AUS,0.402115976,2000,1
AUS,0.918688696,2000,2
AUS,0.277602942,2000,3
AUS,-0.370654228,2000,4
AUS,1.036188682,2001,1
AUS,0.814870484,2001,2
AUS,1.174176579,2001,3
AUS,1.2174993,2001,4
AUS,0.753055613,2002,1
AUS,1.727695502,2002,2
AUS,0.299910058,2002,3
AUS,0.815715668,2002,4
AUS,0.188630055,2003,1
AUS,0.424919639,2003,2
AUS,1.742176211,2003,3
AUS,1.658112436,2003,4
AUS,0.765133943,2004,1
AUS,0.674207258,2004,2
AUS,0.766732135,2004,3
AUS,0.747923316,2004,4
AUS,0.758111276,2005,1
AUS,0.450194564,2005,2
AUS,1.127087133,2005,3
AUS,0.77144399,2005,4
AUS,0.10099889,2006,1
AUS,0.229512923,2006,2
AUS,1.48924755,2006,3
AUS,1.282096698,2006,4
AUS,1.382902589,2007,1
AUS,0.66609699,2007,2
AUS,1.125926629,2007,3
AUS,0.409537986,2007,4
AUS,1.005519583,2008,1
AUS,0.329523168,2008,2
AUS,0.677633484,2008,3
AUS,-0.413004423,2008,4
AUS,0.92244558,2009,1
AUS,0.725388076,2009,2
AUS,0.337584773,2009,3
AUS,0.764588432,2009,4
AUS,0.430360424,2010,1
AUS,0.647849249,2010,2
AUS,0.681557128,2010,3
AUS,0.842575854,2010,4
AUS,-0.301849129,2011,1
AUS,1.27398595,2011,2
AUS,1.36256976,2011,3
AUS,1.071331353,2011,4
AUS,0.969341274,2012,1
AUS,0.729246399,2012,2
AUS,0.57291019,2012,3
AUS,0.476002949,2012,4
AUS,0.464405103,2013,1
AUS,0.390129718,2013,2
AUS,0.801628562,2013,3
AUS,0.804219237,2013,4
AUS,0.774456069,2014,1
AUS,0.469751863,2014,2
AUS,0.433295926,2014,3
AUS,0.37194962,2014,4
AUS,0.92871568,2015,1
AUS,0.082886523,2015,2
AUS,1.014519009,2015,3
AUS,0.614468841,2015,4
AUS,0.904190981,2016,1
AUS,0.62711483,2016,2
AUS,0.075654189,2016,3
AUS,1.071096679,2016,4
AUS,0.319432047,2017,1
AUS,0.605729821,2017,2
AUS,0.934344106,2017,3
AUS,0.48536108,2017,4
AUS,0.979355224,2018,1
AUS,0.731190533,2018,2
AUS,0.440927257,2018,3
AUS,0.235301091,2018,4
AUS,0.541636855,2019,1
AUS,0.439326484,2019,2
AUS,0.699340282,2019,3
AUS,0.517131432,2019,4
AUS,-0.206713961,2020,1
AUS,-6.693087597,2020,2
AUS,3.78768268,2020,3
AUS,3.354144593,2020,4
AUS,2.045634878,2021,1
AUS,0.777937746,2021,2
AUS,-2.119060089,2021,3
AUS,3.877629694,2021,4
AUS,0.580481852,2022,1
AUS,0.825496592,2022,2
AUS,0.612460401,2022,3
AUS,0.577788876,2022,4
AUS,0.23317027,2023,1
ISL,0.588964392,1985,1
ISL,0.564402476,1985,2
ISL,0.742035808,1985,3
ISL,1.061648587,1985,4
ISL,1.461927375,1986,1
ISL,1.905118594,1986,2
ISL,2.438086319,1986,3
ISL,2.747322694,1986,4
ISL,2.547970949,1987,1
ISL,1.964998593,1987,2
ISL,1.039469583,1987,3
ISL,0.103175991,1987,4
ISL,-0.472976227,1988,1
ISL,-0.62217562,1988,2
ISL,-0.413715371,1988,3
ISL,-0.057924087,1988,4
ISL,0.198630532,1989,1
ISL,0.315227277,1989,2
ISL,0.322138084,1989,3
ISL,0.280219594,1989,4
ISL,0.261792364,1990,1
ISL,0.279188306,1990,2
ISL,0.327839303,1990,3
ISL,0.31654637,1990,4
ISL,0.148932074,1991,1
ISL,-0.147785638,1991,2
ISL,-0.591563996,1991,3
ISL,-0.98579378,1991,4
ISL,-1.109030913,1992,1
ISL,-0.95095968,1992,2
ISL,-0.519061305,1992,3
ISL,0.034808005,1992,4
ISL,0.530908061,1993,1
ISL,0.904943833,1993,2
ISL,1.210698929,1993,3
ISL,1.34170469,1993,4
ISL,1.202459074,1994,1
ISL,0.853415134,1994,2
ISL,0.306349476,1994,3
ISL,-0.182250763,1994,4
ISL,-2.866830596,1995,1
ISL,2.388079562,1995,2
ISL,-0.893556816,1995,3
ISL,0.058323831,1995,4
ISL,4.500016616,1996,1
ISL,0.270267656,1996,2
ISL,-1.734481027,1996,3
ISL,2.231991686,1996,4
ISL,4.161234672,1997,1
ISL,0.659648495,1997,2
ISL,-1.047716486,1997,3
ISL,2.90897562,1997,4
ISL,-2.578806895,1998,1
ISL,10.067048432,1998,2
ISL,-0.342422072,1998,3
ISL,3.267955141,1998,4
ISL,-0.310186112,1999,1
ISL,-2.261945487,1999,2
ISL,0.739778396,1999,3
ISL,4.353663215,1999,4
ISL,-0.072197057,2000,1
ISL,1.01826089,2000,2
ISL,2.985293744,2000,3
ISL,-1.112979329,2000,4
ISL,0.502761862,2001,1
ISL,3.152916537,2001,2
ISL,-2.438486219,2001,3
ISL,5.909541148,2001,4
ISL,-5.765540269,2002,1
ISL,3.554913161,2002,2
ISL,-0.853559831,2002,3
ISL,1.917147048,2002,4
ISL,1.603247449,2003,1
ISL,-2.905446965,2003,2
ISL,0.191515198,2003,3
ISL,3.164047333,2003,4
ISL,3.92201562,2004,1
ISL,-0.918490245,2004,2
ISL,4.828181237,2004,3
ISL,1.153160413,2004,4
ISL,-2.802383611,2005,1
ISL,7.144254011,2005,2
ISL,0.359790154,2005,3
ISL,1.683677313,2005,4
ISL,-0.51044919,2006,1
ISL,4.443068054,2006,2
ISL,0.042242639,2006,3
ISL,0.945841005,2006,4
ISL,1.386953928,2007,1
ISL,6.130305399,2007,2
ISL,-1.128455798,2007,3
ISL,4.085255043,2007,4
ISL,-3.039920478,2008,1
ISL,4.171341492,2008,2
ISL,-5.804792168,2008,3
ISL,5.318457506,2008,4
ISL,-9.839834364,2009,1
ISL,0.040418969,2009,2
ISL,1.001833596,2009,3
ISL,-0.134323259,2009,4
ISL,-5.891098831,2010,1
ISL,3.956119503,2010,2
ISL,-2.136217737,2010,3
ISL,3.829970186,2010,4
ISL,-3.915460756,2011,1
ISL,2.584482449,2011,2
ISL,1.705437874,2011,3
ISL,1.427123029,2011,4
ISL,-3.053491615,2012,1
ISL,1.235637366,2012,2
ISL,0.695748773,2012,3
ISL,1.450186091,2012,4
ISL,0.854455548,2013,1
ISL,1.434680295,2013,2
ISL,0.009193719,2013,3
ISL,3.201487907,2013,4
ISL,-2.587454212,2014,1
ISL,-0.15265916,2014,2
ISL,3.698199089,2014,3
ISL,-0.519901212,2014,4
ISL,-1.449360201,2015,1
ISL,5.900596969,2015,2
