country,target,target_year,imf_pp,horizon,true_value,error,quantile,prediction,error_prediction,source,error_method,method
DEU,ngdp_rpch,2001,0.779008147601878,0,1.814075914,-1.03506776639812,0.1,-0.174180471932292,-0.95318861953417,IMF,absolute,rolling window
DEU,ngdp_rpch,2001,0.779008147601878,0,1.814075914,-1.03506776639812,0.25,0.337240992528978,-0.4417671550729,IMF,absolute,rolling window
DEU,ngdp_rpch,2001,0.779008147601878,0,1.814075914,-1.03506776639812,0.75,1.22077530267478,0.4417671550729,IMF,absolute,rolling window
DEU,ngdp_rpch,2001,0.779008147601878,0,1.814075914,-1.03506776639812,0.9,1.73219676713605,0.95318861953417,IMF,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.1,1.76226145683191,-0.25654274929209,ar,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.25,1.83741973608529,-0.18138447003871,ar,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.75,2.20018867616271,0.18138447003871,ar,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.9,2.27534695541609,0.25654274929209,ar,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.1,1.76226145683191,-0.25654274929209,ar_bic,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.25,1.83741973608529,-0.18138447003871,ar_bic,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.75,2.20018867616271,0.18138447003871,ar_bic,absolute,rolling window
DEU,ngdp_rpch,2001,2.018804206124,0,1.814075914,0.204728292124,0.9,2.27534695541609,0.25654274929209,ar_bic,absolute,rolling window
DEU,ngdp_rpch,2001,1.99129237312113,0,1.814075914,0.17721645912113,0.1,1.73910904402002,-0.25218332910111,bvar,absolute,rolling window
DEU,ngdp_rpch,2001,1.99129237312113,0,1.814075914,0.17721645912113,0.25,1.83666295427946,-0.15462941884167,bvar,absolute,rolling window
DEU,ngdp_rpch,2001,1.99129237312113,0,1.814075914,0.17721645912113,0.75,2.1459217919628,0.15462941884167,bvar,absolute,rolling window
DEU,ngdp_rpch,2001,1.99129237312113,0,1.814075914,0.17721645912113,0.9,2.24347570222224,0.25218332910111,bvar,absolute,rolling window
DEU,ngdp_rpch,2001,1.98725767941043,0,1.814075914,0.17318176541043,0.1,1.74023638964015,-0.24702128977028,bvar_const,absolute,rolling window
DEU,ngdp_rpch,2001,1.98725767941043,0,1.814075914,0.17318176541043,0.25,1.83115072541025,-0.15610695400018,bvar_const,absolute,rolling window
DEU,ngdp_rpch,2001,1.98725767941043,0,1.814075914,0.17318176541043,0.75,2.14336463341061,0.15610695400018,bvar_const,absolute,rolling window
DEU,ngdp_rpch,2001,1.98725767941043,0,1.814075914,0.17318176541043,0.9,2.23427896918071,0.24702128977028,bvar_const,absolute,rolling window
DEU,ngdp_rpch,2002,0.474123888953448,0,-0.16069704375,0.634820932703448,0.1,-0.479064730580722,-0.95318861953417,IMF,absolute,rolling window
