model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0,0.250091100894217,0.098129191841878,0.143397205264308,0.00856470378803174,0.489138740391878,0.865565425024012,0.509090909090909,0.745454545454546,0.0363636363636364,0.145454545454545,0.654545454545455,0.781818181818182
IMF,absolute,rolling window,ngdp_rpch,0.5,0.488168713424526,0.188942812348414,0.184584643243282,0.11464125783283,0.948103998530944,1.66221975510162,0.527272727272727,0.672727272727273,0.145454545454545,0.218181818181818,0.745454545454546,0.818181818181818
IMF,absolute,rolling window,ngdp_rpch,1,1.18202591504275,0.334589358574882,0.0778282396380334,0.769608316829835,1.66327371134936,3.21620763844913,0.6,0.745454545454546,0.181818181818182,0.218181818181818,0.818181818181818,0.927272727272727
IMF,absolute,rolling window,ngdp_rpch,1.5,1.2667583962161,0.444053611504615,0.0887688789204294,0.733935905791058,2.17924843936225,4.09844989469288,0.636363636363636,0.781818181818182,0.163636363636364,0.254545454545455,0.890909090909091,0.945454545454546
IMF,absolute,rolling window,pcpi_pch,0,0.088677552418241,0.0506898257594475,0.019456210130027,0.0185315165287665,0.239576816240772,0.448932707069789,0.6,0.818181818181818,0.0909090909090909,0.2,0.8,0.909090909090909
IMF,absolute,rolling window,pcpi_pch,0.5,0.425340805776699,0.138451740017598,0.269359795357372,0.0175292704017297,0.723695052810682,1.19052112461358,0.527272727272727,0.672727272727273,0.0545454545454545,0.2,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,pcpi_pch,1,0.899182432091143,0.310715048302039,0.518567080706987,0.0699003030821169,1.61043259032331,2.66890388821773,0.418181818181818,0.745454545454546,0.0909090909090909,0.327272727272727,0.745454545454546,0.836363636363636
IMF,absolute,rolling window,pcpi_pch,1.5,1.12343027597881,0.349361197309253,0.720350957330499,0.053718121339058,1.94565454703226,2.73713841100868,0.436363636363636,0.654545454545455,0.109090909090909,0.254545454545455,0.690909090909091,0.763636363636364
ar,absolute,rolling window,ngdp_rpch,0,0.29966569816405,0.161223330460051,0.00566898152092656,0.132773386183073,0.804954949090283,1.33174006584367,0.563636363636364,0.8,0.181818181818182,0.4,0.963636363636364,0.981818181818182
ar,absolute,rolling window,ngdp_rpch,0.5,0.697832316690975,0.26646215363284,0.047025455317882,0.384344707740253,1.34368633922762,2.32501579975191,0.527272727272727,0.763636363636364,0.2,0.4,0.927272727272727,0.963636363636364
ar,absolute,rolling window,ngdp_rpch,1,1.37052989305027,0.506318455045575,0.0821025353561497,0.782108902648545,2.57624916231484,4.38324471973097,0.490909090909091,0.854545454545455,0.127272727272727,0.454545454545455,0.945454545454546,0.981818181818182
ar,absolute,rolling window,ngdp_rpch,1.5,1.60419186106754,0.592280584892064,0.216861419246685,0.795049856928793,3.07215246120954,4.98446625096147,0.581818181818182,0.745454545454546,0.163636363636364,0.327272727272727,0.909090909090909,0.909090909090909
ar,absolute,rolling window,pcpi_pch,0,0.214514411117687,0.0680906239341718,0.120348896124032,0.026074891059483,0.368128549617892,0.557867783092765,0.454545454545455,0.727272727272727,0.109090909090909,0.272727272727273,0.727272727272727,0.836363636363636
ar,absolute,rolling window,pcpi_pch,0.5,0.440961506993674,0.136551640303777,0.249295294333568,0.0551145723563289,0.736095769687395,1.14088004155097,0.381818181818182,0.618181818181818,0.127272727272727,0.272727272727273,0.654545454545455,0.745454545454546
ar,absolute,rolling window,pcpi_pch,1,0.977334768169559,0.422333987134271,0.28382888626892,0.271171894766369,2.22398494755436,3.3749733669949,0.309090909090909,0.636363636363636,0.236363636363636,0.509090909090909,0.818181818181818,0.872727272727273
ar,absolute,rolling window,pcpi_pch,1.5,1.19483663643641,0.639917848391451,0.248111662667004,0.306807125377956,3.39243570865015,4.81776454531403,0.345454545454545,0.618181818181818,0.272727272727273,0.527272727272727,0.872727272727273,0.890909090909091
ar_bic,absolute,rolling window,ngdp_rpch,0,0.298068062103515,0.158391151475818,0.00606884191965746,0.133608068708039,0.790307930335784,1.31209912980256,0.545454545454545,0.8,0.181818181818182,0.418181818181818,0.963636363636364,0.981818181818182
ar_bic,absolute,rolling window,ngdp_rpch,0.5,0.647209075524842,0.242219817702346,0.0494746528419555,0.355514604980541,1.20467408516518,2.17217727176065,0.509090909090909,0.763636363636364,0.2,0.4,0.909090909090909,0.963636363636364
ar_bic,absolute,rolling window,ngdp_rpch,1,1.33087378511308,0.477860720775207,0.0887109366701089,0.764302127667765,2.42089021857293,4.19217137281837,0.527272727272727,0.836363636363636,0.127272727272727,0.418181818181818,0.945454545454546,0.963636363636364
ar_bic,absolute,rolling window,ngdp_rpch,1.5,1.67269418614245,0.554481700335534,0.332090445817886,0.786122039989027,2.85313307370826,4.8553775216246,0.581818181818182,0.727272727272727,0.181818181818182,0.327272727272727,0.909090909090909,0.909090909090909
ar_bic,absolute,rolling window,pcpi_pch,0,0.202751117599217,0.0606212363028558,0.125388383839182,0.01674149745718,0.322671884730087,0.519440231676711,0.418181818181818,0.672727272727273,0.109090909090909,0.236363636363636,0.654545454545455,0.781818181818182
ar_bic,absolute,rolling window,pcpi_pch,0.5,0.473435181469051,0.121768515788031,0.282523182905037,0.0691434827759833,0.647389399373798,1.10759909548126,0.309090909090909,0.509090909090909,0.163636363636364,0.218181818181818,0.527272727272727,0.672727272727273
