model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90
IMF,absolute,rolling window,ngdp_rpch,0.73346912201179,0.259125678993295,0.0887176682094497,0.385625774809045,-0.0231481481481482,,,0.166666666666667,0.216666666666667,0.320833333333333,0.4,0.4625,0.545833333333333,0.654166666666667,0.720833333333333,0.804166666666667
IMF,absolute,rolling window,pcpi_pch,0.420643970015641,0.153049598637853,0.198701228746053,0.0688931426317346,-0.0541666666666667,,,0.1625,0.229166666666667,0.3125,0.358333333333333,0.420833333333333,0.516666666666667,0.595833333333333,0.670833333333333,0.745833333333333
ar,absolute,rolling window,ngdp_rpch,0.940688546338308,0.317023735766007,0.0235134620451772,0.600151348527124,-0.0722222222222222,,,0.1125,0.2,0.254166666666667,0.320833333333333,0.416666666666667,0.504166666666667,0.5875,0.691666666666667,0.7625
ar,absolute,rolling window,pcpi_pch,0.594780288040211,0.3722566835995,0.0467476224571578,0.175775981983553,0.0569444444444445,,,0.208333333333333,0.333333333333333,0.420833333333333,0.504166666666667,0.579166666666667,0.641666666666667,0.720833333333333,0.770833333333333,0.833333333333333
bvar,absolute,rolling window,ngdp_rpch,0.842346676281903,0.253690503572871,0.0377908617144504,0.550865310994582,-0.0555555555555556,,,0.133333333333333,0.1875,0.254166666666667,0.345833333333333,0.429166666666667,0.533333333333333,0.620833333333333,0.708333333333333,0.7875
bvar,absolute,rolling window,pcpi_pch,0.488559503059735,0.270509085822488,0.0862403164963821,0.131810100740866,0.050462962962963,,,0.216666666666667,0.358333333333333,0.429166666666667,0.495833333333333,0.545833333333333,0.633333333333333,0.695833333333333,0.75,0.829166666666667
