model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,ngdp_rpch,1.080530142841,0.311866139297815,0.0991731234209199,0.669490880122265,1.96112029236226,3.43847702662762,0.104545454545455,0.177272727272727,0.268181818181818,0.418181818181818,0.559090909090909,0.645454545454546,0.731818181818182,0.768181818181818,0.822727272727273,0.15,0.195454545454545,0.227272727272727,0.309090909090909,0.386363636363636,0.5,0.640909090909091,0.709090909090909,0.745454545454546,0.85,0.886363636363636,0.909090909090909,0.918181818181818,0.945454545454546,0.954545454545455,0.959090909090909,0.963636363636364,0.972727272727273
ar,pcpi_pch,0.816031353998731,0.356195041500326,0.237557327192253,0.222278985306152,2.12930251889868,3.8842844970182,0.0818181818181818,0.163636363636364,0.295454545454545,0.4,0.536363636363636,0.672727272727273,0.777272727272727,0.831818181818182,0.886363636363636,0.0318181818181818,0.0545454545454545,0.0863636363636364,0.172727272727273,0.272727272727273,0.359090909090909,0.422727272727273,0.522727272727273,0.577272727272727,0.659090909090909,0.686363636363636,0.718181818181818,0.759090909090909,0.809090909090909,0.845454545454546,0.863636363636364,0.886363636363636,0.918181818181818
ar_annual,ngdp_rpch,1.70103990455383,0.409101927262434,0.558420724071171,0.733517253220228,2.65613929821634,4.54370850634617,0.238095238095238,0.40952380952381,0.519047619047619,0.561904761904762,0.657142857142857,0.738095238095238,0.771428571428571,0.780952380952381,0.80952380952381,0.0952380952380952,0.0952380952380952,0.104761904761905,0.119047619047619,0.142857142857143,0.20952380952381,0.238095238095238,0.247619047619048,0.328571428571429,0.566666666666667,0.657142857142857,0.757142857142857,0.771428571428571,0.8,0.857142857142857,0.876190476190476,0.876190476190476,0.904761904761905
ar_annual,pcpi_pch,1.31462224932512,0.215524359672582,0.796301757432671,0.302796132219865,1.50714905805483,2.41853234294539,0.0190476190476191,0.0761904761904762,0.133333333333333,0.161904761904762,0.228571428571429,0.314285714285714,0.423809523809524,0.528571428571429,0.676190476190476,0.133333333333333,0.233333333333333,0.323809523809524,0.39047619047619,0.447619047619048,0.495238095238095,0.514285714285714,0.552380952380952,0.571428571428571,0.590476190476191,0.628571428571429,0.647619047619048,0.657142857142857,0.676190476190476,0.704761904761905,0.747619047619048,0.761904761904762,0.80952380952381
ar_bic,ngdp_rpch,1.06191191923788,0.320888685838631,0.121078859469558,0.619944373929693,2.00516407406959,3.53514933299785,0.1,0.177272727272727,0.3,0.463636363636364,0.595454545454546,0.672727272727273,0.75,0.795454545454545,0.840909090909091,0.131818181818182,0.168181818181818,0.209090909090909,0.281818181818182,0.345454545454545,0.454545454545455,0.604545454545455,0.695454545454545,0.736363636363636,0.836363636363636,0.872727272727273,0.904545454545454,0.918181818181818,0.940909090909091,0.954545454545455,0.959090909090909,0.963636363636364,0.972727272727273
ar_bic,pcpi_pch,0.722650943090544,0.2637889001601,0.333091567432274,0.12577047549817,1.61020448984927,2.88955624142448,0.0954545454545455,0.190909090909091,0.295454545454545,0.431818181818182,0.527272727272727,0.631818181818182,0.718181818181818,0.759090909090909,0.859090909090909,0.0272727272727273,0.0681818181818182,0.0909090909090909,0.136363636363636,0.204545454545455,0.277272727272727,0.354545454545455,0.418181818181818,0.486363636363636,0.581818181818182,0.609090909090909,0.65,0.709090909090909,0.731818181818182,0.768181818181818,0.809090909090909,0.827272727272727,0.886363636363636
bvar_const,ngdp_rpch,1.02003412210156,0.26297473279027,0.157888331949207,0.59917105736208,1.68257436499769,2.91547651898343,0.0818181818181818,0.163636363636364,0.263636363636364,0.4,0.509090909090909,0.577272727272727,0.663636363636364,0.740909090909091,0.813636363636364,0.145454545454545,0.2,0.268181818181818,0.322727272727273,0.381818181818182,0.468181818181818,0.586363636363636,0.663636363636364,0.722727272727273,0.804545454545455,0.827272727272727,0.85,0.868181818181818,0.890909090909091,0.9,0.931818181818182,0.940909090909091,0.959090909090909
bvar_const,pcpi_pch,0.817859279931049,0.367596702394322,0.249578182546881,0.200684394989845,2.18805223559442,4.01492724326676,0.0590909090909091,0.159090909090909,0.259090909090909,0.354545454545455,0.513636363636364,0.636363636363636,0.740909090909091,0.804545454545455,0.9,0.0318181818181818,0.0727272727272727,0.1,0.168181818181818,0.259090909090909,0.363636363636364,0.427272727272727,0.513636363636364,0.572727272727273,0.631818181818182,0.672727272727273,0.686363636363636,0.718181818181818,0.772727272727273,0.804545454545455,0.840909090909091,0.877272727272727,0.931818181818182
bvar_qu,ngdp_rpch,1.17505822217918,0.476998180489456,0.081819551366253,0.616240490323467,2.78951354960135,5.72797758592271,0.109090909090909,0.218181818181818,0.309090909090909,0.395454545454545,0.518181818181818,0.595454545454546,0.677272727272727,0.772727272727273,0.836363636363636,0.15,0.195454545454545,0.281818181818182,0.359090909090909,0.418181818181818,0.513636363636364,0.577272727272727,0.645454545454546,0.727272727272727,0.836363636363636,0.863636363636364,0.886363636363636,0.909090909090909,0.936363636363636,0.954545454545455,0.959090909090909,0.968181818181818,0.986363636363636
bvar_qu,pcpi_pch,0.75355366701135,0.331650635312764,0.255495422499227,0.166407609199359,1.93333745843579,3.87231180568426,0.0863636363636364,0.190909090909091,0.295454545454545,0.363636363636364,0.490909090909091,0.609090909090909,0.690909090909091,0.777272727272727,0.868181818181818,0.0636363636363636,0.104545454545455,0.163636363636364,0.218181818181818,0.277272727272727,0.336363636363636,0.386363636363636,0.454545454545455,0.527272727272727,0.613636363636364,0.645454545454546,0.681818181818182,0.7,0.768181818181818,0.827272727272727,0.854545454545455,0.881818181818182,0.931818181818182
