model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,1.080530142841,0.311866139297815,0.0991731234209199,0.669490880122265,1.96112029236226,3.43847702662762,2.69979865949494,0.559090909090909,0.768181818181818,0.195454545454545,0.386363636363636,0.945454545454546,0.963636363636364
ar,pcpi_pch,0.816031353998731,0.356195041500326,0.237557327192253,0.222278985306152,2.12930251889868,3.8842844970182,3.00679350795844,0.536363636363636,0.831818181818182,0.0545454545454545,0.272727272727273,0.809090909090909,0.886363636363636
ar_annual,ngdp_rpch,1.70103990455383,0.409101927262434,0.558420724071171,0.733517253220228,2.65613929821634,4.54370850634617,3.59992390228126,0.657142857142857,0.780952380952381,0.0952380952380952,0.142857142857143,0.8,0.876190476190476
ar_annual,pcpi_pch,1.31462224932512,0.215524359672582,0.796301757432671,0.302796132219865,1.50714905805483,2.41853234294539,1.96284070050011,0.228571428571429,0.528571428571429,0.233333333333333,0.447619047619048,0.676190476190476,0.761904761904762
ar_bic,ngdp_rpch,1.06191191923788,0.320888685838631,0.121078859469558,0.619944373929693,2.00516407406959,3.53514933299785,2.77015670353372,0.595454545454546,0.795454545454545,0.168181818181818,0.345454545454545,0.940909090909091,0.963636363636364
ar_bic,pcpi_pch,0.722650943090544,0.2637889001601,0.333091567432274,0.12577047549817,1.61020448984927,2.88955624142448,2.24988036563688,0.527272727272727,0.759090909090909,0.0681818181818182,0.204545454545455,0.731818181818182,0.827272727272727
bvar_const,ngdp_rpch,1.02003412210156,0.26297473279027,0.157888331949207,0.59917105736208,1.68257436499769,2.91547651898343,2.29902544199056,0.509090909090909,0.740909090909091,0.2,0.381818181818182,0.890909090909091,0.940909090909091
bvar_const,pcpi_pch,0.817859279931049,0.367596702394322,0.249578182546881,0.200684394989845,2.18805223559442,4.01492724326676,3.10148973943059,0.513636363636364,0.804545454545455,0.0727272727272727,0.259090909090909,0.772727272727273,0.877272727272727
bvar_qu,ngdp_rpch,1.17505822217918,0.476998180489456,0.081819551366253,0.616240490323467,2.78951354960135,5.72797758592271,4.25874556776203,0.518181818181818,0.772727272727273,0.195454545454545,0.418181818181818,0.936363636363636,0.968181818181818
bvar_qu,pcpi_pch,0.75355366701135,0.331650635312764,0.255495422499227,0.166407609199359,1.93333745843579,3.87231180568426,2.90282463206002,0.490909090909091,0.777272727272727,0.104545454545455,0.277272727272727,0.768181818181818,0.881818181818182
