model,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,ngdp_rpch,0,0.337784550874147,0.121340172521991,0.0150282344319864,0.20141614392017,-0.331818181818182,,,0.181818181818182,0.454545454545455
bvar_ciss,ngdp_rpch,0.5,0.668195899088959,0.415243303853,0.00252670048319809,0.250425894752761,0.0954545454545454,,,0.654545454545455,0.836363636363636
bvar_ciss,ngdp_rpch,1,1.87126403746388,1.09118582190411,0.00502206229228391,0.775056153267483,0.104545454545455,,,0.618181818181818,0.890909090909091
bvar_ciss,ngdp_rpch,1.5,1.87603704091616,0.939195547705949,0.184653221546031,0.752188271664184,0.0772727272727273,,,0.618181818181818,0.836363636363636
bvar_ciss,pcpi_pch,0,0.243693469788468,0.0465262558391786,0.154231066102034,0.042936147847255,-0.295454545454545,,,0.290909090909091,0.418181818181818
bvar_ciss,pcpi_pch,0.5,0.502388209011343,0.197049057425026,0.285611451735827,0.0197276998504896,-0.05,,,0.472727272727273,0.727272727272727
bvar_ciss,pcpi_pch,1,1.05032910113695,0.384201648785985,0.448920189705671,0.217207262645296,-0.213636363636364,,,0.290909090909091,0.581818181818182
bvar_ciss,pcpi_pch,1.5,1.10333072574869,0.411238468292839,0.48443063350627,0.207661623949582,-0.159090909090909,,,0.363636363636364,0.618181818181818
bvar_qu,ngdp_rpch,0,0.330932336660454,0.118180130894488,0.0124915622674195,0.200260643498547,-0.286363636363636,,,0.2,0.527272727272727
bvar_qu,ngdp_rpch,0.5,0.68972694142112,0.426342880766231,0.00284443604087309,0.260539624614016,0.104545454545455,,,0.636363636363636,0.872727272727273
bvar_qu,ngdp_rpch,1,1.77364187615641,1.00681223391123,0,0.766829642245181,0.104545454545455,,,0.618181818181818,0.890909090909091
bvar_qu,ngdp_rpch,1.5,1.86852182205182,0.898850353150493,0.204238768044531,0.765432700856801,0.0590909090909091,,,0.618181818181818,0.8
bvar_qu,pcpi_pch,0,0.229058917415233,0.0530978167193455,0.138135560795433,0.0378255399004544,-0.186363636363636,,,0.345454545454545,0.581818181818182
bvar_qu,pcpi_pch,0.5,0.45299477760624,0.275807565679378,0.170237525760142,0.00694968616671999,0.0772727272727273,,,0.6,0.854545454545455
bvar_qu,pcpi_pch,1,0.96099099786247,0.604440744878453,0.20384760718135,0.152702645802667,0.00454545454545452,,,0.527272727272727,0.781818181818182
bvar_qu,pcpi_pch,1.5,1.06546835017798,0.758774748199317,0.176426473321855,0.13026712865681,0.0409090909090909,,,0.490909090909091,0.890909090909091
