model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
bvar_ciss,ngdp_rpch,0,0.411623501798221,0.0393675192579201,0.129317688134408,0.242938294405893,0.310844705950337,0.451321506531289,0.0166666666666667,0.0333333333333333,0.0666666666666667,0.0833333333333333,0.116666666666667,0.183333333333333,0.216666666666667,0.266666666666667,0.35,0.4,0.433333333333333,0.45,0.45,0.483333333333333,0.516666666666667,0.516666666666667,0.533333333333333,0.55,0.566666666666667,0.566666666666667,0.583333333333333,0.6,0.6,0.633333333333333,0.666666666666667,0.7,0.75
bvar_ciss,ngdp_rpch,0.5,0.682489989674662,0.182292123228827,0.226021438606427,0.274176427839408,1.12733886931819,1.98189572396438,0.0833333333333333,0.166666666666667,0.266666666666667,0.316666666666667,0.35,0.45,0.533333333333333,0.633333333333333,0.783333333333333,0.166666666666667,0.25,0.333333333333333,0.4,0.45,0.45,0.483333333333333,0.533333333333333,0.55,0.633333333333333,0.7,0.75,0.766666666666667,0.8,0.85,0.866666666666667,0.883333333333333,0.95
bvar_ciss,ngdp_rpch,1,0.873821079740963,0.343957798631956,0.0929692548674495,0.436894026241558,2.01362958800214,3.72472600498676,0.0909090909090909,0.145454545454545,0.309090909090909,0.472727272727273,0.527272727272727,0.636363636363636,0.745454545454546,0.8,0.854545454545455,0.145454545454545,0.163636363636364,0.218181818181818,0.327272727272727,0.363636363636364,0.4,0.527272727272727,0.654545454545455,0.672727272727273,0.763636363636364,0.8,0.836363636363636,0.872727272727273,0.890909090909091,0.963636363636364,0.963636363636364,0.963636363636364,1
bvar_ciss,ngdp_rpch,1.5,1.62215831846572,0.441008227229439,0.408217566849397,0.772932524386886,2.71228518748475,4.83969598150704,0.0727272727272727,0.218181818181818,0.345454545454545,0.4,0.436363636363636,0.509090909090909,0.581818181818182,0.727272727272727,0.818181818181818,0.145454545454545,0.236363636363636,0.345454545454545,0.363636363636364,0.418181818181818,0.436363636363636,0.490909090909091,0.581818181818182,0.672727272727273,0.745454545454546,0.8,0.836363636363636,0.836363636363636,0.854545454545455,0.872727272727273,0.927272727272727,0.963636363636364,0.963636363636364
bvar_ciss,pcpi_pch,0,0.156103903388125,0.0293167821579377,0.0907727091737554,0.0360144120564318,0.192706192320542,0.325544081129414,0.0333333333333333,0.0666666666666667,0.15,0.2,0.266666666666667,0.383333333333333,0.4,0.466666666666667,0.6,0.0833333333333333,0.166666666666667,0.2,0.216666666666667,0.283333333333333,0.283333333333333,0.316666666666667,0.316666666666667,0.35,0.383333333333333,0.383333333333333,0.466666666666667,0.483333333333333,0.55,0.6,0.6,0.633333333333333,0.683333333333333
bvar_ciss,pcpi_pch,0.5,0.291838244804292,0.139607408347251,0.110515999207039,0.0417148372500019,0.801163350263239,1.51347445877844,0.0833333333333333,0.2,0.283333333333333,0.433333333333333,0.55,0.633333333333333,0.716666666666667,0.85,0.9,0,0.0333333333333333,0.0666666666666667,0.0833333333333333,0.1,0.1,0.183333333333333,0.183333333333333,0.2,0.283333333333333,0.383333333333333,0.466666666666667,0.533333333333333,0.65,0.716666666666667,0.783333333333333,0.883333333333333,0.9
bvar_ciss,pcpi_pch,1,0.650514251249936,0.254212528407365,0.120212635174029,0.276089087668542,1.48323400596097,2.78745821259772,0.0909090909090909,0.218181818181818,0.363636363636364,0.545454545454545,0.618181818181818,0.709090909090909,0.818181818181818,0.836363636363636,0.872727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.163636363636364,0.2,0.290909090909091,0.363636363636364,0.436363636363636,0.527272727272727,0.581818181818182,0.654545454545455,0.745454545454546,0.781818181818182,0.8,0.909090909090909,0.927272727272727,0.963636363636364
bvar_ciss,pcpi_pch,1.5,0.637463874281259,0.319640865244599,0.102476736415749,0.215346272620911,1.81722166325019,3.5129556106525,0.0909090909090909,0.327272727272727,0.509090909090909,0.618181818181818,0.690909090909091,0.781818181818182,0.818181818181818,0.854545454545455,0.890909090909091,0.0545454545454545,0.0909090909090909,0.109090909090909,0.145454545454545,0.218181818181818,0.236363636363636,0.272727272727273,0.309090909090909,0.436363636363636,0.527272727272727,0.636363636363636,0.781818181818182,0.854545454545455,0.909090909090909,0.927272727272727,0.927272727272727,0.945454545454546,0.945454545454546
bvar_qu,ngdp_rpch,0,0.421631909871461,0.0409301493238948,0.0761517765663633,0.304549983981203,0.321822231955552,0.469865189456346,0.0260869565217391,0.0695652173913044,0.0956521739130435,0.147826086956522,0.182608695652174,0.234782608695652,0.234782608695652,0.278260869565217,0.391304347826087,0.452173913043478,0.495652173913044,0.530434782608696,0.530434782608696,0.539130434782609,0.547826086956522,0.565217391304348,0.591304347826087,0.608695652173913,0.634782608695652,0.660869565217391,0.660869565217391,0.695652173913044,0.721739130434783,0.765217391304348,0.765217391304348,0.773913043478261,0.843478260869565
bvar_qu,ngdp_rpch,0.5,0.592818852340443,0.175125229681099,0.0479557587489878,0.369737863910356,1.0662140588785,1.89952565848913,0.0695652173913044,0.121739130434783,0.226086956521739,0.295652173913044,0.365217391304348,0.469565217391304,0.539130434782609,0.634782608695652,0.808695652173913,0.191304347826087,0.330434782608696,0.382608695652174,0.434782608695652,0.504347826086957,0.556521739130435,0.6,0.660869565217391,0.686956521739131,0.756521739130435,0.782608695652174,0.826086956521739,0.852173913043478,0.869565217391304,0.904347826086956,0.921739130434783,0.965217391304348,1
bvar_qu,ngdp_rpch,1,0.974431406750458,0.316809317189631,0.0212070039608641,0.636415085599963,1.90496914074309,3.44001078537107,0.136363636363636,0.218181818181818,0.318181818181818,0.4,0.5,0.572727272727273,0.636363636363636,0.718181818181818,0.818181818181818,0.181818181818182,0.272727272727273,0.345454545454545,0.4,0.463636363636364,0.563636363636364,0.618181818181818,0.681818181818182,0.727272727272727,0.863636363636364,0.9,0.936363636363636,0.963636363636364,0.963636363636364,0.972727272727273,0.981818181818182,0.990909090909091,1
bvar_qu,ngdp_rpch,1.5,1.1782795324702,0.357613444456535,0.0335150996437127,0.787150988369956,2.16266588095254,3.90124690242749,0.0454545454545455,0.154545454545455,0.3,0.381818181818182,0.527272727272727,0.609090909090909,0.636363636363636,0.736363636363636,0.809090909090909,0.190909090909091,0.263636363636364,0.345454545454545,0.372727272727273,0.427272727272727,0.536363636363636,0.6,0.681818181818182,0.745454545454546,0.790909090909091,0.836363636363636,0.9,0.918181818181818,0.954545454545455,0.981818181818182,0.981818181818182,1,1
bvar_qu,pcpi_pch,0,0.177848887284618,0.0322432138923959,0.108470114866068,0.0371355585261533,0.213794470927317,0.357029295712667,0.0608695652173913,0.104347826086957,0.165217391304348,0.295652173913044,0.365217391304348,0.426086956521739,0.495652173913044,0.582608695652174,0.686956521739131,0.0695652173913044,0.0956521739130435,0.147826086956522,0.165217391304348,0.182608695652174,0.2,0.243478260869565,0.295652173913044,0.31304347826087,0.373913043478261,0.4,0.408695652173913,0.495652173913044,0.547826086956522,0.591304347826087,0.643478260869565,0.678260869565217,0.756521739130435
