model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0.660260095984095,0.367788677707765,0.00589013595920779,0.286581282317122,3.27919878590101,5.00720495492938,4.1432018704152,0.577777777777778,0.853333333333333,0.144444444444444,0.368888888888889,0.946666666666667,0.997777777777778
ar,pcpi_pch,0.548244725468784,0.457975779381745,0.00363446013493898,0.0866344859520995,2.70881060350194,4.19286800062082,3.45083930206138,0.682222222222222,0.953333333333333,0.0466666666666667,0.288888888888889,0.971111111111111,1
ar_bic,ngdp_rpch,0.654599843865229,0.37073670121495,0.00596378541068783,0.277899357239592,3.25029939295654,4.96624839491326,4.1082738939349,0.588888888888889,0.857777777777778,0.14,0.355555555555556,0.944444444444444,0.997777777777778
ar_bic,pcpi_pch,0.445206230664616,0.364008995743582,0.0126774314389913,0.0685198034820421,2.14812435827393,3.53381371760748,2.84096903794071,0.751111111111111,0.926666666666667,0.0577777777777778,0.182222222222222,0.933333333333333,0.984444444444444
bvar_ciss,ngdp_rpch,0.713681578129567,0.301725884794733,0.136144818921361,0.275810874413472,3.50520615804879,5.51061616746936,4.50791116275908,0.504347826086957,0.765217391304348,0.173913043478261,0.347826086956522,0.852173913043478,0.939130434782609
bvar_ciss,pcpi_pch,0.340153841154028,0.223502878154643,0.0180934334553769,0.0985575295440081,1.64272023900651,2.69627622556429,2.1694982322854,0.630434782608696,0.847826086956522,0.104347826086957,0.234782608695652,0.865217391304348,0.952173913043478
bvar_const,ngdp_rpch,0.616018375674608,0.336228661504179,0.0122684199175772,0.267521294252851,3.04617050782229,4.70494124393643,3.87555587587936,0.584444444444444,0.837777777777778,0.155555555555556,0.353333333333333,0.937777777777778,0.993333333333333
bvar_const,pcpi_pch,0.562647682011366,0.486433577271271,0.00345475464189361,0.0727593500982017,2.73812964371956,4.40762953092842,3.57287958732399,0.706666666666667,0.944444444444444,0.0533333333333333,0.257777777777778,0.964444444444444,0.997777777777778
bvar_qu,ngdp_rpch,0.587731947338382,0.270428953342666,0.0262812494331262,0.29102174456259,2.89579399549085,4.51515395804051,3.70547397676568,0.495555555555556,0.777777777777778,0.186666666666667,0.395555555555556,0.891111111111111,0.964444444444444
bvar_qu,pcpi_pch,0.4376786313979,0.339320908896551,0.00739277875711317,0.0909649437442363,2.20027061488915,3.25289609073513,2.72658335281214,0.62,0.913333333333333,0.0777777777777778,0.322222222222222,0.942222222222222,0.991111111111111
