model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,directional,rolling window,DEU,ngdp_rpch,0,0.240559287840745,0.092393768274349,0.114913314627852,0.0332522049385437,0.459108340084291,0.822348970572114,0.640728655328203,0.333333333333333,0.666666666666667,0.166666666666667,0.25,0.583333333333333,0.833333333333333
IMF,directional,rolling window,DEU,ngdp_rpch,0.5,0.5639716115783,0.184979366656568,0.327888470866185,0.0511037740555464,0.923900720636634,1.7176155078363,1.32075811423647,0.5,0.583333333333333,0.0833333333333333,0.166666666666667,0.666666666666667,0.666666666666667
IMF,directional,rolling window,DEU,ngdp_rpch,1,1.16115251752294,0.360340062652941,0.480996314151557,0.319816140718438,1.87581425995325,3.2132073480905,2.54451080402187,0.25,0.583333333333333,0.166666666666667,0.333333333333333,0.583333333333333,0.75
IMF,directional,rolling window,DEU,ngdp_rpch,1.5,1.49203010996276,0.398105572036008,0.656185329905051,0.437739208021699,2.27145501139847,3.19654370673726,2.73399935906786,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,0,0.165362767020135,0.0887830108074062,0.01470117830043,0.0618785779122987,0.40538183837282,0.83428972561632,0.61983578199457,0.5,0.75,0.166666666666667,0.333333333333333,0.833333333333333,0.916666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,0.5,0.251271912607821,0.174666252788425,0.01428203192752,0.0623236278918764,0.887930183860263,1.35018457870416,1.11905738128221,0.416666666666667,0.75,0.166666666666667,0.333333333333333,0.75,0.916666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,1,0.48351753772628,0.293686581945249,0.0167699754738621,0.173060980307168,1.51980631349531,2.26504480542167,1.89242555945849,0.583333333333333,0.833333333333333,0.0833333333333333,0.333333333333333,0.916666666666667,0.916666666666667
IMF,directional,rolling window,FRA,ngdp_rpch,1.5,0.701796186394691,0.289854421007513,0.0876380560476957,0.324303709339482,1.53133038517161,2.29877986497819,1.9150551250749,0.416666666666667,0.666666666666667,0.25,0.333333333333333,0.75,0.916666666666667
IMF,directional,rolling window,GBR,ngdp_rpch,0,0.201421857266817,0.0798833969128466,0.0463553787678228,0.0751830815861472,0.386385524367229,0.739755765115219,0.563070644741224,0.333333333333333,0.416666666666667,0.416666666666667,0.5,0.833333333333333,0.833333333333333
IMF,directional,rolling window,GBR,ngdp_rpch,0.5,0.292199879030847,0.149717424621872,0.011150851699345,0.13133160270963,0.66480174420146,1.48536604172822,1.07508389296484,0.416666666666667,0.583333333333333,0.333333333333333,0.5,0.916666666666667,0.916666666666667
