model,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,ngdp_rpch,0,0.0831470112476596,0.0482833297498252,0.00572947362664476,0.0291342078711897,0.025,,,0.516666666666667,0.833333333333333
bvar_ciss,ngdp_rpch,0.5,0.502245295022726,0.223739652411173,0.153898235951594,0.124607406659958,-0.0166666666666667,,,0.483333333333333,0.783333333333333
bvar_ciss,ngdp_rpch,1,0.840258378384888,0.422606890641181,0.0622823564368055,0.355369131306901,0.00454545454545452,,,0.545454545454545,0.763636363636364
bvar_ciss,ngdp_rpch,1.5,1.50561843240743,0.542403556142978,0.332911203148989,0.630303673115458,-0.0772727272727273,,,0.472727272727273,0.672727272727273
bvar_ciss,pcpi_pch,0,0.0807525284908259,0.0360655845665566,0.000842352908789747,0.0438445910154795,-2.22121402578916e-17,,,0.5,0.8
bvar_ciss,pcpi_pch,0.5,0.211370299177756,0.171870344650808,0.0191278978873001,0.0203720566396475,0.133333333333333,,,0.666666666666667,0.9
bvar_ciss,pcpi_pch,1,0.549916521500911,0.313305395090998,0.0257601764014893,0.210850950008424,0.0954545454545454,,,0.636363636363636,0.854545454545455
bvar_ciss,pcpi_pch,1.5,0.553865547686573,0.394503808954931,0.0281175444525341,0.131244194279107,0.131818181818182,,,0.727272727272727,0.836363636363636
bvar_qu,ngdp_rpch,0,0.0879862332818476,0.0502640220942574,0.00610965750034889,0.0316125536872413,0.0195652173913043,,,0.51304347826087,0.826086956521739
bvar_qu,ngdp_rpch,0.5,0.384736576558026,0.215006937126421,0.0233605759086771,0.146369063522928,-0.00217391304347828,,,0.495652173913044,0.8
bvar_qu,ngdp_rpch,1,0.850455379006603,0.389405699526179,0.0277347502213861,0.433314929259038,-0.00909090909090911,,,0.5,0.781818181818182
bvar_qu,ngdp_rpch,1.5,1.0596923770903,0.439565834053989,0.048969662531961,0.57115688050435,-0.0636363636363637,,,0.472727272727273,0.7
bvar_qu,pcpi_pch,0,0.0614894853005457,0.0396285426552767,0.00150470294510178,0.0203562397001672,0.106521739130435,,,0.634782608695652,0.878260869565217
bvar_qu,pcpi_pch,0.5,0.278646894922619,0.21983418365331,0.0230812511889668,0.0357314600803422,0.132608695652174,,,0.652173913043478,0.91304347826087
bvar_qu,pcpi_pch,1,0.582544129515794,0.482440800971036,0.00317886184340932,0.096924466701349,0.168181818181818,,,0.681818181818182,0.954545454545455
bvar_qu,pcpi_pch,1.5,0.852362237787652,0.634433703374027,0.00136082647734341,0.216567707936282,0.0590909090909091,,,0.509090909090909,0.909090909090909
