model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,directional,rolling window,ngdp_rpch,0.711701801140756,0.205816392273369,0.173828210302323,0.332057198565065,1.22216395649528,1.9819151921646,0.075,0.166666666666667,0.241666666666667,0.320833333333333,0.4125,0.491666666666667,0.554166666666667,0.633333333333333,0.766666666666667,0.133333333333333,0.2375,0.283333333333333,0.308333333333333,0.3625,0.4125,0.445833333333333,0.483333333333333,0.529166666666667,0.604166666666667,0.65,0.6875,0.733333333333333,0.775,0.8,0.8375,0.870833333333333,0.9
IMF,directional,rolling window,pcpi_pch,0.420419612503631,0.121087809585331,0.216368355265492,0.0829634476528089,0.70171390058126,1.15991706408746,0.0833333333333333,0.1625,0.233333333333333,0.3125,0.370833333333333,0.45,0.520833333333333,0.5875,0.708333333333333,0.0666666666666667,0.108333333333333,0.120833333333333,0.141666666666667,0.175,0.195833333333333,0.233333333333333,0.270833333333333,0.304166666666667,0.3875,0.433333333333333,0.466666666666667,0.508333333333333,0.545833333333333,0.591666666666667,0.641666666666667,0.695833333333333,0.775
ar,directional,rolling window,ngdp_rpch,0.715103675164233,0.178489865391923,0.110980920926663,0.425632888845647,1.08149140304133,1.80699425815011,0.0875,0.179166666666667,0.275,0.3375,0.4125,0.4875,0.554166666666667,0.629166666666667,0.783333333333333,0.116666666666667,0.2375,0.275,0.316666666666667,0.366666666666667,0.4125,0.45,0.5,0.533333333333333,0.620833333333333,0.679166666666667,0.725,0.75,0.779166666666667,0.804166666666667,0.829166666666667,0.866666666666667,0.9
ar,directional,rolling window,pcpi_pch,0.446034541029379,0.111057762539677,0.210191479901836,0.124785298587866,0.673885395434788,1.16692923338355,0.0416666666666667,0.125,0.179166666666667,0.25,0.354166666666667,0.425,0.529166666666667,0.595833333333333,0.679166666666667,0.120833333333333,0.129166666666667,0.154166666666667,0.1875,0.204166666666667,0.258333333333333,0.279166666666667,0.3125,0.345833333333333,0.3875,0.4375,0.458333333333333,0.508333333333333,0.558333333333333,0.6125,0.683333333333333,0.725,0.8
ar_bic,directional,rolling window,ngdp_rpch,0.723787625155658,0.178799769860023,0.128898515144321,0.416089340151314,1.08181746483552,1.81445687947213,0.0875,0.1625,0.258333333333333,0.325,0.404166666666667,0.479166666666667,0.554166666666667,0.6375,0.766666666666667,0.120833333333333,0.220833333333333,0.266666666666667,0.304166666666667,0.354166666666667,0.404166666666667,0.441666666666667,0.479166666666667,0.504166666666667,0.591666666666667,0.641666666666667,0.7,0.729166666666667,0.758333333333333,0.783333333333333,0.820833333333333,0.858333333333333,0.8875
ar_bic,directional,rolling window,pcpi_pch,0.486412961741475,0.125806156049839,0.219482464250086,0.14112434144155,0.747377967462545,1.24724938189282,0.0625,0.125,0.191666666666667,0.275,0.366666666666667,0.4375,0.504166666666667,0.608333333333333,0.7125,0.1,0.125,0.154166666666667,0.170833333333333,0.195833333333333,0.241666666666667,0.275,0.316666666666667,0.35,0.4125,0.441666666666667,0.466666666666667,0.516666666666667,0.5625,0.608333333333333,0.658333333333333,0.733333333333333,0.8125
bvar,directional,rolling window,ngdp_rpch,0.717086294293245,0.18305522374713,0.133796942551169,0.400234127994946,1.10047377244467,1.86383005981165,0.0875,0.15,0.229166666666667,0.316666666666667,0.4125,0.495833333333333,0.579166666666667,0.654166666666667,0.775,0.1125,0.2,0.245833333333333,0.291666666666667,0.341666666666667,0.408333333333333,0.45,0.4875,0.495833333333333,0.583333333333333,0.6375,0.679166666666667,0.725,0.754166666666667,0.7875,0.825,0.854166666666667,0.8875
bvar,directional,rolling window,pcpi_pch,0.472555113797074,0.110153280423103,0.258471449504948,0.103930383869023,0.684357926517516,1.17751327044714,0.0416666666666667,0.0958333333333333,0.158333333333333,0.233333333333333,0.295833333333333,0.370833333333333,0.4875,0.591666666666667,0.6875,0.0916666666666667,0.104166666666667,0.133333333333333,0.170833333333333,0.204166666666667,0.233333333333333,0.25,0.275,0.308333333333333,0.35,0.370833333333333,0.408333333333333,0.466666666666667,0.5,0.541666666666667,0.620833333333333,0.695833333333333,0.779166666666667
bvar_const,directional,rolling window,ngdp_rpch,0.715213393871808,0.180174692072351,0.140379181891067,0.39465951990839,1.08596898828233,1.81958340738797,0.0625,0.1375,0.220833333333333,0.316666666666667,0.395833333333333,0.483333333333333,0.5625,0.6375,0.766666666666667,0.116666666666667,0.208333333333333,0.254166666666667,0.295833333333333,0.341666666666667,0.3875,0.45,0.479166666666667,0.508333333333333,0.570833333333333,0.616666666666667,0.670833333333333,0.704166666666667,0.7375,0.779166666666667,0.816666666666667,0.845833333333333,0.883333333333333
bvar_const,directional,rolling window,pcpi_pch,0.480674309749108,0.11355068898017,0.251574648507773,0.115548972261165,0.697784022659828,1.17929915037348,0.0291666666666667,0.0791666666666667,0.145833333333333,0.2125,0.320833333333333,0.391666666666667,0.491666666666667,0.575,0.679166666666667,0.116666666666667,0.125,0.158333333333333,0.191666666666667,0.220833333333333,0.258333333333333,0.283333333333333,0.325,0.345833333333333,0.375,0.404166666666667,0.429166666666667,0.470833333333333,0.541666666666667,0.583333333333333,0.65,0.7,0.795833333333333
mean_ensemble,directional,rolling window,ngdp_rpch,0.668060723957541,0.18912049380414,0.115310143188918,0.363630086964483,1.12249847503975,1.88057656925294,0.075,0.204166666666667,0.291666666666667,0.3375,0.45,0.5375,0.625,0.7,0.808333333333333,0.108333333333333,0.175,0.233333333333333,0.279166666666667,0.341666666666667,0.4125,0.429166666666667,0.479166666666667,0.533333333333333,0.608333333333333,0.683333333333333,0.720833333333333,0.75,0.791666666666667,0.816666666666667,0.858333333333333,0.875,0.916666666666667
mean_ensemble,directional,rolling window,pcpi_pch,0.405769357772735,0.114099617516037,0.199302803469042,0.0923669367876562,0.675499589276217,1.16500404061685,0.0458333333333333,0.129166666666667,0.208333333333333,0.3125,0.3875,0.479166666666667,0.575,0.658333333333333,0.766666666666667,0.0666666666666667,0.0958333333333333,0.120833333333333,0.141666666666667,0.175,0.195833333333333,0.216666666666667,0.254166666666667,0.275,0.320833333333333,0.383333333333333,0.425,0.508333333333333,0.5625,0.620833333333333,0.695833333333333,0.754166666666667,0.833333333333333
