model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,DEU,ngdp_rpch,0,0.329934446843741,0.0708013220037873,0.0412860889240706,0.217847035915883,0.47143495124757,0.781966682273654,0.626700816760612,0.0909090909090909,0.454545454545455,0.454545454545455,0.727272727272727,0.818181818181818,0.909090909090909
ar,DEU,ngdp_rpch,0.5,0.708846674240084,0.265476567549297,0.00738222470082637,0.435987881989961,1.61985361430719,2.90596566306711,2.26290963868715,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,DEU,ngdp_rpch,1,1.15177234047671,0.448654398887844,0.00177114340410974,0.701346798184757,2.71485519693778,4.91173946203151,3.81329732948464,0.727272727272727,0.909090909090909,0.0909090909090909,0.272727272727273,1,1
ar,DEU,ngdp_rpch,1.5,1.25936545681882,0.477959915355095,0.00232496804089031,0.779080573422834,2.91319960630771,5.23343746933908,4.07331853782339,0.636363636363636,0.909090909090909,0.0909090909090909,0.363636363636364,1,1
ar,FRA,ngdp_rpch,0,0.241555796887872,0.0826663888197254,0.00447671515731147,0.154412692910835,0.509795785648174,0.907216148535086,0.70850596709163,0.636363636363636,0.727272727272727,0.272727272727273,0.363636363636364,1,1
ar,FRA,ngdp_rpch,0.5,0.791621328997174,0.251911058672007,0.0112101751294776,0.52850009519569,1.56201994560299,2.7683286231262,2.1651742843646,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,FRA,ngdp_rpch,1,1.7275489908418,0.393665489576386,0.0796152209816821,1.25426828028373,2.56368484115021,4.36137530988741,3.46253007551881,0.181818181818182,0.727272727272727,0.272727272727273,0.727272727272727,0.909090909090909,1
ar,FRA,ngdp_rpch,1.5,1.99702913834229,0.402782862426091,0.244618450749558,1.34962782516664,2.69353485336976,4.48384381466865,3.58868933401921,0.272727272727273,0.636363636363636,0.272727272727273,0.636363636363636,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,0,0.391150542889554,0.0785284583195734,0.0281501529431475,0.284471931626833,0.525858520369713,0.874523461536374,0.700190990953043,0.545454545454545,0.636363636363636,0.272727272727273,0.363636363636364,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,0.5,1.22776389812482,0.262595581270214,0.173282160312212,0.791886156542393,1.73041248336543,2.92686284055111,2.32863766195827,0.545454545454545,0.818181818181818,0.0909090909090909,0.363636363636364,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1,1.86252720423397,0.430274328413334,0.316044829234394,1.11620804658624,2.80246151470833,4.78898804100452,3.79572477785642,0.727272727272727,0.818181818181818,0.0909090909090909,0.181818181818182,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1.5,1.97833563532192,0.445422067243952,0.398826297436142,1.13408727064183,2.90459862597122,4.95761351175703,3.93110606886413,0.636363636363636,0.818181818181818,0.0909090909090909,0.181818181818182,0.818181818181818,0.909090909090909
ar,ITA,ngdp_rpch,0,0.429182985350622,0.072763420030006,0.00317089552329888,0.353248669797318,0.506083916694301,0.815220092345761,0.660652004520031,0.363636363636364,0.454545454545455,0.545454545454545,0.636363636363636,1,1
ar,ITA,ngdp_rpch,0.5,0.419992638006993,0.29078699736909,0.00909202660951374,0.12011361402839,1.67520125607856,3.15930135787071,2.41725130697463,0.818181818181818,1,0,0.181818181818182,1,1
ar,ITA,ngdp_rpch,1,1.6983774676898,0.529399102094022,0.000688898286710798,1.16828946730906,3.29033048420298,5.8253974540496,4.55786396912629,0.727272727272727,0.818181818181818,0.181818181818182,0.272727272727273,1,1
ar,ITA,ngdp_rpch,1.5,2.34921689537251,0.589094114552524,0.450227101613724,1.30989567920626,3.7738112577027,6.51132248612123,5.14256687191196,0.545454545454545,0.727272727272727,0.181818181818182,0.363636363636364,0.909090909090909,0.909090909090909
ar,USA,ngdp_rpch,0,0.252980944835103,0.0561786421865736,0.00437450977948969,0.19242779286904,0.36908589560841,0.624068541571618,0.496577218590014,0.454545454545455,0.636363636363636,0.363636363636364,0.545454545454545,1,1
ar,USA,ngdp_rpch,0.5,0.604382606260997,0.227919272043715,0.0355699555681672,0.340893378649115,1.38395851328688,2.50004173559498,1.94200012444093,0.636363636363636,0.909090909090909,0.0909090909090909,0.272727272727273,0.909090909090909,1
ar,USA,ngdp_rpch,1,1.02834002847841,0.409661866639109,0.0205701241333517,0.598108037705954,2.47138065190562,4.49273210132324,3.48205637661443,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,1,1
ar,USA,ngdp_rpch,1.5,1.16067783680681,0.450780932503955,0.15078052989032,0.559116374412535,2.74084393277966,4.93959573589756,3.84021983433861,0.727272727272727,0.818181818181818,0.0909090909090909,0.181818181818182,0.909090909090909,0.909090909090909
ar,DEU,pcpi_pch,0,0.354660738849287,0.0368794465704815,0.217654249507986,0.100127042770819,0.292043983852963,0.427106423996254,0.359575203924608,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.727272727272727,0.727272727272727
ar,DEU,pcpi_pch,0.5,0.600830447375474,0.160398650088689,0.408183672940473,0.0322481243463122,1.01962512268605,1.77111571969908,1.39537042119257,0.636363636363636,0.909090909090909,0,0.0909090909090909,0.727272727272727,0.909090909090909
ar,DEU,pcpi_pch,1,1.46498547517853,0.304543300362098,0.620571460318835,0.539870714497596,2.03315766612052,3.36785720250349,2.700507434312,0.0909090909090909,0.363636363636364,0.363636363636364,0.636363636363636,0.727272727272727,0.727272727272727
