model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,ngdp_rpch,0,0.328960943361379,0.0721876462719331,0.0162916724654636,0.240481624623982,0.476451813913634,0.800598985252499,0.5347111855895,0.0727272727272727,0.109090909090909,0.181818181818182,0.290909090909091,0.418181818181818,0.472727272727273,0.545454545454545,0.581818181818182,0.709090909090909,0.272727272727273,0.381818181818182,0.418181818181818,0.490909090909091,0.527272727272727,0.6,0.709090909090909,0.745454545454546,0.745454545454546,0.818181818181818,0.854545454545455,0.890909090909091,0.890909090909091,0.945454545454546,0.963636363636364,0.963636363636364,0.963636363636364,0.981818181818182
ar,ngdp_rpch,0.5,0.750521429126014,0.259737895380864,0.0473073084640394,0.44347622528111,1.59428916252821,2.85210004404202,1.79822448336492,0.145454545454545,0.272727272727273,0.363636363636364,0.472727272727273,0.618181818181818,0.727272727272727,0.836363636363636,0.872727272727273,0.890909090909091,0.0909090909090909,0.109090909090909,0.145454545454545,0.236363636363636,0.345454545454545,0.472727272727273,0.545454545454545,0.6,0.672727272727273,0.818181818181818,0.872727272727273,0.909090909090909,0.945454545454546,0.963636363636364,0.963636363636364,0.981818181818182,0.981818181818182,0.981818181818182
ar,ngdp_rpch,1,1.49371320634414,0.442331037122139,0.0837380432080496,0.967644126013949,2.76854253778098,4.87604647365926,3.1192155810399,0.109090909090909,0.181818181818182,0.272727272727273,0.472727272727273,0.636363636363636,0.727272727272727,0.781818181818182,0.836363636363636,0.890909090909091,0.0909090909090909,0.145454545454545,0.181818181818182,0.236363636363636,0.327272727272727,0.472727272727273,0.672727272727273,0.763636363636364,0.8,0.909090909090909,0.945454545454546,0.945454545454546,0.945454545454546,0.963636363636364,0.963636363636364,0.963636363636364,0.981818181818182,0.981818181818182
ar,ngdp_rpch,1.5,1.74892499253247,0.473207978416323,0.249355469546127,1.02636154457002,3.00519765522621,5.22516260355671,3.38328273296092,0.0909090909090909,0.145454545454545,0.254545454545455,0.436363636363636,0.563636363636364,0.654545454545455,0.763636363636364,0.781818181818182,0.8,0.145454545454545,0.145454545454545,0.163636363636364,0.272727272727273,0.345454545454545,0.454545454545455,0.636363636363636,0.727272727272727,0.763636363636364,0.854545454545455,0.872727272727273,0.890909090909091,0.890909090909091,0.909090909090909,0.927272727272727,0.927272727272727,0.927272727272727,0.945454545454546
ar,pcpi_pch,0,0.233502843107105,0.0580256722479584,0.136251943044964,0.0392252278141821,0.373784652429506,0.642523945655397,0.41962861922943,0.0727272727272727,0.181818181818182,0.272727272727273,0.436363636363636,0.545454545454545,0.618181818181818,0.709090909090909,0.745454545454546,0.8,0.0727272727272727,0.0909090909090909,0.127272727272727,0.2,0.2,0.254545454545455,0.327272727272727,0.381818181818182,0.472727272727273,0.545454545454545,0.563636363636364,0.6,0.690909090909091,0.745454545454546,0.818181818181818,0.836363636363636,0.836363636363636,0.872727272727273
ar,pcpi_pch,0.5,0.48527278079866,0.226059233397548,0.214288155361838,0.0449253920392738,1.3451348135959,2.46701997128169,1.52065862767401,0.145454545454545,0.254545454545455,0.418181818181818,0.472727272727273,0.672727272727273,0.745454545454546,0.854545454545455,0.909090909090909,0.927272727272727,0,0,0,0.0545454545454545,0.0909090909090909,0.2,0.218181818181818,0.327272727272727,0.381818181818182,0.527272727272727,0.581818181818182,0.636363636363636,0.672727272727273,0.763636363636364,0.8,0.854545454545455,0.909090909090909,0.927272727272727
ar,pcpi_pch,1,1.12746534101319,0.494672077832774,0.305833580158322,0.326959683022096,2.95563474274104,5.3936855010359,3.35635935333437,0.0727272727272727,0.127272727272727,0.218181818181818,0.381818181818182,0.509090909090909,0.672727272727273,0.763636363636364,0.8,0.890909090909091,0.0363636363636364,0.0727272727272727,0.109090909090909,0.2,0.363636363636364,0.454545454545455,0.581818181818182,0.654545454545455,0.690909090909091,0.763636363636364,0.781818181818182,0.8,0.836363636363636,0.872727272727273,0.872727272727273,0.872727272727273,0.872727272727273,0.927272727272727
ar,pcpi_pch,1.5,1.41788445107597,0.646023182523021,0.29385563020389,0.478005638349055,3.84265586682826,7.03390857009982,4.37287415670059,0.0363636363636364,0.0909090909090909,0.272727272727273,0.309090909090909,0.418181818181818,0.654545454545455,0.781818181818182,0.872727272727273,0.927272727272727,0.0181818181818182,0.0545454545454545,0.109090909090909,0.236363636363636,0.436363636363636,0.527272727272727,0.563636363636364,0.727272727272727,0.763636363636364,0.8,0.818181818181818,0.836363636363636,0.836363636363636,0.854545454545455,0.890909090909091,0.890909090909091,0.927272727272727,0.945454545454546
ar_annual,ngdp_rpch,0,1.73799695155452,0.408237548102656,0.622337580394044,0.707421823057818,2.66127393357609,4.53751285801586,2.96885546094148,0.254545454545455,0.436363636363636,0.509090909090909,0.563636363636364,0.672727272727273,0.745454545454546,0.763636363636364,0.781818181818182,0.818181818181818,0.0909090909090909,0.0909090909090909,0.109090909090909,0.109090909090909,0.145454545454545,0.218181818181818,0.236363636363636,0.254545454545455,0.345454545454545,0.6,0.690909090909091,0.745454545454546,0.781818181818182,0.818181818181818,0.854545454545455,0.872727272727273,0.872727272727273,0.909090909090909
ar_annual,ngdp_rpch,0.5,1.74118833611754,0.408534353922849,0.62642885876668,0.70622512342801,2.6637723036506,4.5410306567196,2.97153029184043,0.236363636363636,0.436363636363636,0.527272727272727,0.563636363636364,0.672727272727273,0.745454545454546,0.763636363636364,0.781818181818182,0.818181818181818,0.0909090909090909,0.0909090909090909,0.109090909090909,0.109090909090909,0.145454545454545,0.218181818181818,0.236363636363636,0.254545454545455,0.327272727272727,0.563636363636364,0.690909090909091,0.763636363636364,0.781818181818182,0.818181818181818,0.854545454545455,0.872727272727273,0.872727272727273,0.909090909090909
ar_annual,ngdp_rpch,1,1.65806544590155,0.409693438052552,0.48548132244584,0.762890685403162,2.64796269521389,4.5464778536246,2.95714180941683,0.24,0.38,0.52,0.56,0.64,0.74,0.78,0.78,0.8,0.1,0.1,0.1,0.12,0.14,0.2,0.24,0.24,0.32,0.56,0.62,0.76,0.76,0.78,0.86,0.88,0.88,0.9
ar_annual,ngdp_rpch,1.5,1.65919833678529,0.410085564221616,0.486242635576283,0.762870136987386,2.65027149634539,4.55070000682033,2.95989460499521,0.22,0.38,0.52,0.56,0.64,0.72,0.78,0.78,0.8,0.1,0.1,0.1,0.14,0.14,0.2,0.24,0.24,0.32,0.54,0.62,0.76,0.76,0.78,0.86,0.88,0.88,0.9
ar_annual,pcpi_pch,0,1.08942748533575,0.207537800467997,0.631002641247054,0.250887043620696,1.40482597469503,2.31283128538619,1.57589719402434,0.0181818181818182,0.109090909090909,0.163636363636364,0.163636363636364,0.254545454545455,0.345454545454545,0.472727272727273,0.581818181818182,0.727272727272727,0.0909090909090909,0.2,0.290909090909091,0.363636363636364,0.454545454545455,0.545454545454545,0.545454545454545,0.6,0.618181818181818,0.636363636363636,0.709090909090909,0.709090909090909,0.709090909090909,0.709090909090909,0.709090909090909,0.763636363636364,0.781818181818182,0.818181818181818
ar_annual,pcpi_pch,0.5,1.08885794344046,0.20752421137955,0.631274520809593,0.250059211251317,1.40458103019169,2.31265296009529,1.57563541095797,0.0181818181818182,0.109090909090909,0.163636363636364,0.163636363636364,0.254545454545455,0.345454545454545,0.454545454545455,0.6,0.727272727272727,0.0909090909090909,0.181818181818182,0.290909090909091,0.363636363636364,0.454545454545455,0.545454545454545,0.545454545454545,0.6,0.618181818181818,0.636363636363636,0.709090909090909,0.709090909090909,0.709090909090909,0.709090909090909,0.709090909090909,0.745454545454546,0.781818181818182,0.818181818181818
ar_annual,pcpi_pch,1,1.56272873519979,0.224325879183746,0.97790265980064,0.360500196215401,1.61990593082424,2.53501318490527,1.80494458492202,0.02,0.04,0.1,0.16,0.2,0.28,0.38,0.46,0.62,0.18,0.28,0.36,0.42,0.44,0.44,0.48,0.5,0.52,0.54,0.54,0.58,0.6,0.64,0.7,0.74,0.74,0.8
ar_annual,pcpi_pch,1.5,1.56257074031188,0.224308218408796,0.978059843154264,0.360202678748817,1.61977240763068,2.53478998543574,1.80480648020297,0.02,0.04,0.1,0.16,0.2,0.28,0.38,0.46,0.62,0.18,0.28,0.36,0.42,0.44,0.44,0.48,0.5,0.52,0.54,0.54,0.58,0.6,0.64,0.7,0.74,0.74,0.8
ar_bic,ngdp_rpch,0,0.32596573581097,0.0721983457319086,0.0170163517647851,0.236751038314276,0.475775168909361,0.80037477005118,0.53400668296807,0.0727272727272727,0.109090909090909,0.181818181818182,0.309090909090909,0.4,0.472727272727273,0.545454545454545,0.581818181818182,0.709090909090909,0.272727272727273,0.381818181818182,0.418181818181818,0.490909090909091,0.527272727272727,0.581818181818182,0.690909090909091,0.727272727272727,0.745454545454546,0.818181818181818,0.836363636363636,0.872727272727273,0.890909090909091,0.927272727272727,0.963636363636364,0.963636363636364,0.963636363636364,0.981818181818182
ar_bic,ngdp_rpch,0.5,0.702461937469669,0.258704628107932,0.0486766875831993,0.395080621778538,1.57677997158582,2.83734786679705,1.77865982262027,0.127272727272727,0.254545454545455,0.381818181818182,0.509090909090909,0.654545454545455,0.745454545454546,0.872727272727273,0.872727272727273,0.909090909090909,0.0727272727272727,0.109090909090909,0.109090909090909,0.218181818181818,0.309090909090909,0.436363636363636,0.527272727272727,0.6,0.654545454545455,0.781818181818182,0.854545454545455,0.909090909090909,0.945454545454546,0.963636363636364,0.963636363636364,0.981818181818182,0.981818181818182,0.981818181818182
ar_bic,ngdp_rpch,1,1.44267417071484,0.452265569655715,0.0848755531011885,0.90553304795794,2.81002516419779,4.9809672820075,3.16391175736368,0.0909090909090909,0.181818181818182,0.345454545454545,0.527272727272727,0.690909090909091,0.763636363636364,0.818181818181818,0.890909090909091,0.890909090909091,0.0909090909090909,0.0909090909090909,0.145454545454545,0.2,0.272727272727273,0.418181818181818,0.6,0.745454545454546,0.8,0.890909090909091,0.927272727272727,0.945454545454546,0.945454545454546,0.963636363636364,0.963636363636364,0.963636363636364,0.981818181818182,0.981818181818182
ar_bic,ngdp_rpch,1.5,1.77654583295605,0.50038619985897,0.33374684542906,0.942412787668018,3.15807599158539,5.52190741313568,3.55405379563707,0.109090909090909,0.163636363636364,0.290909090909091,0.509090909090909,0.636363636363636,0.709090909090909,0.763636363636364,0.836363636363636,0.854545454545455,0.0909090909090909,0.0909090909090909,0.163636363636364,0.218181818181818,0.272727272727273,0.381818181818182,0.6,0.709090909090909,0.745454545454546,0.854545454545455,0.872727272727273,0.890909090909091,0.890909090909091,0.909090909090909,0.927272727272727,0.927272727272727,0.927272727272727,0.945454545454546
ar_bic,pcpi_pch,0,0.219479879794551,0.0479902099985383,0.144797424665828,0.0266922451301849,0.31594340849483,0.533415814793723,0.354154920774672,0.0545454545454545,0.181818181818182,0.254545454545455,0.381818181818182,0.454545454545455,0.563636363636364,0.636363636363636,0.690909090909091,0.818181818181818,0.0363636363636364,0.0909090909090909,0.127272727272727,0.145454545454545,0.181818181818182,0.236363636363636,0.290909090909091,0.327272727272727,0.436363636363636,0.490909090909091,0.509090909090909,0.545454545454545,0.618181818181818,0.636363636363636,0.709090909090909,0.763636363636364,0.781818181818182,0.854545454545455
ar_bic,pcpi_pch,0.5,0.50526695765859,0.169716600110821,0.269673007646705,0.0658773499010639,1.04979777790912,1.86319055948041,1.18085397971669,0.109090909090909,0.254545454545455,0.345454545454545,0.509090909090909,0.563636363636364,0.636363636363636,0.709090909090909,0.745454545454546,0.818181818181818,0.0545454545454545,0.0545454545454545,0.0727272727272727,0.0727272727272727,0.127272727272727,0.145454545454545,0.236363636363636,0.290909090909091,0.363636363636364,0.472727272727273,0.545454545454545,0.581818181818182,0.654545454545455,0.690909090909091,0.709090909090909,0.781818181818182,0.8,0.872727272727273
ar_bic,pcpi_pch,1,0.986498570103227,0.357526968220884,0.411263954980496,0.217707646901847,2.1843516771292,3.91453425158704,2.47039105367728,0.145454545454545,0.163636363636364,0.272727272727273,0.381818181818182,0.509090909090909,0.618181818181818,0.745454545454546,0.781818181818182,0.890909090909091,0.0181818181818182,0.0909090909090909,0.109090909090909,0.2,0.290909090909091,0.418181818181818,0.490909090909091,0.581818181818182,0.6,0.745454545454546,0.745454545454546,0.763636363636364,0.8,0.8,0.818181818181818,0.854545454545455,0.872727272727273,0.909090909090909
ar_bic,pcpi_pch,1.5,1.17935836480581,0.479921822310157,0.506631882436068,0.192804660059584,2.89072509586393,5.24708433983675,3.27241457402395,0.0727272727272727,0.163636363636364,0.309090909090909,0.454545454545455,0.581818181818182,0.709090909090909,0.781818181818182,0.818181818181818,0.909090909090909,0,0.0363636363636364,0.0545454545454545,0.127272727272727,0.218181818181818,0.309090909090909,0.4,0.472727272727273,0.545454545454545,0.618181818181818,0.636363636363636,0.709090909090909,0.763636363636364,0.8,0.836363636363636,0.836363636363636,0.854545454545455,0.909090909090909
