model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
bvar_ciss,ngdp_rpch,0.882285549520612,0.245533521615572,0.212546186082072,0.424205841822967,1.50528837899083,2.68276627429086,0.352173913043478,0.6,0.273913043478261,0.430434782608696,0.782608695652174,0.873913043478261
bvar_ciss,pcpi_pch,0.424849242590264,0.181292991657258,0.105761904088198,0.137794346844808,1.04850971461583,1.98636466379667,0.526086956521739,0.747826086956522,0.0956521739130435,0.191304347826087,0.717391304347826,0.843478260869565
bvar_qu,ngdp_rpch,0.785466757708093,0.220073049703672,0.0450928843505974,0.520300823653823,1.34903116851652,2.40004065149238,0.391111111111111,0.588888888888889,0.342222222222222,0.484444444444445,0.875555555555556,0.931111111111111
bvar_qu,pcpi_pch,0.534652820464887,0.275788149159859,0.0700151484060308,0.188849522898997,1.56825725920495,2.98833563150176,0.575555555555556,0.84,0.0688888888888889,0.248888888888889,0.824444444444444,0.908888888888889
