country,target,target_year,forecast_year,forecast_season,prediction,horizon,tv_0.5,tv_1,tv_1.5,tv_2
CAN,ngdp_rpch,2025,2025,F,1.153,0,,,,
CAN,ngdp_rpch,2026,2025,F,1.541,1,,,,
DEU,ngdp_rpch,2025,2025,F,0.191,0,,,,
DEU,ngdp_rpch,2026,2025,F,0.944,1,,,,
GBR,ngdp_rpch,2025,2025,F,0.671,0,,,,
GBR,ngdp_rpch,2026,2025,F,0.911,1,,,,
FRA,ngdp_rpch,2025,2025,F,1.308,0,,,,
FRA,ngdp_rpch,2026,2025,F,1.264,1,,,,
ITA,ngdp_rpch,2025,2025,F,0.546,0,,,,
ITA,ngdp_rpch,2026,2025,F,0.759,1,,,,
JPN,ngdp_rpch,2025,2025,F,1.076,0,,,,
JPN,ngdp_rpch,2026,2025,F,0.633,1,,,,
USA,ngdp_rpch,2025,2025,F,2.017,0,,,,
USA,ngdp_rpch,2026,2025,F,2.102,1,,,,
CAN,pcpi_pch,2025,2025,F,1.963,0,,,,
CAN,pcpi_pch,2026,2025,F,2.03,1,,,,
DEU,pcpi_pch,2025,2025,F,2.114,0,,,,
DEU,pcpi_pch,2026,2025,F,1.756,1,,,,
GBR,pcpi_pch,2025,2025,F,1.143,0,,,,
GBR,pcpi_pch,2026,2025,F,1.526,1,,,,
FRA,pcpi_pch,2025,2025,F,3.402,0,,,,
FRA,pcpi_pch,2026,2025,F,2.546,1,,,,
ITA,pcpi_pch,2025,2025,F,1.657,0,,,,
ITA,pcpi_pch,2026,2025,F,2.014,1,,,,
JPN,pcpi_pch,2025,2025,F,3.287,0,,,,
JPN,pcpi_pch,2026,2025,F,2.144,1,,,,
USA,pcpi_pch,2025,2025,F,2.715,0,,,,
USA,pcpi_pch,2026,2025,F,2.435,1,,,,
