country,target,target_year,forecast_season,horizon,forecast_year,prediction,tv_0.5,tv_1,tv_1.5,tv_2
AUS,ngdp_rpch,1990,S,0.5,1990,1.825399247427,0.900000605761853,1.22638973147418,1.73509237259926,1.33435352890661
AUS,ngdp_rpch,1990,F,0,1990,1.82698298620489,0.900000605761853,1.22638973147418,1.73509237259926,1.33435352890661
AUS,ngdp_rpch,1991,S,1.5,1990,2.76695476797875,-1.8978697921045,-1.97690821532477,-1.08727295031593,-0.933937363249127
AUS,ngdp_rpch,1991,F,1,1990,1.64083463772142,-1.8978697921045,-1.97690821532477,-1.08727295031593,-0.933937363249127
AUS,ngdp_rpch,1991,S,0.5,1991,1.20000451755238,-1.8978697921045,-1.97690821532477,-1.08727295031593,-0.933937363249127
AUS,ngdp_rpch,1991,F,0,1991,0.410268853480611,-1.8978697921045,-1.97690821532477,-1.08727295031593,-0.933937363249127
AUS,ngdp_rpch,1992,S,1.5,1991,2.90000381788116,1.49782481108813,1.83130052636871,2.00597497641739,2.12860190652431
AUS,ngdp_rpch,1992,F,1,1991,3.00493932286723,1.49782481108813,1.83130052636871,2.00597497641739,2.12860190652431
AUS,ngdp_rpch,1992,S,0.5,1992,2.02037513888613,1.49782481108813,1.83130052636871,2.00597497641739,2.12860190652431
AUS,ngdp_rpch,1992,F,0,1992,3.04484499029349,1.49782481108813,1.83130052636871,2.00597497641739,2.12860190652431
AUS,ngdp_rpch,1993,S,1.5,1992,3.71014538287202,3.03423807029906,4.07543760341731,3.70799187306452,3.9289752515888
AUS,ngdp_rpch,1993,F,1,1992,3.77485173672356,3.03423807029906,4.07543760341731,3.70799187306452,3.9289752515888
AUS,ngdp_rpch,1993,S,0.5,1993,2.56878146958244,3.03423807029906,4.07543760341731,3.70799187306452,3.9289752515888
AUS,ngdp_rpch,1993,F,0,1993,2.61880607604594,3.03423807029906,4.07543760341731,3.70799187306452,3.9289752515888
AUS,ngdp_rpch,1994,S,1.5,1993,2.99485820398056,4.72950598984308,5.39070028374233,5.47943592556803,5.4039110245192
AUS,ngdp_rpch,1994,F,1,1993,2.98351626765936,4.72950598984308,5.39070028374233,5.47943592556803,5.4039110245192
AUS,ngdp_rpch,1994,S,0.5,1994,2.6240389087836,4.72950598984308,5.39070028374233,5.47943592556803,5.4039110245192
AUS,ngdp_rpch,1994,F,0,1994,4.21450387123488,4.72950598984308,5.39070028374233,5.47943592556803,5.4039110245192
AUS,ngdp_rpch,1995,S,1.5,1994,2.9365517919034,3.50000318398667,3.20300266678133,3.22480012028339,3.19065891479859
AUS,ngdp_rpch,1995,F,1,1994,4.05205420459409,3.50000318398667,3.20300266678133,3.22480012028339,3.19065891479859
AUS,ngdp_rpch,1995,S,0.5,1995,4.3860764466795,3.50000318398667,3.20300266678133,3.22480012028339,3.19065891479859
AUS,ngdp_rpch,1995,F,0,1995,3.78708192467965,3.50000318398667,3.20300266678133,3.22480012028339,3.19065891479859
AUS,ngdp_rpch,1996,S,1.5,1995,3.78206501436964,3.97050253322815,3.9103393491523,3.57451797900616,3.65089066322655
AUS,ngdp_rpch,1996,F,1,1995,3.60153923300746,3.97050253322815,3.9103393491523,3.57451797900616,3.65089066322655
AUS,ngdp_rpch,1996,S,0.5,1996,3.40000204122604,3.97050253322815,3.9103393491523,3.57451797900616,3.65089066322655
AUS,ngdp_rpch,1996,F,0,1996,3.79303000942792,3.97050253322815,3.9103393491523,3.57451797900616,3.65089066322655
AUS,ngdp_rpch,1997,S,1.5,1996,3.09999793488878,3.13413177135307,3.28614636886837,3.61520030294744,3.85095765302952
AUS,ngdp_rpch,1997,F,1,1996,3.00159500460042,3.13413177135307,3.28614636886837,3.61520030294744,3.85095765302952
AUS,ngdp_rpch,1997,S,0.5,1997,3.19914371654615,3.13413177135307,3.28614636886837,3.61520030294744,3.85095765302952
AUS,ngdp_rpch,1997,F,0,1997,3.16895269712492,3.13413177135307,3.28614636886837,3.61520030294744,3.85095765302952
AUS,ngdp_rpch,1998,S,1.5,1997,3.69559918911999,5.10148492453495,5.07626920335009,5.11107523585461,5.21772411816561
AUS,ngdp_rpch,1998,F,1,1997,4.03457878952667,5.10148492453495,5.07626920335009,5.11107523585461,5.21772411816561
AUS,ngdp_rpch,1998,S,0.5,1998,3.18872207508758,5.10148492453495,5.07626920335009,5.11107523585461,5.21772411816561
AUS,ngdp_rpch,1998,F,0,1998,3.53251742481044,5.10148492453495,5.07626920335009,5.11107523585461,5.21772411816561
