model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.330219792497265,0.0796759050337368,0.167298592010747,0.0832452954527813,1.48639630464217,2.88840508833988,2.18740069649103,0.454545454545455,0.727272727272727,0.0909090909090909,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.331123055455866,0.163888782557456,0.118751508618055,0.0484827642803546,1.68480688992067,2.41044388431564,2.04762538711816,0.454545454545455,0.818181818181818,0,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.971696762519635,0.220350450552326,0.0396662280447836,0.711680083922525,4.5611642681936,8.0310245799087,6.29609442405115,0.363636363636364,0.727272727272727,0.272727272727273,0.545454545454545,0.909090909090909,1
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,1.03308269860113,0.365300303635136,0.0153202163373514,0.652462178628642,4.77259349136112,8.7301702436198,6.75138186749046,0.454545454545455,0.818181818181818,0.181818181818182,0.454545454545455,0.909090909090909,1
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.240160444007881,0.100329080584718,0.118137659290085,0.0216937041330781,1.14726664048177,1.9350422789532,1.54115445971748,0.454545454545455,0.818181818181818,0.0909090909090909,0.181818181818182,0.636363636363636,0.909090909090909
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.43853507397114,0.19192470162593,0.183190403928125,0.0634199684170855,2.16080777344842,3.36868204580177,2.76474490962509,0.545454545454545,0.818181818181818,0.0909090909090909,0.181818181818182,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.0983674052881,0.361367633815273,0.00492918478760637,0.732070586685223,5.09580656507696,9.22783169306964,7.1618191290733,0.545454545454545,0.636363636363636,0.363636363636364,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.24511255652687,0.4499709920261,0,0.795141564500768,5.77118804139819,10.4742810270419,8.12273453422003,0.545454545454545,0.636363636363636,0.363636363636364,0.454545454545455,1,1
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.300848290363464,0.0777287180752334,0.223013823006787,0.000105749281443454,1.29741278772381,2.77343383795975,2.03542331284178,0.545454545454545,0.636363636363636,0,0.0909090909090909,0.636363636363636,0.636363636363636
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.323140468911048,0.156397478486799,0.0951323406195459,0.0716106498047028,1.57059691470973,2.53631709144663,2.05345700307818,0.454545454545455,0.636363636363636,0.181818181818182,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,FRA,ngdp_rpch,1,1.12565588687617,0.258725961926031,0.0420452692450077,0.82488465570513,4.90319823386442,10.2551221528623,7.57916019336336,0.636363636363636,0.818181818181818,0.181818181818182,0.181818181818182,0.818181818181818,1
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,1.34127435171353,0.381182923499065,0.143918230011224,0.81617319820324,5.88225664680221,12.1198454172651,9.00105103203364,0.636363636363636,0.727272727272727,0.181818181818182,0.181818181818182,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.167271367085803,0.106247058637587,0.0549883510360081,0.00603595741220809,0.846339276123955,1.22957915140618,1.03795921376507,0.545454545454545,0.818181818181818,0,0.181818181818182,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,GBR,ngdp_rpch,0.5,0.637667736150448,0.211714869192188,0.176573135185749,0.249379731772511,2.93098057239895,5.42590329201159,4.17844193220527,0.636363636363636,0.727272727272727,0.0909090909090909,0.0909090909090909,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,GBR,ngdp_rpch,1,1.32078769125791,0.296427033835006,0.0761078407336509,0.948252816689252,5.78280797602555,11.9587338850943,8.87077093055993,0.545454545454545,0.818181818181818,0.0909090909090909,0.181818181818182,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,GBR,ngdp_rpch,1.5,1.58859817133504,0.451930757251645,0.229785776862894,0.906881637220498,7.19044538756682,13.7958499577837,10.4931476726752,0.545454545454545,0.818181818181818,0.0909090909090909,0.272727272727273,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,ITA,ngdp_rpch,0,0.324007273144066,0.0780696346733369,0.232235715161628,0.0137019233091004,1.49432877667512,2.74432352119352,2.11932614893432,0.454545454545455,0.636363636363636,0.0909090909090909,0.181818181818182,0.636363636363636,0.727272727272727
IMF,absolute,rolling window,ITA,ngdp_rpch,0.5,0.518703189442523,0.212912943264854,0.265905745317329,0.0398845008603408,2.464368421562,4.21314273494545,3.33875557825373,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,ITA,ngdp_rpch,1,1.22331475398714,0.464473007423401,0.0597123601094554,0.69912938645428,5.51008048143946,10.6910938761441,8.10058717879178,0.727272727272727,0.818181818181818,0.0909090909090909,0.0909090909090909,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,ITA,ngdp_rpch,1.5,1.3333309516489,0.562996170240747,0.0504373731409145,0.719897408267241,6.09114327009215,11.4387608577477,8.76495206391992,0.818181818181818,0.818181818181818,0.0909090909090909,0.0909090909090909,0.909090909090909,0.909090909090909
