model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,CAN,ngdp_rpch,0,0.321646258779847,0.0591080448602958,0.0293745328773071,0.233163681042244,1.43217210396447,2.19657775196375,1.59964479362441,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,0.272727272727273,0.636363636363636,0.363636363636364,0.545454545454545,0.545454545454545,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,1
ar,CAN,ngdp_rpch,0.5,0.704352680058578,0.236206312461829,0,0.468146367596749,3.07970344925287,5.27367771980526,3.69220990586199,0.0909090909090909,0.181818181818182,0.272727272727273,0.636363636363636,0.636363636363636,0.636363636363636,0.727272727272727,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0.727272727272727,0.818181818181818,0.909090909090909,1,1,1,1,1,1,1,1,1
ar,CAN,ngdp_rpch,1,1.2650536166404,0.428517171900255,0.00282599441322532,0.83371045032692,5.54604592234597,9.98885866740984,6.82890355318168,0.181818181818182,0.363636363636364,0.454545454545455,0.545454545454545,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,0.454545454545455,0.545454545454545,0.636363636363636,0.727272727272727,0.909090909090909,1,1,1,1,1,1,1,1
ar,CAN,ngdp_rpch,1.5,1.44287750494698,0.475262663698441,0.0832401862363478,0.884374655012191,6.09108969574207,10.4160964075592,7.42054360390213,0.0909090909090909,0.181818181818182,0.181818181818182,0.363636363636364,0.363636363636364,0.636363636363636,0.818181818181818,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.272727272727273,0.545454545454545,0.545454545454545,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,1,1
ar,DEU,ngdp_rpch,0,0.329934446843741,0.0708013220037873,0.0412860889240706,0.217847035915883,1.47017337708995,2.04268348193559,1.57281888818627,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.454545454545455,0.636363636363636,0.272727272727273,0.454545454545455,0.636363636363636,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
ar,DEU,ngdp_rpch,0.5,0.708846674240084,0.265476567549297,0.00738222470082637,0.435987881989961,3.14714598817337,5.04965979080255,3.62511552058679,0.0909090909090909,0.272727272727273,0.454545454545455,0.454545454545455,0.545454545454545,0.636363636363636,0.818181818181818,0.818181818181818,0.909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.363636363636364,0.454545454545455,0.545454545454545,0.545454545454545,0.545454545454545,0.636363636363636,0.727272727272727,0.818181818181818,1,1,1,1,1,1,1
ar,DEU,ngdp_rpch,1,1.15177234047671,0.448654398887844,0.00177114340410974,0.701346798184757,4.95560393555925,8.60075008334918,5.98283279310034,0,0.0909090909090909,0.181818181818182,0.545454545454545,0.727272727272727,0.727272727272727,0.818181818181818,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.272727272727273,0.454545454545455,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,1,1,1,1,1,1,1,1
ar,DEU,ngdp_rpch,1.5,1.25936545681882,0.477959915355095,0.00232496804089031,0.779080573422834,5.61551557964372,9.24950303078107,6.54094034642868,0.0909090909090909,0.272727272727273,0.363636363636364,0.636363636363636,0.636363636363636,0.636363636363636,0.818181818181818,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.363636363636364,0.363636363636364,0.636363636363636,0.727272727272727,0.818181818181818,0.909090909090909,1,1,1,1,1,1,1,1
ar,FRA,ngdp_rpch,0,0.241555796887872,0.0826663888197254,0.00447671515731147,0.154412692910835,1.06625372763307,1.80555036532886,1.24680076002366,0.0909090909090909,0.0909090909090909,0.181818181818182,0.545454545454545,0.636363636363636,0.636363636363636,0.727272727272727,0.727272727272727,0.818181818181818,0.181818181818182,0.272727272727273,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,1,1,1,1,1
ar,FRA,ngdp_rpch,0.5,0.791621328997174,0.251911058672007,0.0112101751294776,0.52850009519569,3.38535096195995,5.87703300922264,4.08551168807834,0,0.0909090909090909,0.0909090909090909,0.363636363636364,0.545454545454545,0.636363636363636,0.727272727272727,0.818181818181818,0.818181818181818,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,0.454545454545455,0.636363636363636,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,1,1,1,1,1,1
ar,FRA,ngdp_rpch,1,1.7275489908418,0.393665489576386,0.0796152209816821,1.25426828028373,7.25339850741998,12.7104700307744,9.01186925054939,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.454545454545455,0.636363636363636,0.727272727272727,0.909090909090909,0.0909090909090909,0.272727272727273,0.272727272727273,0.454545454545455,0.727272727272727,0.727272727272727,0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,1,1
