target_year,target,horizon,method,error_method,source,score
2014,pcpi_pch,1.5,rolling window,absolute,IMF,0.428142288279975
2015,pcpi_pch,1.5,rolling window,absolute,IMF,0.754872110396902
2016,pcpi_pch,1.5,rolling window,absolute,IMF,0.479313300929716
2017,pcpi_pch,1.5,rolling window,absolute,IMF,0.380596758819296
2018,pcpi_pch,1.5,rolling window,absolute,IMF,0.336674701828107
2019,pcpi_pch,1.5,rolling window,absolute,IMF,0.355836224819266
2020,pcpi_pch,1.5,rolling window,absolute,IMF,0.823681311568959
2021,pcpi_pch,1.5,rolling window,absolute,IMF,1.24075474527846
2022,pcpi_pch,1.5,rolling window,absolute,IMF,5.77171411252921
2023,pcpi_pch,1.5,rolling window,absolute,IMF,2.0446646715957
2013,ngdp_rpch,0,rolling window,absolute,ar,0.24033131441831
2014,ngdp_rpch,0,rolling window,absolute,ar,0.355267783850335
2015,ngdp_rpch,0,rolling window,absolute,ar,0.312722944029581
2016,ngdp_rpch,0,rolling window,absolute,ar,0.233147120693432
2017,ngdp_rpch,0,rolling window,absolute,ar,0.254254225512222
2018,ngdp_rpch,0,rolling window,absolute,ar,0.24031541635236
2019,ngdp_rpch,0,rolling window,absolute,ar,0.263011859759409
2020,ngdp_rpch,0,rolling window,absolute,ar,0.512084692033937
2021,ngdp_rpch,0,rolling window,absolute,ar,0.927683681748041
2022,ngdp_rpch,0,rolling window,absolute,ar,0.240192813969091
2023,ngdp_rpch,0,rolling window,absolute,ar,0.177662898156114
2013,ngdp_rpch,0.5,rolling window,absolute,ar,0.348265458924115
2014,ngdp_rpch,0.5,rolling window,absolute,ar,0.833015162561763
2015,ngdp_rpch,0.5,rolling window,absolute,ar,0.517484086426258
2016,ngdp_rpch,0.5,rolling window,absolute,ar,0.416770355858213
2017,ngdp_rpch,0.5,rolling window,absolute,ar,0.371699654999056
2018,ngdp_rpch,0.5,rolling window,absolute,ar,0.457719674884353
2019,ngdp_rpch,0.5,rolling window,absolute,ar,0.464388532722697
2020,ngdp_rpch,0.5,rolling window,absolute,ar,3.67857007550644
2021,ngdp_rpch,0.5,rolling window,absolute,ar,0.803512234017409
2022,ngdp_rpch,0.5,rolling window,absolute,ar,0.441304034581794
