model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.131234617085652,0.0903084529721249,0.0117019451086183,0.029224219004909,0.652281927060217,0.993987524062503,0.82313472556136,0.5,0.833333333333333,0.0833333333333333,0.333333333333333,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.289569168933516,0.26113863758483,0,0.0284305313486861,1.44710781108364,2.17361385096122,1.81036083102243,0.833333333333333,0.916666666666667,0.0833333333333333,0.166666666666667,1,1
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.77131420355821,0.489286988480899,0,0.282027215077311,3.7691085987129,6.00351257438196,4.88631058654743,0.833333333333333,0.833333333333333,0.166666666666667,0.166666666666667,1,1
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,0.949659630627194,0.505140268399723,0.0648035589378329,0.379715803289638,4.61241573624285,7.46215327193676,6.0372845040898,0.75,0.75,0.166666666666667,0.166666666666667,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.219956021521677,0.101312315488849,0.076823525638167,0.0418201803946607,1.09705537242623,1.65648199936796,1.37676868589709,0.416666666666667,0.75,0.0833333333333333,0.25,0.666666666666667,0.833333333333333
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.548468852940534,0.200989923297883,0.269784123238451,0.0776948064041993,2.71969290460297,4.17014479730325,3.44491885095311,0.416666666666667,0.666666666666667,0.0833333333333333,0.25,0.666666666666667,0.75
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.13157621526558,0.449470268859705,0.206681195840487,0.475424750565389,5.71146746471894,8.35285564351428,7.03216155411661,0.416666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.75,0.833333333333333
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.41324777135962,0.526336775497638,0.259683813223433,0.627227182638553,6.78136800185895,11.3115354225451,9.04645171220203,0.416666666666667,0.583333333333333,0.333333333333333,0.333333333333333,0.75,0.916666666666667
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.161735752939011,0.1078605806483,0.00364683189681209,0.0502283403938982,0.811763733112232,1.20530572599963,1.00853472955593,0.583333333333333,0.833333333333333,0.166666666666667,0.333333333333333,0.916666666666667,1
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.288523081327286,0.183140153951122,0.00468503092117708,0.100697896454987,1.47480915098923,2.08343874907265,1.77912395003094,0.5,0.833333333333333,0.166666666666667,0.416666666666667,0.916666666666667,1
IMF,absolute,rolling window,FRA,ngdp_rpch,1,0.68959441531277,0.350384911637264,0.00226185945598834,0.336947644219518,3.53196585407024,4.9619736710798,4.24696976257502,0.416666666666667,0.75,0.25,0.5,0.916666666666667,1
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,0.91112361807647,0.313978719894797,0.02094803269168,0.576196865489993,4.62577893666249,6.65802501987318,5.64190197826783,0.333333333333333,0.666666666666667,0.333333333333333,0.583333333333333,0.916666666666667,1
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.180648161895553,0.0839440590246848,0.0453784174056021,0.051325685465266,0.909784133580068,1.33850290396089,1.12414351877048,0.416666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.75,0.833333333333333
