model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,ngdp_rpch,1.10357897225126,0.324568354256074,0.078300122942238,0.700710495052948,4.73576875407839,8.31016990517381,5.777827549828,0.0912162162162162,0.168918918918919,0.25,0.39527027027027,0.523648648648649,0.611486486486487,0.70945945945946,0.75,0.817567567567568,0.162162162162162,0.216216216216216,0.25,0.344594594594595,0.425675675675676,0.527027027027027,0.665540540540541,0.72972972972973,0.766891891891892,0.858108108108108,0.898648648648649,0.915540540540541,0.922297297297297,0.949324324324324,0.956081081081081,0.959459459459459,0.966216216216216,0.97972972972973
ar,pcpi_pch,0.766990627075066,0.360198076192786,0.18920616384712,0.21758638703516,3.29164005689361,4.98114029086779,3.70192235130488,0.108108108108108,0.189189189189189,0.307432432432432,0.408783783783784,0.567567567567568,0.719594594594595,0.817567567567568,0.871621621621622,0.915540540540541,0.0236486486486487,0.0405405405405405,0.0743243243243243,0.152027027027027,0.277027027027027,0.388513513513514,0.456081081081081,0.543918918918919,0.594594594594595,0.702702702702703,0.733108108108108,0.763513513513514,0.797297297297297,0.844594594594595,0.871621621621622,0.891891891891892,0.912162162162162,0.939189189189189
ar_annual,ngdp_rpch,1.54775276493381,0.415244302222042,0.445502807877737,0.687005654834036,6.77281617023256,12.9323078384837,8.56926012741645,0.212837837837838,0.402027027027027,0.5,0.581081081081081,0.679054054054054,0.753378378378378,0.783783783783784,0.797297297297297,0.831081081081081,0.0945945945945946,0.101351351351351,0.108108108108108,0.125,0.152027027027027,0.216216216216216,0.273648648648649,0.293918918918919,0.39527027027027,0.608108108108108,0.695945945945946,0.773648648648649,0.797297297297297,0.831081081081081,0.878378378378378,0.891891891891892,0.898648648648649,0.925675675675676
ar_annual,pcpi_pch,1.14473305054858,0.217527191326391,0.675334539432413,0.251871319789777,4.91644765481655,8.64367352238104,6.04555873432172,0.0405405405405405,0.121621621621622,0.168918918918919,0.243243243243243,0.304054054054054,0.398648648648649,0.496621621621622,0.60472972972973,0.72972972972973,0.0945945945945946,0.179054054054054,0.277027027027027,0.344594594594595,0.398648648648649,0.445945945945946,0.47972972972973,0.506756756756757,0.547297297297297,0.587837837837838,0.628378378378378,0.648648648648649,0.689189189189189,0.702702702702703,0.743243243243243,0.773648648648649,0.783783783783784,0.824324324324324
ar_bic,ngdp_rpch,1.05512048383445,0.328882585775289,0.0962614565674832,0.629976441491674,4.54747515763495,8.12633062110246,5.58713685291863,0.097972972972973,0.182432432432432,0.297297297297297,0.452702702702703,0.560810810810811,0.648648648648649,0.72972972972973,0.777027027027027,0.83445945945946,0.14527027027027,0.189189189189189,0.226351351351351,0.304054054054054,0.375,0.466216216216216,0.608108108108108,0.699324324324324,0.736486486486487,0.83445945945946,0.881756756756757,0.905405405405405,0.918918918918919,0.935810810810811,0.952702702702703,0.956081081081081,0.966216216216216,0.97972972972973
ar_bic,pcpi_pch,0.673144790385661,0.267896904024337,0.279853250667389,0.125394635693935,2.9518864797004,4.84683382304181,3.42158825943873,0.118243243243243,0.222972972972973,0.341216216216216,0.462837837837838,0.570945945945946,0.662162162162162,0.746621621621622,0.787162162162162,0.878378378378378,0.0236486486486487,0.0641891891891892,0.0912162162162162,0.138513513513514,0.199324324324324,0.280405405405405,0.351351351351351,0.425675675675676,0.493243243243243,0.611486486486487,0.648648648648649,0.692567567567568,0.743243243243243,0.77027027027027,0.800675675675676,0.837837837837838,0.851351351351351,0.902027027027027
arx_annual,ngdp_rpch,0.930815283025157,0.238061918575402,0.242876105614508,0.449877258835247,4.0454182728204,7.2004209072061,4.95179910746695,0.125,0.243243243243243,0.324324324324324,0.418918918918919,0.52027027027027,0.60472972972973,0.668918918918919,0.743243243243243,0.804054054054054,0.0945945945945946,0.114864864864865,0.135135135135135,0.165540540540541,0.189189189189189,0.219594594594595,0.253378378378378,0.280405405405405,0.351351351351351,0.476351351351351,0.523648648648649,0.577702702702703,0.638513513513514,0.70945945945946,0.77027027027027,0.804054054054054,0.858108108108108,0.898648648648649
arx_annual,pcpi_pch,0.725426537965557,0.127293544678829,0.408202148270476,0.189930845016252,3.14743180471058,5.50995493311806,3.83708881430033,0.10472972972973,0.168918918918919,0.253378378378378,0.317567567567568,0.347972972972973,0.415540540540541,0.469594594594595,0.564189189189189,0.702702702702703,0.131756756756757,0.233108108108108,0.287162162162162,0.324324324324324,0.371621621621622,0.39527027027027,0.442567567567568,0.493243243243243,0.533783783783784,0.638513513513514,0.662162162162162,0.695945945945946,0.712837837837838,0.719594594594595,0.739864864864865,0.756756756756757,0.797297297297297,0.83445945945946
bvar_const,ngdp_rpch,1.01565477748339,0.277156500005016,0.125203599052779,0.61329467842559,4.38441610681224,7.87686912688073,5.42441393580311,0.0844594594594595,0.165540540540541,0.266891891891892,0.408783783783784,0.506756756756757,0.574324324324324,0.648648648648649,0.72972972972973,0.810810810810811,0.155405405405405,0.216216216216216,0.290540540540541,0.337837837837838,0.39527027027027,0.472972972972973,0.597972972972973,0.675675675675676,0.72972972972973,0.814189189189189,0.841216216216216,0.864864864864865,0.881756756756757,0.902027027027027,0.912162162162162,0.939189189189189,0.945945945945946,0.966216216216216
bvar_const,pcpi_pch,0.755487232468303,0.368248538170643,0.197922660170286,0.189316034127374,3.25241071908278,5.01454827834666,3.67993962505398,0.0810810810810811,0.192567567567568,0.283783783783784,0.39527027027027,0.554054054054054,0.675675675675676,0.783783783783784,0.847972972972973,0.922297297297297,0.027027027027027,0.0608108108108108,0.0878378378378378,0.165540540540541,0.256756756756757,0.368243243243243,0.449324324324324,0.527027027027027,0.587837837837838,0.668918918918919,0.719594594594595,0.733108108108108,0.763513513513514,0.810810810810811,0.841216216216216,0.871621621621622,0.908783783783784,0.949324324324324
