model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
bvar_ciss,ngdp_rpch,0.882285549520612,0.245533521615572,0.212546186082072,0.424205841822967,1.50528837899083,2.68276627429086,0.0652173913043478,0.139130434782609,0.243478260869565,0.31304347826087,0.352173913043478,0.439130434782609,0.51304347826087,0.6,0.695652173913044,0.217391304347826,0.273913043478261,0.339130434782609,0.38695652173913,0.430434782608696,0.452173913043478,0.504347826086957,0.573913043478261,0.608695652173913,0.673913043478261,0.71304347826087,0.747826086956522,0.765217391304348,0.782608695652174,0.826086956521739,0.852173913043478,0.873913043478261,0.91304347826087
bvar_ciss,pcpi_pch,0.424849242590264,0.181292991657258,0.105761904088198,0.137794346844808,1.04850971461583,1.98636466379667,0.0739130434782609,0.2,0.321739130434783,0.443478260869565,0.526086956521739,0.621739130434783,0.682608695652174,0.747826086956522,0.81304347826087,0.0565217391304348,0.0956521739130435,0.117391304347826,0.134782608695652,0.191304347826087,0.204347826086957,0.265217391304348,0.291304347826087,0.352173913043478,0.426086956521739,0.491304347826087,0.586956521739131,0.647826086956522,0.717391304347826,0.756521739130435,0.8,0.843478260869565,0.869565217391304
bvar_qu,ngdp_rpch,0.8916818464433,0.243456582913113,0.0723889369064793,0.575836326623707,1.49784212913093,2.66653006587754,0.0744047619047619,0.151785714285714,0.241071428571429,0.300595238095238,0.386904761904762,0.446428571428571,0.482142857142857,0.565476190476191,0.690476190476191,0.24702380952381,0.330357142857143,0.392857142857143,0.422619047619048,0.467261904761905,0.529761904761905,0.565476190476191,0.627976190476191,0.675595238095238,0.75,0.779761904761905,0.806547619047619,0.830357142857143,0.854166666666667,0.869047619047619,0.875,0.895833333333333,0.9375
bvar_qu,pcpi_pch,0.535114085087998,0.289358227443828,0.0591048582475296,0.186650999396641,1.63921002321875,3.14312984698274,0.12202380952381,0.244047619047619,0.333333333333333,0.479166666666667,0.601190476190476,0.696428571428571,0.782738095238095,0.851190476190476,0.904761904761905,0.0386904761904762,0.0744047619047619,0.125,0.178571428571429,0.241071428571429,0.30952380952381,0.407738095238095,0.464285714285714,0.535714285714286,0.657738095238095,0.708333333333333,0.741071428571429,0.788690476190476,0.842261904761905,0.875,0.907738095238095,0.925595238095238,0.943452380952381
