model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.827222481162667,0.500897621554221,0.121388815835082,0.204936043773364,2.42027745141227,4.26367959850081,3.34197852495654,0.55625,0.78125,0.10625,0.23125,0.7875,0.8875
IMF,absolute,rolling window,pcpi_pch,3.18833104307748,2.96331720393771,0.172915120580702,0.0520987185590745,3.93638100011519,49.6456804913919,26.7910307457536,0.616666666666667,0.822916666666667,0.0645833333333333,0.145833333333333,0.7625,0.8875
