target,horizon,method,error_method,source,score
ngdp_rpch,0,expanding window,absolute,IMF,0.167645803917068
ngdp_rpch,0.5,expanding window,absolute,IMF,0.289042137714517
ngdp_rpch,1,expanding window,absolute,IMF,0.663826705723133
ngdp_rpch,1.5,expanding window,absolute,IMF,0.840768561881492
pcpi_pch,0,expanding window,absolute,IMF,0.0874048011966146
pcpi_pch,0.5,expanding window,absolute,IMF,0.178964618855135
pcpi_pch,1,expanding window,absolute,IMF,0.343727339886989
pcpi_pch,1.5,expanding window,absolute,IMF,0.366805705826432
ngdp_rpch,0,expanding window,absolute,ar,0.201465708006573
ngdp_rpch,0.5,expanding window,absolute,ar,0.395834460617711
ngdp_rpch,1,expanding window,absolute,ar,0.86339750398491
ngdp_rpch,1.5,expanding window,absolute,ar,0.984314631027611
pcpi_pch,0,expanding window,absolute,ar,0.0928463141730077
pcpi_pch,0.5,expanding window,absolute,ar,0.206630268167821
pcpi_pch,1,expanding window,absolute,ar,0.539618205480757
pcpi_pch,1.5,expanding window,absolute,ar,0.625482274165289
ngdp_rpch,0,expanding window,absolute,bvar,0.195775939033998
ngdp_rpch,0.5,expanding window,absolute,bvar,0.379593593207905
ngdp_rpch,1,expanding window,absolute,bvar,0.813004099654542
ngdp_rpch,1.5,expanding window,absolute,bvar,0.967783089709064
pcpi_pch,0,expanding window,absolute,bvar,0.0917056400213346
pcpi_pch,0.5,expanding window,absolute,bvar,0.234833108843748
pcpi_pch,1,expanding window,absolute,bvar,0.445198188821424
pcpi_pch,1.5,expanding window,absolute,bvar,0.596103113281481
ngdp_rpch,0,leave-one-out,absolute,IMF,0.182681608664117
ngdp_rpch,0.5,leave-one-out,absolute,IMF,0.309605434876096
ngdp_rpch,1,leave-one-out,absolute,IMF,0.633645038706033
ngdp_rpch,1.5,leave-one-out,absolute,IMF,0.765226103684694
pcpi_pch,0,leave-one-out,absolute,IMF,0.0875705226711214
pcpi_pch,0.5,leave-one-out,absolute,IMF,0.17999764746314
