model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0,0.330252408708337,0.240823932604301,0.0501866647364678,0.0392418113675677,1.14332220992881,2.04778297149614,1.59555259071248,0.6,0.825,0.0583333333333333,0.15,0.75,0.883333333333333
IMF,absolute,rolling window,ngdp_rpch,0.5,0.679953784353307,0.479888976710943,0.122967429919849,0.0770973777225151,2.2963960673103,4.04678538217579,3.17159072474304,0.583333333333333,0.825,0.0583333333333333,0.2,0.783333333333333,0.883333333333333
IMF,absolute,rolling window,ngdp_rpch,1,1.05990833389233,0.637902250413247,0.107007874555103,0.314998208923976,3.11915614082733,5.34113294994044,4.23014454538389,0.541666666666667,0.766666666666667,0.15,0.283333333333333,0.825,0.916666666666667
IMF,absolute,rolling window,ngdp_rpch,1.5,1.2387753976967,0.644975326488395,0.205393294128908,0.388406777079397,3.12223538758265,5.61901709039087,4.37062623898676,0.5,0.708333333333333,0.158333333333333,0.291666666666667,0.791666666666667,0.866666666666667
IMF,absolute,rolling window,pcpi_pch,0,0.857225419296243,0.784243278300309,0.0353848086692424,0.0375973323266916,1.30046449012614,12.5049868370077,6.90272566356694,0.65,0.866666666666667,0.0916666666666667,0.233333333333333,0.883333333333333,0.958333333333333
IMF,absolute,rolling window,pcpi_pch,0.5,2.5327924424739,2.36615506952218,0.139606934190566,0.0270304387611605,2.62646535733799,40.9223157219176,21.7743905396278,0.625,0.85,0.025,0.125,0.75,0.875
IMF,absolute,rolling window,pcpi_pch,1,4.20576806593571,3.89451977039648,0.231909629339827,0.0793386661994025,5.11299889894111,65.415977494238,35.2644881965895,0.625,0.783333333333333,0.075,0.1,0.725,0.858333333333333
IMF,absolute,rolling window,pcpi_pch,1.5,5.15753824460408,4.80835069753186,0.284759110123173,0.0644284369490432,6.70559525405554,79.7394419124044,43.22251858323,0.566666666666667,0.791666666666667,0.0666666666666667,0.125,0.691666666666667,0.858333333333333
