model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,AUS,ngdp_rpch,0,0.368624134478276,0.115723414786438,0.232430253510219,0.02047046618162,0.680187879166105,0.806322560131256,0.74325521964868,0.545454545454545,0.727272727272727,0.0909090909090909,0.181818181818182,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,AUS,ngdp_rpch,0.5,0.584727556559327,0.212410765197117,0.339200462477519,0.0331163288846914,1.14106923778767,1.692424577248,1.41674690751784,0.545454545454545,0.818181818181818,0.0909090909090909,0.272727272727273,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,AUS,ngdp_rpch,1,0.734751687225686,0.254430990042871,0.115013569113582,0.365307128069234,1.35872673822417,2.07047999091188,1.71460336456802,0.727272727272727,0.818181818181818,0.0909090909090909,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,AUS,ngdp_rpch,1.5,0.775382226968696,0.354977282787924,0.00729524992149272,0.41310969425928,1.90547995069686,2.68100350461398,2.29324172765542,0.545454545454545,0.909090909090909,0.0909090909090909,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,BRA,ngdp_rpch,0,0.328293396485885,0.183124043371211,0.116347686188245,0.02882166692643,0.848342597193001,1.66871517521129,1.25852888620215,0.727272727272727,0.909090909090909,0,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,BRA,ngdp_rpch,0.5,0.736959070078933,0.507160137821052,0.102160060219694,0.127638872038187,2.57529637021142,3.92254219927098,3.2489192847412,0.454545454545455,0.818181818181818,0.0909090909090909,0.272727272727273,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,BRA,ngdp_rpch,1,1.45394121253104,0.837850421453416,0.00377335216696864,0.612317438910652,4.17798963361379,6.86985266729586,5.52392115045482,0.545454545454545,0.818181818181818,0.181818181818182,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,BRA,ngdp_rpch,1.5,1.90087451900041,1.04211969256163,0,0.858754826438772,5.21853518766239,8.59218454947359,6.90535986856799,0.636363636363636,0.636363636363636,0.363636363636364,0.363636363636364,1,1
IMF,absolute,rolling window,CHE,ngdp_rpch,0,0.446299708859573,0.111234297333416,0.332638670030638,0.00242674149551862,0.592856428212072,1.01660593369217,0.804731180952124,0.272727272727273,0.636363636363636,0,0.0909090909090909,0.363636363636364,0.636363636363636
IMF,absolute,rolling window,CHE,ngdp_rpch,0.5,0.516085533641858,0.206582889792971,0.309502643848888,0,0.959597112265842,1.9818417995146,1.47071945589022,0.636363636363636,0.818181818181818,0,0,0.636363636363636,0.818181818181818
