model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,ngdp_rpch,0.913219275813441,0.376029347298441,0.145955568375451,0.39123436013955,4.31690557504843,7.47212157864776,5.8945135768481,0.570454545454545,0.768181818181818,0.131818181818182,0.220454545454545,0.790909090909091,0.9
IMF,absolute,rolling window,pcpi_pch,0.782624014557939,0.330542763166631,0.345000505867471,0.107080745523838,3.74646808104079,6.28631008855681,5.0163890847988,0.511363636363636,0.715909090909091,0.104545454545455,0.254545454545455,0.765909090909091,0.820454545454546
