target_year,target,horizon,method,error_method,source,score
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.23194180038651
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.215386525644472
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.16556348334402
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.184196801672967
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.256666383345756
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.173104335354722
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.164733387521712
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.08185609873758
2021,ngdp_rpch,0,rolling window,absolute,IMF,0.510618751018755
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.231446121725175
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.209365258896081
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.413663834580047
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.455710836564664
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.390049426927493
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.385098382370413
2017,ngdp_rpch,0.5,rolling window,absolute,IMF,0.492476793368729
2018,ngdp_rpch,0.5,rolling window,absolute,IMF,0.354574170014864
2019,ngdp_rpch,0.5,rolling window,absolute,IMF,0.287323911114324
2020,ngdp_rpch,0.5,rolling window,absolute,IMF,1.31752338572862
2021,ngdp_rpch,0.5,rolling window,absolute,IMF,0.970448139170919
2022,ngdp_rpch,0.5,rolling window,absolute,IMF,0.588943977322069
2023,ngdp_rpch,0.5,rolling window,absolute,IMF,0.395970748512105
2013,ngdp_rpch,1,rolling window,absolute,IMF,0.614274666561125
2014,ngdp_rpch,1,rolling window,absolute,IMF,0.620588380366755
2015,ngdp_rpch,1,rolling window,absolute,IMF,0.592054244581811
2016,ngdp_rpch,1,rolling window,absolute,IMF,0.555613761632235
2017,ngdp_rpch,1,rolling window,absolute,IMF,0.596165922999178
2018,ngdp_rpch,1,rolling window,absolute,IMF,0.432173426844736
2019,ngdp_rpch,1,rolling window,absolute,IMF,0.542215281259708
2020,ngdp_rpch,1,rolling window,absolute,IMF,6.93325748346869
2021,ngdp_rpch,1,rolling window,absolute,IMF,0.964191502137956
2022,ngdp_rpch,1,rolling window,absolute,IMF,1.2867535625537
2023,ngdp_rpch,1,rolling window,absolute,IMF,0.519992451618524
2013,ngdp_rpch,1.5,rolling window,absolute,IMF,0.75438302113253
2014,ngdp_rpch,1.5,rolling window,absolute,IMF,0.809845502842279
2015,ngdp_rpch,1.5,rolling window,absolute,IMF,0.753808325672491
2016,ngdp_rpch,1.5,rolling window,absolute,IMF,0.726118017219353
2017,ngdp_rpch,1.5,rolling window,absolute,IMF,0.762475732603994
2018,ngdp_rpch,1.5,rolling window,absolute,IMF,0.591042664706809
2019,ngdp_rpch,1.5,rolling window,absolute,IMF,0.694310054801075
2020,ngdp_rpch,1.5,rolling window,absolute,IMF,6.78701480324142
2021,ngdp_rpch,1.5,rolling window,absolute,IMF,1.41639809446293
2022,ngdp_rpch,1.5,rolling window,absolute,IMF,0.809446822680046
2023,ngdp_rpch,1.5,rolling window,absolute,IMF,0.902928828813753
2013,pcpi_pch,0,rolling window,absolute,IMF,0.131450513779839
2014,pcpi_pch,0,rolling window,absolute,IMF,0.105238789171945
2015,pcpi_pch,0,rolling window,absolute,IMF,0.0876476798691131
2016,pcpi_pch,0,rolling window,absolute,IMF,0.0852969707758135
2017,pcpi_pch,0,rolling window,absolute,IMF,0.0762514876977604
2018,pcpi_pch,0,rolling window,absolute,IMF,0.114104401193504
2019,pcpi_pch,0,rolling window,absolute,IMF,0.121468000404977
2020,pcpi_pch,0,rolling window,absolute,IMF,0.098136400193974
2021,pcpi_pch,0,rolling window,absolute,IMF,0.212339857624468
2022,pcpi_pch,0,rolling window,absolute,IMF,0.0775073340167181
2023,pcpi_pch,0,rolling window,absolute,IMF,0.141669412089276
2013,pcpi_pch,0.5,rolling window,absolute,IMF,0.270066100816424
2014,pcpi_pch,0.5,rolling window,absolute,IMF,0.276021655844147
2015,pcpi_pch,0.5,rolling window,absolute,IMF,0.226234802338651
2016,pcpi_pch,0.5,rolling window,absolute,IMF,0.212830062974862
2017,pcpi_pch,0.5,rolling window,absolute,IMF,0.236299163686236
2018,pcpi_pch,0.5,rolling window,absolute,IMF,0.226688687778198
2019,pcpi_pch,0.5,rolling window,absolute,IMF,0.216111749929409
2020,pcpi_pch,0.5,rolling window,absolute,IMF,0.209355325099599
2021,pcpi_pch,0.5,rolling window,absolute,IMF,1.16794650852499
2022,pcpi_pch,0.5,rolling window,absolute,IMF,1.71365406108476
2023,pcpi_pch,0.5,rolling window,absolute,IMF,0.387627877528643
2013,pcpi_pch,1,rolling window,absolute,IMF,0.457827591918164
2014,pcpi_pch,1,rolling window,absolute,IMF,0.429541521012077
2015,pcpi_pch,1,rolling window,absolute,IMF,0.754814293424832
2016,pcpi_pch,1,rolling window,absolute,IMF,0.392202779526169
2017,pcpi_pch,1,rolling window,absolute,IMF,0.40974384881219
2018,pcpi_pch,1,rolling window,absolute,IMF,0.414711040956408
2019,pcpi_pch,1,rolling window,absolute,IMF,0.432295068033903
2020,pcpi_pch,1,rolling window,absolute,IMF,0.718954448156525
2021,pcpi_pch,1,rolling window,absolute,IMF,1.19540285243517
2022,pcpi_pch,1,rolling window,absolute,IMF,5.08228252525508
2023,pcpi_pch,1,rolling window,absolute,IMF,0.608651313322933
2013,pcpi_pch,1.5,rolling window,absolute,IMF,0.478604412260936
2014,pcpi_pch,1.5,rolling window,absolute,IMF,0.475124159168744
2015,pcpi_pch,1.5,rolling window,absolute,IMF,0.717870595994465
2016,pcpi_pch,1.5,rolling window,absolute,IMF,0.520278609679361
2017,pcpi_pch,1.5,rolling window,absolute,IMF,0.487844216366048
2018,pcpi_pch,1.5,rolling window,absolute,IMF,0.466312360490957
2019,pcpi_pch,1.5,rolling window,absolute,IMF,0.450866117773937
2020,pcpi_pch,1.5,rolling window,absolute,IMF,0.788274997105928
2021,pcpi_pch,1.5,rolling window,absolute,IMF,1.20509990256697
