model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_40,coverage_50,coverage_60,coverage_80,coverage_90
IMF,directional,rolling window,GBR,ngdp_rpch,0.5,,,,0.19824277777658,,0.35,,0,,,,0.416666666666667,,0.75
IMF,directional,rolling window,GBR,ngdp_rpch,1,,,,0.573366689052104,,0.216666666666667,,0,,,,0.5,,0.833333333333333
IMF,directional,rolling window,GBR,ngdp_rpch,1.5,,,,0.8026972487065,,0.183333333333333,,0,,,,0.416666666666667,,0.75
IMF,directional,rolling window,GBR,pcpi_pch,0,,,,0.130292976278307,,-9.23378850233488e-18,,0,,,,0.5,,0.833333333333333
IMF,directional,rolling window,GBR,pcpi_pch,0.5,,,,0.107669351248136,,-0.316666666666667,,0,,,,0.5,,0.666666666666667
IMF,directional,rolling window,GBR,pcpi_pch,1,,,,0.125274292185121,,-0.2,,0,,,,0.25,,0.583333333333333
IMF,directional,rolling window,GBR,pcpi_pch,1.5,,,,0.131967960348379,,-0.366666666666667,,0,,,,0.25,,0.416666666666667
IMF,directional,rolling window,ITA,ngdp_rpch,0,,,,0.0689309030439181,,,,0.0833333333333333,,,,0.666666666666667,,0.75
IMF,directional,rolling window,ITA,ngdp_rpch,0.5,,,,0.11185800788126,,,,0.25,,,,0.583333333333333,,0.75
IMF,directional,rolling window,ITA,ngdp_rpch,1,,,,0.477836261343129,,0.133333333333333,,0,,,,0.416666666666667,,0.75
IMF,directional,rolling window,ITA,ngdp_rpch,1.5,,,,0.596140368308238,,0.0833333333333333,,0,,,,0.416666666666667,,0.75
IMF,directional,rolling window,ITA,pcpi_pch,0,,,,0.011101923175968,,-0.191666666666667,,0,,,,0.583333333333333,,0.666666666666667
IMF,directional,rolling window,ITA,pcpi_pch,0.5,,,,0.0378630010576039,,,,0.0833333333333333,,,,0.333333333333333,,0.666666666666667
IMF,directional,rolling window,ITA,pcpi_pch,1,,,,0.0877971967384598,,,,0.166666666666667,,,,0.416666666666667,,0.75
IMF,directional,rolling window,ITA,pcpi_pch,1.5,,,,0.087669816033542,,,,0.166666666666667,,,,0.5,,0.916666666666667
IMF,directional,rolling window,JPN,ngdp_rpch,0,,,,0.236687675045491,,-0.158333333333333,,0,,,,0.333333333333333,,0.583333333333333
IMF,directional,rolling window,JPN,ngdp_rpch,0.5,,,,0.242317809883165,,,,0.0833333333333333,,,,0.5,,0.583333333333333
IMF,directional,rolling window,JPN,ngdp_rpch,1,,,,0.55364976762655,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
IMF,directional,rolling window,JPN,ngdp_rpch,1.5,,,,0.559447717204775,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
IMF,directional,rolling window,JPN,pcpi_pch,0,,,,0.0412582375535862,,0.183333333333333,,0,,,,0.5,,0.833333333333333
IMF,directional,rolling window,JPN,pcpi_pch,0.5,,,,0.0377550122740274,,,,0.0833333333333333,,,,0.333333333333333,,0.75
IMF,directional,rolling window,JPN,pcpi_pch,1,,,,0.223549366667469,,,,0.0833333333333333,,,,0.333333333333333,,0.666666666666667
IMF,directional,rolling window,JPN,pcpi_pch,1.5,,,,0.212230115937083,,-0.25,,0,,,,0.5,,0.666666666666667
IMF,directional,rolling window,USA,ngdp_rpch,0,,,,0.144994288250461,,,,0.0833333333333333,,,,0.5,,0.75
IMF,directional,rolling window,USA,ngdp_rpch,0.5,,,,0.150409248004544,,,,0.166666666666667,,,,0.583333333333333,,0.833333333333333
IMF,directional,rolling window,USA,ngdp_rpch,1,,,,0.640494243024075,,,,0.0833333333333333,,,,0.333333333333333,,0.833333333333333
IMF,directional,rolling window,USA,ngdp_rpch,1.5,,,,0.697755376940064,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
IMF,directional,rolling window,USA,pcpi_pch,0,,,,0.0678049157038037,,-0.208333333333333,,0,,,,0.25,,0.5
IMF,directional,rolling window,USA,pcpi_pch,0.5,,,,0.0646071625898783,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
IMF,directional,rolling window,USA,pcpi_pch,1,,,,0.160599690443583,,-0.475,,0,,,,0.333333333333333,,0.583333333333333
IMF,directional,rolling window,USA,pcpi_pch,1.5,,,,0.156492289338155,,,,0.0833333333333333,,,,0.333333333333333,,0.416666666666667
ar,directional,rolling window,CAN,ngdp_rpch,0,,,,0.0810956865758563,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
ar,directional,rolling window,CAN,ngdp_rpch,0.5,,,,0.0720901502537427,,-0.0666666666666667,,0,,,,0.5,,0.833333333333333
ar,directional,rolling window,CAN,ngdp_rpch,1,,,,0.605165470438148,,,,0.0833333333333333,,,,0.583333333333333,,0.833333333333333
ar,directional,rolling window,CAN,ngdp_rpch,1.5,,,,0.601743699180032,,,,0.166666666666667,,,,0.75,,0.833333333333333
ar,directional,rolling window,CAN,pcpi_pch,0,,,,0.0494604246512417,,-0.0166666666666667,,0,,,,0.583333333333333,,0.916666666666667
ar,directional,rolling window,CAN,pcpi_pch,0.5,,,,0.134871668136862,,-0.0333333333333334,,0,,,,0.583333333333333,,0.75
ar,directional,rolling window,CAN,pcpi_pch,1,,,,0.279430926211692,,-0.183333333333333,,0,,,,0.25,,0.75
ar,directional,rolling window,CAN,pcpi_pch,1.5,,,,0.125136145456395,,,,0.166666666666667,,,,0.583333333333333,,0.833333333333333
ar,directional,rolling window,DEU,ngdp_rpch,0,,,,0.209816810583489,,,,0.0833333333333333,,,,0.416666666666667,,0.833333333333333
ar,directional,rolling window,DEU,ngdp_rpch,0.5,,,,0.235375984358536,,,,0.0833333333333333,,,,0.416666666666667,,0.833333333333333
ar,directional,rolling window,DEU,ngdp_rpch,1,,,,0.572903942175459,,0.166666666666667,,0,,,,0.416666666666667,,0.75
ar,directional,rolling window,DEU,ngdp_rpch,1.5,,,,0.630196190120041,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
ar,directional,rolling window,DEU,pcpi_pch,0,,,,0.0134023006893845,,,,0.0833333333333333,,,,0.666666666666667,,1
ar,directional,rolling window,DEU,pcpi_pch,0.5,,,,0.0557167187135195,,-0.125,,0,,,,0.583333333333333,,0.833333333333333
ar,directional,rolling window,DEU,pcpi_pch,1,,,,0.125388545679219,,,,0.0833333333333333,,,,0.583333333333333,,0.666666666666667
ar,directional,rolling window,DEU,pcpi_pch,1.5,,,,0.087348295518115,,-0.266666666666667,,0,,,,0.5,,0.666666666666667
ar,directional,rolling window,FRA,ngdp_rpch,0,,,,0.0543744869731278,,,,0.0833333333333333,,,,0.5,,0.833333333333333
ar,directional,rolling window,FRA,ngdp_rpch,0.5,,,,0.180519572878078,,0.458333333333333,,0,,,,0.5,,0.916666666666667
ar,directional,rolling window,FRA,ngdp_rpch,1,,,,0.468103401509085,,,,0.166666666666667,,,,0.666666666666667,,0.833333333333333
ar,directional,rolling window,FRA,ngdp_rpch,1.5,,,,0.529700825561683,,,,0.166666666666667,,,,0.666666666666667,,0.833333333333333
ar,directional,rolling window,FRA,pcpi_pch,0,,,,0.00343989158267766,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
