model,target,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,1.00586622744345,0.408307420877858,0.0592380290972831,0.538320777468314,4.72229754793741,8.31158067902558,6.51693911348149,0.523648648648649,0.746621621621622,0.216216216216216,0.422297297297297,0.945945945945946,0.962837837837838
ar,pcpi_pch,0.660503386707172,0.453129658412132,0.137387027751622,0.0699867005434188,3.2915882472061,4.9810971161282,4.13634268166715,0.567567567567568,0.871621621621622,0.0405405405405405,0.277027027027027,0.844594594594595,0.912162162162162
ar_annual,ngdp_rpch,1.49294002049132,0.522377883891725,0.358654199403348,0.611907937196243,6.77059702853703,12.9323078384837,9.85145243351039,0.679054054054054,0.797297297297297,0.101351351351351,0.152027027027027,0.831081081081081,0.898648648648649
ar_annual,pcpi_pch,1.04672668054924,0.273649495696701,0.611794481124911,0.161282703727631,4.91637857523321,8.64358717290186,6.77998287406754,0.304054054054054,0.60472972972973,0.179054054054054,0.398648648648649,0.702702702702703,0.783783783783784
ar_bic,ngdp_rpch,0.973137563684457,0.413734729860948,0.0747607089393015,0.484642124884208,4.53400395149397,8.12774139495423,6.3308726732241,0.560810810810811,0.773648648648649,0.189189189189189,0.371621621621622,0.932432432432432,0.962837837837838
ar_bic,pcpi_pch,0.611323183640682,0.337014661192259,0.226294963871508,0.0480135585769152,2.95186920980456,4.84679064830223,3.89932992905339,0.570945945945946,0.787162162162162,0.0641891891891892,0.199324324324324,0.77027027027027,0.851351351351351
arx_annual,ngdp_rpch,0.869053506551038,0.299482209858535,0.171127747549931,0.398443549142572,4.0613567863426,7.22767816516425,5.64451747575343,0.530405405405405,0.72972972972973,0.114864864864865,0.179054054054054,0.70945945945946,0.844594594594595
arx_annual,pcpi_pch,0.668922404770767,0.160135448329034,0.372389823487836,0.136397132953897,3.14741453481475,5.50991175837848,4.32866314659661,0.347972972972973,0.564189189189189,0.233108108108108,0.371621621621622,0.719594594594595,0.797297297297297
bvar_const,ngdp_rpch,0.940587956703831,0.348836123110492,0.100495647729065,0.491256185864274,4.3738125064092,7.87722786805363,6.12552018723141,0.506756756756757,0.726351351351351,0.216216216216216,0.391891891891892,0.898648648648649,0.942567567567568
bvar_const,pcpi_pch,0.657272277591742,0.463453894161425,0.138019577687823,0.0557988057424946,3.25237617929111,5.01450510360707,4.13344064144909,0.554054054054054,0.847972972972973,0.0608108108108108,0.256756756756757,0.810810810810811,0.908783783783784
bvar_mix,ngdp_rpch,0.923273633865495,0.286932255042218,0.101832612830032,0.534508765993246,4.25705961354051,7.82282364345863,6.03994162849957,0.425675675675676,0.685810810810811,0.25,0.462837837837838,0.888513513513514,0.935810810810811
bvar_mix,pcpi_pch,0.570273459294579,0.352639996134258,0.14581072058657,0.0718227425737514,2.84734920608026,4.28709617069093,3.5672226883856,0.489864864864865,0.800675675675676,0.0878378378378378,0.287162162162162,0.777027027027027,0.888513513513514
bvar_qu,ngdp_rpch,1.13208158730998,0.579111387909881,0.0458942218133746,0.507075977586723,5.10057986268624,9.89018208948397,7.49538097608511,0.510135135135135,0.746621621621622,0.212837837837838,0.415540540540541,0.925675675675676,0.959459459459459
bvar_qu,pcpi_pch,0.614972121617045,0.412187793752934,0.135466856408031,0.0673174714560797,2.98297027878645,4.84201673537477,3.91249350708061,0.530405405405405,0.820945945945946,0.0810810810810811,0.266891891891892,0.797297297297297,0.902027027027027
