model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.40702628745628,0.155975492717611,0.251050794738669,0,-0.0590909090909091,,,0.545454545454545,0.636363636363636
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.49451507844646,0.185617373982185,0.211015087070925,0.09788261739335,-0.286363636363636,,,0.181818181818182,0.545454545454545
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.898330438163669,0.299381398195726,0.019320363086445,0.579628676881498,0.0318181818181818,,,0.545454545454545,0.818181818181818
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,1.00152320816805,0.39663389901809,0.0336965178450223,0.571192791304941,-0.0590909090909091,,,0.363636363636364,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,0,0.0961297137224978,0.0537006532807567,0.00498925157761316,0.037439808864128,-0.0590909090909091,,,0.363636363636364,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,0.5,0.322675666109339,0.162740437950784,0.152267455439816,0.00766777271873846,0.0772727272727273,,,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,1,0.748496037493627,0.207153563404872,0.422395232090378,0.118947241998377,-0.0590909090909091,,,0.545454545454545,0.636363636363636
IMF,absolute,rolling window,CAN,pcpi_pch,1.5,0.836298287745121,0.210743409124105,0.522623249588571,0.102931629032445,-0.195454545454545,,,0.363636363636364,0.545454545454545
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.417131430250177,0.255579976436653,0.149236754959914,0.01231469885361,0.122727272727273,,,0.636363636363636,0.909090909090909
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.58774322595732,0.303006770556054,0.236288464499068,0.0484479909021977,0.0772727272727273,,,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.01302050738202,0.546997124992139,0.0111019903234523,0.454921392066431,0.122727272727273,,,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.13433425547228,0.608525584619708,0,0.525808670852573,0.0772727272727273,,,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,DEU,pcpi_pch,0,0.275359463857467,0.0629893502080387,0.0145633714911423,0.197806742158286,-0.0590909090909091,,,0.545454545454545,0.636363636363636
IMF,absolute,rolling window,DEU,pcpi_pch,0.5,0.268035415607871,0.0705328325228529,0.135006447365119,0.0624961357198993,-0.195454545454545,,,0.363636363636364,0.545454545454545
IMF,absolute,rolling window,DEU,pcpi_pch,1,0.887287423258657,0.25736066929033,0.498148696394536,0.131778057573792,-0.104545454545455,,,0.454545454545455,0.636363636363636
IMF,absolute,rolling window,DEU,pcpi_pch,1.5,1.05056099044886,0.294728215987077,0.686572947485106,0.0692598269766825,-0.15,,,0.363636363636364,0.636363636363636
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.512577331606113,0.176106841014142,0.336470490591971,0,-0.195454545454545,,,0.454545454545455,0.454545454545455
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.358558450926869,0.149746287411184,0.208812163515686,0,-0.0136363636363637,,,0.545454545454545,0.727272727272727
IMF,absolute,rolling window,FRA,ngdp_rpch,1,1.06204634293157,0.275881942832378,0.0815706561682586,0.70459374393093,-0.0136363636363637,,,0.636363636363636,0.636363636363636
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,1.25492762372274,0.320840635237428,0.204516127538095,0.729570860947221,-0.0590909090909091,,,0.454545454545455,0.727272727272727
IMF,absolute,rolling window,FRA,pcpi_pch,0,0.194158449105036,0.0553411524947515,0,0.138817296610284,-0.0590909090909091,,,0.454545454545455,0.727272727272727
IMF,absolute,rolling window,FRA,pcpi_pch,0.5,0.251767322939322,0.107517927860606,0.08320756344774,0.0610418316309762,-0.15,,,0.454545454545455,0.545454545454545
IMF,absolute,rolling window,FRA,pcpi_pch,1,0.588042409164907,0.225753544222219,0.272109981919548,0.0901788830231401,-0.15,,,0.363636363636364,0.636363636363636
IMF,absolute,rolling window,FRA,pcpi_pch,1.5,0.858348702301774,0.23874705857432,0.495346953374721,0.124254690352733,-0.286363636363636,,,0.272727272727273,0.454545454545455
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.549733313556009,0.188831981284611,0.360901332271397,0,-0.0136363636363637,,,0.545454545454545,0.727272727272727
IMF,absolute,rolling window,GBR,ngdp_rpch,0.5,0.792344935996771,0.250643469522933,0.383969081817068,0.15773238465677,-0.0136363636363637,,,0.454545454545455,0.818181818181818
IMF,absolute,rolling window,GBR,ngdp_rpch,1,1.5050188560664,0.310405707814541,0.373645236211202,0.82096791204066,-0.0136363636363637,,,0.545454545454545,0.727272727272727
IMF,absolute,rolling window,GBR,ngdp_rpch,1.5,1.68881873640852,0.379988527959251,0.503432252858919,0.805397955590349,0.0318181818181818,,,0.545454545454545,0.818181818181818
IMF,absolute,rolling window,GBR,pcpi_pch,0,0.306308790713068,0.0995554024626762,0.0111901532814192,0.195563234968972,-0.104545454545455,,,0.272727272727273,0.818181818181818
IMF,absolute,rolling window,GBR,pcpi_pch,0.5,0.202744179039496,0.133198559893455,0.0552638087456255,0.0142818104004155,0.0772727272727273,,,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,GBR,pcpi_pch,1,0.914598171565528,0.305743361664103,0.426917903938543,0.181936905962883,-0.0590909090909091,,,0.545454545454545,0.636363636363636
