model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
ar,ngdp_rpch,0,0.377369246131691,0.0630217582460561,0.103045539328787,0.211301948556848,1.65525440875713,2.75029836354105,1.94353524841816,0.0595238095238095,0.0833333333333333,0.130952380952381,0.154761904761905,0.214285714285714,0.25,0.285714285714286,0.380952380952381,0.511904761904762,0.285714285714286,0.369047619047619,0.428571428571429,0.440476190476191,0.440476190476191,0.476190476190476,0.476190476190476,0.511904761904762,0.511904761904762,0.571428571428571,0.595238095238095,0.607142857142857,0.630952380952381,0.654761904761905,0.690476190476191,0.714285714285714,0.75,0.797619047619048
ar,ngdp_rpch,0.5,0.629150469617228,0.249559127778705,0.0503152387153754,0.329276103123148,2.78715216204274,4.00419668986854,3.02185901322076,0.107142857142857,0.214285714285714,0.297619047619048,0.380952380952381,0.511904761904762,0.607142857142857,0.738095238095238,0.773809523809524,0.892857142857143,0.0952380952380952,0.214285714285714,0.25,0.357142857142857,0.440476190476191,0.535714285714286,0.595238095238095,0.630952380952381,0.690476190476191,0.797619047619048,0.845238095238095,0.892857142857143,0.916666666666667,0.952380952380952,0.964285714285714,0.988095238095238,0.988095238095238,0.988095238095238
ar,ngdp_rpch,1,1.32498548436693,0.440372704342773,0.0107375053907392,0.873875274633416,5.83500084767329,8.74280527175038,6.48087287643637,0.107142857142857,0.166666666666667,0.238095238095238,0.357142857142857,0.464285714285714,0.583333333333333,0.619047619047619,0.773809523809524,0.845238095238095,0.154761904761905,0.226190476190476,0.380952380952381,0.416666666666667,0.535714285714286,0.630952380952381,0.714285714285714,0.773809523809524,0.797619047619048,0.904761904761905,0.940476190476191,0.952380952380952,0.988095238095238,1,1,1,1,1
ar,ngdp_rpch,1.5,1.60020729862211,0.484025635699054,0.0158239049209468,1.1003577580021,6.96867014934797,10.7266529107223,7.86276853713944,0.0714285714285714,0.119047619047619,0.214285714285714,0.321428571428571,0.404761904761905,0.583333333333333,0.630952380952381,0.690476190476191,0.821428571428571,0.178571428571429,0.30952380952381,0.369047619047619,0.416666666666667,0.595238095238095,0.654761904761905,0.75,0.80952380952381,0.845238095238095,0.916666666666667,0.928571428571429,0.964285714285714,0.976190476190476,1,1,1,1,1
ar,pcpi_pch,0,0.136111634253888,0.0601434642159903,0.0420687394683125,0.0338994305695853,0.601531336693803,0.948208674465158,0.681267406932936,0.130952380952381,0.202380952380952,0.357142857142857,0.511904761904762,0.654761904761905,0.738095238095238,0.761904761904762,0.845238095238095,0.892857142857143,0.0357142857142857,0.0476190476190476,0.107142857142857,0.107142857142857,0.154761904761905,0.25,0.321428571428571,0.416666666666667,0.452380952380952,0.583333333333333,0.619047619047619,0.678571428571429,0.761904761904762,0.80952380952381,0.845238095238095,0.869047619047619,0.892857142857143,0.928571428571429
ar,pcpi_pch,0.5,0.3491775526857,0.238890445542415,0.0335865264612745,0.0767005806820104,1.63486274404308,2.73066712592214,1.83174964099115,0.130952380952381,0.404761904761905,0.583333333333333,0.726190476190476,0.797619047619048,0.857142857142857,0.916666666666667,0.952380952380952,0.988095238095238,0.0119047619047619,0.0476190476190476,0.0595238095238095,0.0833333333333333,0.130952380952381,0.166666666666667,0.261904761904762,0.380952380952381,0.55952380952381,0.690476190476191,0.785714285714286,0.845238095238095,0.892857142857143,0.928571428571429,0.940476190476191,0.976190476190476,1,1
ar,pcpi_pch,1,0.932002691461895,0.517034169608373,0.0197056391311012,0.395262882722422,4.12429468824908,6.53036823565555,4.6399980088287,0.178571428571429,0.30952380952381,0.392857142857143,0.55952380952381,0.690476190476191,0.785714285714286,0.892857142857143,0.940476190476191,0.952380952380952,0.0476190476190476,0.0595238095238095,0.107142857142857,0.214285714285714,0.297619047619048,0.392857142857143,0.535714285714286,0.595238095238095,0.702380952380952,0.880952380952381,0.904761904761905,0.928571428571429,0.952380952380952,0.988095238095238,1,1,1,1
ar,pcpi_pch,1.5,1.25883573604229,0.66634278520513,0.00205321319840076,0.590439737638759,5.34391355811219,7.63479856180598,5.91804793783046,0.0714285714285714,0.19047619047619,0.273809523809524,0.380952380952381,0.595238095238095,0.726190476190476,0.845238095238095,0.916666666666667,0.976190476190476,0.0238095238095238,0.0833333333333333,0.154761904761905,0.273809523809524,0.404761904761905,0.619047619047619,0.726190476190476,0.797619047619048,0.904761904761905,0.976190476190476,0.988095238095238,1,1,1,1,1,1,1
ar_bic,ngdp_rpch,0,0.379543406708484,0.0625440607355079,0.113371431647052,0.203627914325924,1.66589719310135,2.7643049045192,1.95647088037509,0.0476190476190476,0.0952380952380952,0.130952380952381,0.154761904761905,0.214285714285714,0.226190476190476,0.273809523809524,0.369047619047619,0.511904761904762,0.285714285714286,0.369047619047619,0.416666666666667,0.440476190476191,0.440476190476191,0.476190476190476,0.476190476190476,0.5,0.511904761904762,0.55952380952381,0.595238095238095,0.607142857142857,0.630952380952381,0.654761904761905,0.666666666666667,0.690476190476191,0.738095238095238,0.797619047619048
ar_bic,ngdp_rpch,0.5,0.625277369955293,0.241193141273505,0.0911484352377184,0.292935793444069,2.75471418237796,4.05801840764511,3.03614454274856,0.0952380952380952,0.238095238095238,0.273809523809524,0.392857142857143,0.511904761904762,0.607142857142857,0.738095238095238,0.773809523809524,0.904761904761905,0.0833333333333333,0.214285714285714,0.238095238095238,0.321428571428571,0.392857142857143,0.476190476190476,0.571428571428571,0.595238095238095,0.666666666666667,0.761904761904762,0.833333333333333,0.845238095238095,0.869047619047619,0.904761904761905,0.928571428571429,0.976190476190476,0.988095238095238,0.988095238095238
ar_bic,ngdp_rpch,1,1.2341997143617,0.433970488228835,0.0257835850605434,0.774445641072322,5.46834316358389,8.24685044394858,6.0716301207219,0.154761904761905,0.214285714285714,0.285714285714286,0.404761904761905,0.5,0.607142857142857,0.654761904761905,0.773809523809524,0.869047619047619,0.130952380952381,0.226190476190476,0.333333333333333,0.380952380952381,0.488095238095238,0.571428571428571,0.654761904761905,0.690476190476191,0.726190476190476,0.880952380952381,0.904761904761905,0.940476190476191,0.976190476190476,0.988095238095238,0.988095238095238,0.988095238095238,1,1
ar_bic,ngdp_rpch,1.5,1.58418034802231,0.492316213893112,0.112252438319918,0.979611695809277,7.03462161672843,10.8679443043549,7.90132059961207,0.0833333333333333,0.19047619047619,0.297619047619048,0.404761904761905,0.476190476190476,0.595238095238095,0.630952380952381,0.702380952380952,0.869047619047619,0.119047619047619,0.285714285714286,0.357142857142857,0.392857142857143,0.511904761904762,0.571428571428571,0.666666666666667,0.714285714285714,0.797619047619048,0.880952380952381,0.904761904761905,0.964285714285714,0.976190476190476,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238
ar_bic,pcpi_pch,0,0.132259552101487,0.0512437894697766,0.0517776848076303,0.0292380778240803,0.582926385244609,0.937434770180103,0.666321612660495,0.119047619047619,0.214285714285714,0.321428571428571,0.416666666666667,0.523809523809524,0.642857142857143,0.738095238095238,0.80952380952381,0.845238095238095,0.0476190476190476,0.0595238095238095,0.107142857142857,0.119047619047619,0.154761904761905,0.214285714285714,0.273809523809524,0.30952380952381,0.369047619047619,0.488095238095238,0.523809523809524,0.595238095238095,0.630952380952381,0.678571428571429,0.761904761904762,0.845238095238095,0.869047619047619,0.892857142857143
