model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,CAN,ngdp_rpch,0,0.321646258779847,0.0591080448602958,0.0293745328773071,0.233163681042244,1.43217210396447,2.19657775196375,1.81437492796411,0.181818181818182,0.272727272727273,0.545454545454545,0.636363636363636,0.818181818181818,0.818181818181818
ar,CAN,ngdp_rpch,0.5,0.704352680058578,0.236206312461829,0,0.468146367596749,3.07970344925287,5.27367771980526,4.17669058452907,0.636363636363636,0.818181818181818,0.181818181818182,0.363636363636364,1,1
ar,CAN,ngdp_rpch,1,1.2650536166404,0.428517171900255,0.00282599441322532,0.83371045032692,5.54604592234597,9.98885866740984,7.76745229487791,0.636363636363636,0.818181818181818,0.181818181818182,0.363636363636364,1,1
ar,CAN,ngdp_rpch,1.5,1.44287750494698,0.475262663698441,0.0832401862363478,0.884374655012191,6.09108969574207,10.4160964075592,8.25359305165063,0.363636363636364,0.909090909090909,0.0909090909090909,0.545454545454545,0.909090909090909,1
ar,DEU,ngdp_rpch,0,0.329934446843741,0.0708013220037873,0.0412860889240706,0.217847035915883,1.47017337708995,2.04268348193559,1.75642842951277,0.0909090909090909,0.454545454545455,0.454545454545455,0.727272727272727,0.818181818181818,0.909090909090909
ar,DEU,ngdp_rpch,0.5,0.708846674240084,0.265476567549297,0.00738222470082637,0.435987881989961,3.14714598817337,5.04965979080255,4.09840288948796,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,DEU,ngdp_rpch,1,1.15177234047671,0.448654398887844,0.00177114340410974,0.701346798184757,4.95560393555925,8.60075008334918,6.77817700945422,0.727272727272727,0.909090909090909,0.0909090909090909,0.272727272727273,1,1
ar,DEU,ngdp_rpch,1.5,1.25936545681882,0.477959915355095,0.00232496804089031,0.779080573422834,5.61551557964372,9.24950303078107,7.4325093052124,0.636363636363636,0.909090909090909,0.0909090909090909,0.363636363636364,1,1
ar,FRA,ngdp_rpch,0,0.241555796887872,0.0826663888197254,0.00447671515731147,0.154412692910835,1.06625372763307,1.80555036532886,1.43590204648096,0.636363636363636,0.727272727272727,0.272727272727273,0.363636363636364,1,1
ar,FRA,ngdp_rpch,0.5,0.791621328997174,0.251911058672007,0.0112101751294776,0.52850009519569,3.38535096195995,5.87703300922264,4.6311919855913,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,FRA,ngdp_rpch,1,1.7275489908418,0.393665489576386,0.0796152209816821,1.25426828028373,7.25339850741998,12.7104700307744,9.98193426909721,0.181818181818182,0.727272727272727,0.272727272727273,0.727272727272727,0.909090909090909,1
ar,FRA,ngdp_rpch,1.5,1.99702913834229,0.402782862426091,0.244618450749558,1.34962782516664,8.5489814863207,15.1506636095016,11.8498225479112,0.272727272727273,0.636363636363636,0.272727272727273,0.636363636363636,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,0,0.391150542889554,0.0785284583195734,0.0281501529431475,0.284471931626833,1.67817692604864,2.98704455049748,2.33261073827306,0.545454545454545,0.636363636363636,0.272727272727273,0.363636363636364,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,0.5,1.22776389812482,0.262595581270214,0.173282160312212,0.791886156542393,5.16319645257787,10.2381697501344,7.70068310135612,0.545454545454545,0.818181818181818,0.0909090909090909,0.363636363636364,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1,1.86252720423397,0.430274328413334,0.316044829234394,1.11620804658624,7.93380428020713,16.0952332774901,12.0145187788486,0.727272727272727,0.818181818181818,0.0909090909090909,0.181818181818182,0.909090909090909,0.909090909090909
ar,GBR,ngdp_rpch,1.5,1.97833563532192,0.445422067243952,0.398826297436142,1.13408727064183,8.26874302789908,16.6648547521021,12.4667988900006,0.636363636363636,0.818181818181818,0.0909090909090909,0.181818181818182,0.818181818181818,0.909090909090909
ar,ITA,ngdp_rpch,0,0.429182985350622,0.072763420030006,0.00317089552329888,0.353248669797318,1.85626334074436,3.2575895575822,2.55692644916328,0.363636363636364,0.454545454545455,0.545454545454545,0.636363636363636,1,1
ar,ITA,ngdp_rpch,0.5,0.419992638006993,0.29078699736909,0.00909202660951374,0.12011361402839,1.86177676065408,3.15930135787071,2.5105390592624,0.818181818181818,1,0,0.181818181818182,1,1
ar,ITA,ngdp_rpch,1,1.6983774676898,0.529399102094022,0.000688898286710798,1.16828946730906,7.2375569106212,13.1174520902133,10.1775045004173,0.727272727272727,0.818181818181818,0.181818181818182,0.272727272727273,1,1
ar,ITA,ngdp_rpch,1.5,2.34921689537251,0.589094114552524,0.450227101613724,1.30989567920626,9.85307615582938,17.5019300870595,13.6775031214445,0.545454545454545,0.727272727272727,0.181818181818182,0.363636363636364,0.909090909090909,0.909090909090909
ar,JPN,ngdp_rpch,0,0.358085320339912,0.0784245279945068,0.0111126736880484,0.268548118657357,1.55460373493352,2.64096071391272,2.09778222442312,0.5,0.625,0.375,0.5,1,1
ar,JPN,ngdp_rpch,0.5,1.30029851607237,0.336434690862375,0,0.963863825209993,5.58541152231162,9.32618589705918,7.4557987096854,0.375,0.625,0.375,0.625,1,1
ar,JPN,ngdp_rpch,1,1.87470812750024,0.640367655012201,0,1.23434047248804,8.04485670868067,12.6213672470193,10.33311197785,0.625,0.75,0.25,0.375,1,1
ar,JPN,ngdp_rpch,1.5,2.4505972481711,0.728728887649618,0,1.72186836052148,10.5505707316202,13.4460987173544,11.9983347244873,0,0.75,0.25,1,1,1
