model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,ngdp_rpch,0,0.118547663388068,0.0792814556046741,0.000139540469856011,0.0391266673135374,0.570431881786865,0.944873563294189,0.757652722540527,0.702380952380952,0.892857142857143,0.107142857142857,0.273809523809524,0.976190476190476,1
ar,ngdp_rpch,0.5,0.516597597303099,0.31394571431156,0.0263036881803454,0.176348194811193,2.58396464041268,3.87204034503026,3.22800249272147,0.607142857142857,0.869047619047619,0.119047619047619,0.357142857142857,0.964285714285714,0.988095238095238
ar,ngdp_rpch,1,1.19642573752682,0.55398944714537,0.00215404419054899,0.6402822461909,5.95963672677957,9.02942293358747,7.49452983018352,0.464285714285714,0.761904761904762,0.238095238095238,0.511904761904762,0.976190476190476,1
ar,ngdp_rpch,1.5,1.43876268488352,0.608904892789152,0.0019883428423166,0.827869449252049,7.11031764716724,10.9994595797522,9.05488861345974,0.369047619047619,0.726190476190476,0.273809523809524,0.595238095238095,0.964285714285714,1
ar,pcpi_pch,0,0.101238370729567,0.0756605578907301,0,0.0255778128388366,0.47883495907619,0.827680016900858,0.653257487988524,0.726190476190476,0.928571428571429,0.0714285714285714,0.273809523809524,1,1
ar,pcpi_pch,0.5,0.338165801936398,0.300524497883824,0.00642986624951661,0.0312114378030574,1.61366535907279,2.72915264104598,2.17140900005938,0.797619047619048,0.952380952380952,0.0476190476190476,0.130952380952381,0.928571428571429,1
ar,pcpi_pch,1,0.843034298757101,0.650429672302437,0.000184229482006248,0.192420396972657,4.13741650545794,6.51714471149717,5.32728060847755,0.666666666666667,0.940476190476191,0.0595238095238095,0.321428571428571,0.988095238095238,1
ar,pcpi_pch,1.5,1.06526514421074,0.838260109095596,0,0.227005035115143,5.47143680959279,7.62671086023282,6.5490738349128,0.511904761904762,0.916666666666667,0.0833333333333333,0.488095238095238,1,1
ar_bic,ngdp_rpch,0,0.116544115323865,0.0786805115017322,0.00228856843014107,0.0355750353919915,0.558280006316998,0.9351822906848,0.746731148500899,0.726190476190476,0.892857142857143,0.0952380952380952,0.226190476190476,0.952380952380952,0.988095238095238
ar_bic,ngdp_rpch,0.5,0.510288831678481,0.303421292172913,0.0518586148415319,0.155008924664036,2.49635050802624,3.96490036350403,3.23062543576513,0.630952380952381,0.880952380952381,0.107142857142857,0.321428571428571,0.952380952380952,0.988095238095238
ar_bic,ngdp_rpch,1,1.12312088921828,0.545935450768009,0.00938811784151886,0.567797320608755,5.56594628995092,8.54755205948836,7.05674917471964,0.488095238095238,0.80952380952381,0.19047619047619,0.476190476190476,0.964285714285714,1
ar_bic,ngdp_rpch,1.5,1.44144060081233,0.619334451172195,0.0950747423150893,0.727031407325045,7.06176667235777,11.1743953353522,9.11808100385496,0.440476190476191,0.726190476190476,0.261904761904762,0.523809523809524,0.964285714285714,0.988095238095238
ar_bic,pcpi_pch,0,0.0921865229365606,0.0644647552358251,0.000838267464379024,0.0268835002363565,0.439161454027096,0.745826823663474,0.592494138845285,0.761904761904762,0.904761904761905,0.0952380952380952,0.202380952380952,0.964285714285714,1
ar_bic,pcpi_pch,0.5,0.26780681652261,0.228948577125281,0.0176353408485043,0.021222898548824,1.29510427950888,2.11837563167998,1.70673995559443,0.773809523809524,0.940476190476191,0.0238095238095238,0.107142857142857,0.880952380952381,0.964285714285714
ar_bic,pcpi_pch,1,0.6946241701206,0.484924920942279,0.0129893648060924,0.196709884372228,3.30706936411181,5.62480999213246,4.46593967812214,0.726190476190476,0.916666666666667,0.0833333333333333,0.178571428571429,0.904761904761905,1
ar_bic,pcpi_pch,1.5,0.779206852175444,0.658329011243509,0.01377273883783,0.107105102094105,3.73460133175582,6.24763371411934,4.99111752293758,0.80952380952381,0.940476190476191,0.0476190476190476,0.142857142857143,0.952380952380952,0.988095238095238
bvar_const,ngdp_rpch,0,0.106304163971598,0.0632727562928911,0.00129039907756227,0.0417410086011443,0.511960232111881,0.84618269915225,0.679071465632065,0.595238095238095,0.880952380952381,0.119047619047619,0.321428571428571,0.916666666666667,1
bvar_const,ngdp_rpch,0.5,0.476228755580085,0.277314914512568,0.0342781548222175,0.1646356862453,2.35068898879098,3.64785263962427,2.99927081420763,0.630952380952381,0.857142857142857,0.107142857142857,0.333333333333333,0.964285714285714,0.964285714285714
bvar_const,ngdp_rpch,1,1.09304645985571,0.503490953604025,0.0110034263284919,0.578552079923194,5.38258591149925,8.4044644183661,6.89352516493267,0.476190476190476,0.773809523809524,0.226190476190476,0.476190476190476,0.952380952380952,1
bvar_const,ngdp_rpch,1.5,1.29989403652499,0.570106633046435,0.0254055152188493,0.704381888259706,6.36456147328286,10.0864770472926,8.22551926028775,0.428571428571429,0.738095238095238,0.261904761904762,0.523809523809524,0.952380952380952,1
bvar_const,pcpi_pch,0,0.0860483131084668,0.0540373846323312,0.00083106314427113,0.0311798653318644,0.413837553368958,0.686372378746941,0.550104966057949,0.654761904761905,0.869047619047619,0.130952380952381,0.30952380952381,0.964285714285714,1
bvar_const,pcpi_pch,0.5,0.353468768976529,0.306400680265079,0.0195589660027074,0.0275091227087427,1.72006145188692,2.76922174981327,2.2446416008501,0.773809523809524,0.928571428571429,0.0476190476190476,0.119047619047619,0.892857142857143,0.976190476190476
bvar_const,pcpi_pch,1,0.808618262840189,0.678351718387707,0,0.130266544452482,3.86581007044094,6.50784008070143,5.18682507557119,0.773809523809524,0.952380952380952,0.0476190476190476,0.226190476190476,1,1
