source,target,country,horizon,ae,sque
IMF,ngdp_rpch,AUS,0,0.371486980160745,0.304632476146332
IMF,ngdp_rpch,BRA,0,0.548018784360731,0.547937897668164
IMF,ngdp_rpch,CHE,0,0.463567736219647,0.542729331899896
IMF,ngdp_rpch,CHN,0,0.384642784380839,0.316305338997693
IMF,ngdp_rpch,ESP,0,0.328840070951278,0.327838833195143
IMF,ngdp_rpch,IND,0,0.967438643924325,1.41730185475521
IMF,ngdp_rpch,KOR,0,0.337887965665992,0.320673311090128
IMF,ngdp_rpch,MEX,0,0.493776326801395,0.449073547770051
IMF,ngdp_rpch,NLD,0,0.464744842624443,0.344201820882094
IMF,ngdp_rpch,RUS,0,0.568965042307922,0.573434584489963
IMF,pcpi_pch,AUS,0,0.167673421795419,0.0394259331537849
IMF,pcpi_pch,BRA,0,0.254801590626923,0.22383658118039
IMF,pcpi_pch,CHE,0,0.140531070375531,0.0336553389074811
IMF,pcpi_pch,CHN,0,0.318505025051077,0.166753495216273
IMF,pcpi_pch,ESP,0,0.250954992578821,0.116146913591395
IMF,pcpi_pch,IND,0,0.747004413136206,0.982504582164459
IMF,pcpi_pch,KOR,0,0.157974408228148,0.0405283438323806
IMF,pcpi_pch,MEX,0,0.136564230848794,0.0285574888683174
IMF,pcpi_pch,NLD,0,0.277019894748231,0.142624424140121
IMF,pcpi_pch,RUS,0,0.370978986152838,0.251958139387773
IMF,ngdp_rpch,AUS,0.5,0.715234740103496,1.4341325326573
IMF,ngdp_rpch,BRA,0.5,1.42174206187206,2.68199966417689
IMF,ngdp_rpch,CHE,0.5,0.699057569269291,0.998567582274698
IMF,ngdp_rpch,CHN,0.5,0.755981659014409,1.0710287231248
IMF,ngdp_rpch,ESP,0.5,0.596560568147426,0.675995312851512
IMF,ngdp_rpch,IND,0.5,1.78459622098425,6.63404559550855
IMF,ngdp_rpch,KOR,0.5,0.851901171652538,1.56642821244679
IMF,ngdp_rpch,MEX,0.5,1.13703018342285,2.13487656675775
IMF,ngdp_rpch,NLD,0.5,0.803573143930331,1.23115252097179
IMF,ngdp_rpch,RUS,0.5,1.35018404747548,3.8368979782351
IMF,pcpi_pch,AUS,0.5,0.540548113746109,0.588838047703819
IMF,pcpi_pch,BRA,0.5,0.716982791452487,1.19505144858392
IMF,pcpi_pch,CHE,0.5,0.245136654982055,0.0943099446406017
IMF,pcpi_pch,CHN,0.5,0.688800629970241,0.796447340249535
IMF,pcpi_pch,ESP,0.5,0.573602921749345,0.798130498919971
IMF,pcpi_pch,IND,0.5,1.23611115677529,2.74823309455384
IMF,pcpi_pch,KOR,0.5,0.503668912391668,0.452763338138186
IMF,pcpi_pch,MEX,0.5,0.5484896377883,0.553190407238884
IMF,pcpi_pch,NLD,0.5,0.691299553376292,2.10743255256345
IMF,pcpi_pch,RUS,0.5,1.37963710829269,4.37791881677993
IMF,ngdp_rpch,AUS,1,0.83156362094058,1.53877426093987
IMF,ngdp_rpch,BRA,1,2.20427276246091,6.96181020342485
IMF,ngdp_rpch,CHE,1,1.01994367215574,1.98892480139054
IMF,ngdp_rpch,CHN,1,1.10728623449257,2.29932988906674
IMF,ngdp_rpch,ESP,1,1.50069129327741,8.62626355111649
IMF,ngdp_rpch,IND,1,2.26720661334085,12.7955728480069
IMF,ngdp_rpch,KOR,1,1.28754767940837,2.93657258473226
IMF,ngdp_rpch,MEX,1,2.04737030136147,10.328818746216
IMF,ngdp_rpch,NLD,1,1.38754607755657,3.85716184215639
IMF,ngdp_rpch,RUS,1,2.41860189031318,13.9785954572358
IMF,pcpi_pch,AUS,1,0.9594839342073,1.78354231663085
IMF,pcpi_pch,BRA,1,1.8819740926509,8.84331777744227
IMF,pcpi_pch,CHE,1,0.770641004982285,0.944610524038891
IMF,pcpi_pch,CHN,1,1.42675221305448,3.46759212852677
IMF,pcpi_pch,ESP,1,1.37499036549073,3.52483441833419
IMF,pcpi_pch,IND,1,1.7765623973169,4.37997557493837
IMF,pcpi_pch,KOR,1,0.974785555700018,1.49558414607776
IMF,pcpi_pch,MEX,1,0.980401518192397,1.88287630603165
IMF,pcpi_pch,NLD,1,1.4504526426934,6.45334026028697
IMF,pcpi_pch,RUS,1,2.67488478123658,13.5940869227286
IMF,ngdp_rpch,AUS,1.5,1.04384645811465,2.07144106642515
IMF,ngdp_rpch,BRA,1.5,2.56320271694382,9.92996818980082
IMF,ngdp_rpch,CHE,1.5,1.11608623597589,2.55216591219747
IMF,ngdp_rpch,CHN,1.5,1.37355983639549,2.98220228161274
IMF,ngdp_rpch,ESP,1.5,1.67827215118306,9.70458098857637
IMF,ngdp_rpch,IND,1.5,2.39401297272814,14.0535876381847
IMF,ngdp_rpch,KOR,1.5,1.51349181944517,4.00954364460299
IMF,ngdp_rpch,MEX,1.5,2.41385879673498,12.8511209426621
IMF,ngdp_rpch,NLD,1.5,1.64192471178884,4.92678545653338
IMF,ngdp_rpch,RUS,1.5,2.90733716535185,17.5804582581986
IMF,pcpi_pch,AUS,1.5,1.08884201605757,2.23847097849176
IMF,pcpi_pch,BRA,1.5,2.27815111612467,10.6758478381444
IMF,pcpi_pch,CHE,1.5,0.837135698839169,1.12303585710507
IMF,pcpi_pch,CHN,1.5,1.39438384471172,3.40542897328689
IMF,pcpi_pch,ESP,1.5,1.45187289342868,4.10793110382007
IMF,pcpi_pch,IND,1.5,2.45244687413331,9.71188794259987
IMF,pcpi_pch,KOR,1.5,1.15814524418145,2.20541115608181
IMF,pcpi_pch,MEX,1.5,1.31808041145633,2.98326236600698
