target_year,target,horizon,method,error_method,source,score
2014,pcpi_pch,1.5,rolling window,absolute,IMF,0.462921522203919
2015,pcpi_pch,1.5,rolling window,absolute,IMF,0.671066934941897
2016,pcpi_pch,1.5,rolling window,absolute,IMF,0.471744667031669
2017,pcpi_pch,1.5,rolling window,absolute,IMF,0.431563035876003
2018,pcpi_pch,1.5,rolling window,absolute,IMF,0.398636483728506
2019,pcpi_pch,1.5,rolling window,absolute,IMF,0.408018306766308
2020,pcpi_pch,1.5,rolling window,absolute,IMF,0.842861082858919
2021,pcpi_pch,1.5,rolling window,absolute,IMF,1.07397714108721
2022,pcpi_pch,1.5,rolling window,absolute,IMF,4.80672783856161
2023,pcpi_pch,1.5,rolling window,absolute,IMF,1.66602861842881
2013,ngdp_rpch,0,rolling window,absolute,ar,0.0789924173231727
2014,ngdp_rpch,0,rolling window,absolute,ar,0.0833727646007487
2015,ngdp_rpch,0,rolling window,absolute,ar,0.0826323145948738
2016,ngdp_rpch,0,rolling window,absolute,ar,0.0710241807894497
2017,ngdp_rpch,0,rolling window,absolute,ar,0.0711288416102477
2018,ngdp_rpch,0,rolling window,absolute,ar,0.084154324537782
2019,ngdp_rpch,0,rolling window,absolute,ar,0.188593814858381
2020,ngdp_rpch,0,rolling window,absolute,ar,0.550496596768662
2021,ngdp_rpch,0,rolling window,absolute,ar,0.1368347678651
2022,ngdp_rpch,0,rolling window,absolute,ar,0.112098044082343
2023,ngdp_rpch,0,rolling window,absolute,ar,0.105251373545547
2013,ngdp_rpch,0.5,rolling window,absolute,ar,0.36708431937085
2014,ngdp_rpch,0.5,rolling window,absolute,ar,0.547724074940781
2015,ngdp_rpch,0.5,rolling window,absolute,ar,0.446248437367992
2016,ngdp_rpch,0.5,rolling window,absolute,ar,0.434623711210411
2017,ngdp_rpch,0.5,rolling window,absolute,ar,0.377264830135657
2018,ngdp_rpch,0.5,rolling window,absolute,ar,0.401566435564946
2019,ngdp_rpch,0.5,rolling window,absolute,ar,0.417133198977673
2020,ngdp_rpch,0.5,rolling window,absolute,ar,2.86716904720235
2021,ngdp_rpch,0.5,rolling window,absolute,ar,1.66287514785579
