model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
IMF,directional,rolling window,ngdp_rpch,0.779909462043462,0.301361408249515,0.157933563531372,0.320614490262575,-0.0860119047619048,,,0.446428571428571,0.681547619047619
IMF,directional,rolling window,pcpi_pch,0.345766596257319,0.132728393012822,0.142030886154296,0.0710073170902001,-0.164880952380952,,,0.369047619047619,0.601190476190476
ar,directional,rolling window,ngdp_rpch,0.67406538614899,0.206805260002313,0.100463217756244,0.366796908390433,-0.0949404761904762,,,0.428571428571429,0.681547619047619
ar,directional,rolling window,pcpi_pch,0.363863916051579,0.119520191580082,0.145864125624809,0.0984795988466882,-0.199107142857143,,,0.321428571428571,0.580357142857143
bvar,directional,rolling window,ngdp_rpch,0.667672913906476,0.211431463118956,0.115177114131805,0.341064336655715,-0.0919642857142857,,,0.443452380952381,0.672619047619048
bvar,directional,rolling window,pcpi_pch,0.410030427514273,0.128476201566826,0.197594330080604,0.0839598958668437,-0.222916666666667,,,0.306547619047619,0.547619047619048
