target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,ar,0.0830180368059985,0.0789677717071421,0,0.00405026509885644,0.391343992889996,0.682000753894981,0.536672373392488,0.857142857142857,1,0,0.142857142857143,1,1
2014,ngdp_rpch,0,ar,0.0802146871774937,0.0785692687857697,0,0.001645418391724,0.370293855159439,0.678559105651276,0.524426480405357,0.714285714285714,1,0,0.285714285714286,1,1
2015,ngdp_rpch,0,ar,0.0780887010895011,0.0780887010895011,0,0,0.354946124892628,0.674408709558452,0.51467741722554,1,1,0,0,1,1
2016,ngdp_rpch,0,ar,0.0775809430821342,0.0775809430821342,0,0,0.352638150312651,0.670023485861056,0.511330818086853,1,1,0,0,1,1
2017,ngdp_rpch,0,ar,0.0769782729060268,0.0769782729060268,0,0,0.349898759842416,0.664818558514496,0.507358659178456,1,1,0,0,1,1
2018,ngdp_rpch,0,ar,0.0765442457374722,0.0765442457374722,0,0,0.347925923062867,0.661070107092276,0.504498015077572,1,1,0,0,1,1
2019,ngdp_rpch,0,ar,0.16821263353861,0.0760328327077332,0,0.0921798008308765,0.827478087047354,1.29555745315381,1.06151777010058,0.571428571428571,0.857142857142857,0.142857142857143,0.428571428571429,1,1
2020,ngdp_rpch,0,ar,0.430208375323352,0.112780745328672,0.304873236015656,0.0125543939790242,2.02096013788812,3.55176716174673,2.78636364981743,0.285714285714286,0.714285714285714,0,0.142857142857143,0.428571428571429,0.714285714285714
2021,ngdp_rpch,0,ar,0.116998414042095,0.112580046589886,0.00441836745220832,0,0.547070796203682,0.972291290332687,0.759681043268184,0.833333333333333,1,0,0,0.833333333333333,1
2022,ngdp_rpch,0,ar,0.116106754455797,0.111835127198172,0,0.00427162725762587,0.542510901417122,0.965857835573145,0.754184368495133,0.666666666666667,1,0,0.333333333333333,1,1
2023,ngdp_rpch,0,ar,0.11109688005526,0.11109688005526,0,0,0.504982238314855,0.959482005318067,0.732232121816461,1,1,0,0,1,1
2013,ngdp_rpch,0.5,ar,0.319650966954569,0.319650966954569,0,0,1.45294863988922,2.76064773936834,2.10679818962878,1,1,0,0,1,1
2014,ngdp_rpch,0.5,ar,0.527122425707598,0.317231632983152,0.0180606495477707,0.191830143176674,2.65824728124824,3.89683031103134,3.27753879613979,0.571428571428571,0.857142857142857,0.142857142857143,0.285714285714286,0.857142857142857,1
2015,ngdp_rpch,0.5,ar,0.376993574907801,0.315856517227864,0,0.061137057679937,1.92479772484783,2.72787718603644,2.32633745544214,0.571428571428571,1,0,0.428571428571429,1,1
2016,ngdp_rpch,0.5,ar,0.378939790666425,0.313733955627712,0,0.0652058350387136,1.94770000484458,2.70954580121707,2.32862290303082,0.571428571428571,1,0,0.428571428571429,1,1
2017,ngdp_rpch,0.5,ar,0.311694942789501,0.311694942789501,0,0,1.41678515006876,2.69193598061812,2.05436056534344,1,1,0,0,1,1
2018,ngdp_rpch,0.5,ar,0.320566228609024,0.309557162351547,0,0.0110090662574764,1.49514056521007,2.67347315915529,2.08430686218268,0.857142857142857,1,0,0.142857142857143,1,1
2019,ngdp_rpch,0.5,ar,0.352969048254521,0.307749599414544,0,0.0452194488399768,1.76060748895094,2.65786224271307,2.209234865832,0.714285714285714,1,0,0.285714285714286,1,1
2020,ngdp_rpch,0.5,ar,2.66035322964231,0.318054715628752,0,2.34229851401355,11.9061950756567,23.4415769037045,17.6738859896806,0.142857142857143,0.142857142857143,0.857142857142857,0.857142857142857,1,1
2021,ngdp_rpch,0.5,ar,1.34731461578649,0.390700541835415,0.956614073951074,0,6.410169300943,10.9208690633723,8.66551918215765,0.166666666666667,0.666666666666667,0,0,0.166666666666667,0.666666666666667
2022,ngdp_rpch,0.5,ar,0.395350931215498,0.391760332347928,0,0.00359059886757002,1.80944094978881,3.38341624983793,2.59642859981337,0.833333333333333,1,0,0.166666666666667,1,1
2023,ngdp_rpch,0.5,ar,0.421714773213644,0.389386829010332,0,0.0323279442033119,2.02855113742682,3.36291762070583,2.69573437906633,0.5,1,0,0.5,1,1
2013,ngdp_rpch,1,ar,0.775447256474012,0.574250445640894,0,0.201196810833118,4.10842816074651,5.23787472761396,4.67315144418023,0.571428571428571,0.857142857142857,0.142857142857143,0.428571428571429,1,1
2014,ngdp_rpch,1,ar,0.787829914642471,0.571791846462963,0,0.216038068179509,4.20703623298643,5.23900771038336,4.72302197168489,0.571428571428571,0.857142857142857,0.142857142857143,0.428571428571429,1,1
2015,ngdp_rpch,1,ar,0.752444064519727,0.569000966875679,0,0.183443097644048,3.77715485380995,5.60599415586966,4.69157450483981,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,1,1
2016,ngdp_rpch,1,ar,0.632937633607869,0.56580989683411,0,0.0671277367737584,3.10886682828601,4.88658560144234,3.99772621486418,0.571428571428571,1,0,0.428571428571429,1,1
2017,ngdp_rpch,1,ar,0.562474916727231,0.562474916727231,0,0,2.5566860410805,4.85778323184336,3.70723463646193,1,1,0,0,1,1
2018,ngdp_rpch,1,ar,0.662125002885021,0.558147222648107,0,0.103977780236914,3.36883708571329,4.8204073434172,4.09462221456524,0.571428571428571,1,0,0.428571428571429,1,1
2019,ngdp_rpch,1,ar,0.605097097558299,0.555167665537019,0,0.0499294320212791,2.92290695459097,4.79467456468854,3.85879075963976,0.857142857142857,1,0,0.142857142857143,1,1
2020,ngdp_rpch,1,ar,6.65751037241989,0.551719750816752,0,6.10579062160314,29.1880593280154,60.1800591283593,44.6840592281873,0,0,1,1,1,1
2021,ngdp_rpch,1,ar,1.74508846551123,0.621233440636007,1.12385502487522,0,8.42114151645372,13.8489155190902,11.135028517772,0.166666666666667,0.666666666666667,0,0,0.166666666666667,0.666666666666667
2022,ngdp_rpch,1,ar,0.647269018278805,0.642954159297457,0,0.0043148589813475,2.95701705842792,5.55283771950631,4.25492738896711,0.833333333333333,1,0,0.166666666666667,1,1
2023,ngdp_rpch,1,ar,0.780312678212945,0.639290995752272,0,0.141021682460673,4.03402102092146,5.52120101195526,4.77761101643836,0.333333333333333,1,0,0.666666666666667,1,1
2013,ngdp_rpch,1.5,ar,1.01587143983445,0.634045418065947,0,0.381826021768506,5.28179885689968,7.11293165443985,6.19736525566977,0.428571428571429,0.714285714285714,0.285714285714286,0.571428571428571,1,1
2014,ngdp_rpch,1.5,ar,0.844586874101758,0.635356024785962,0,0.209230849315796,4.56180825090259,5.4872168547787,5.02451255284064,0.571428571428571,1,0,0.428571428571429,1,1
2015,ngdp_rpch,1.5,ar,0.778507893689979,0.630312474598718,0,0.14819541909126,4.05059974351183,5.44365851501999,4.74712912926591,0.428571428571429,1,0,0.571428571428571,1,1
2016,ngdp_rpch,1.5,ar,0.80563576775788,0.627475233988868,0,0.178160533769012,4.27742420413787,5.41915484481292,4.8482895244754,0.571428571428571,1,0,0.428571428571429,1,1
2017,ngdp_rpch,1.5,ar,0.626619243733452,0.623753321888458,0,0.00286592184499428,2.85814964641047,5.38701075864287,4.12258020252667,0.857142857142857,1,0,0.142857142857143,1,1
2018,ngdp_rpch,1.5,ar,0.703248621645801,0.619651434312443,0,0.0835971873333586,3.48535495897415,5.35158503548065,4.4184699972274,0.714285714285714,1,0,0.285714285714286,1,1
2019,ngdp_rpch,1.5,ar,0.755808981989242,0.615408482409405,0,0.140400499579837,3.91326218417713,5.33302417934203,4.62314318175958,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,1,1
2020,ngdp_rpch,1.5,ar,6.77842468322318,0.612477004575399,0,6.16594767864778,29.9534141879857,60.6849581944994,45.3191861912425,0,0,1,1,1,1
2021,ngdp_rpch,1.5,ar,3.59298411386832,0.590314640842274,3.00266947302605,0,16.7105559224364,30.0832924712754,23.3969241968559,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667
2022,ngdp_rpch,1.5,ar,0.718389169277068,0.675621152065267,0.0427680172118009,0,3.41312760233424,5.83496437970575,4.62404599102,0.666666666666667,1,0,0,0.666666666666667,1
2023,ngdp_rpch,1.5,ar,0.869391185435356,0.677825173772326,0,0.191566011663029,4.61352976740568,5.8539992901929,5.23376452879929,0.333333333333333,1,0,0.666666666666667,1,1
2013,pcpi_pch,0,ar,0.0868038824701937,0.0743763764504689,0,0.0124275060197248,0.437492089776106,0.642347424963609,0.539919757369857,0.428571428571429,1,0,0.571428571428571,1,1
2014,pcpi_pch,0,ar,0.101556341692062,0.0743169645907135,0,0.027239377101349,0.520948082752234,0.728756626960666,0.62485235485645,0.428571428571429,0.714285714285714,0.285714285714286,0.571428571428571,1,1
2015,pcpi_pch,0,ar,0.101868547604071,0.0744208140673421,0,0.0274477335367285,0.517364702217958,0.743959196536516,0.630661949377237,0.571428571428571,0.857142857142857,0.142857142857143,0.428571428571429,1,1
2016,pcpi_pch,0,ar,0.0791312097675481,0.0743884029203688,0,0.00474280684717929,0.376069161780458,0.642451290899816,0.509260226340137,0.857142857142857,1,0,0.142857142857143,1,1
2017,pcpi_pch,0,ar,0.0832701523665372,0.0740917779463243,0,0.00917837442021287,0.400289608513935,0.664679026045907,0.532484317279921,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,1,1
2018,pcpi_pch,0,ar,0.0923808241828363,0.0736509226936777,0,0.0187299014891586,0.480399192763024,0.646618501749165,0.563508847256095,0.428571428571429,0.857142857142857,0.142857142857143,0.571428571428571,1,1
2019,pcpi_pch,0,ar,0.0864185021487334,0.0735836409763469,0,0.0128348611723864,0.416662577397048,0.686713599482047,0.551688088439548,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,1,1
2020,pcpi_pch,0,ar,0.0786443655385399,0.0735736852654692,0,0.00507068027307072,0.374988913374297,0.635415027335056,0.505201970354676,0.857142857142857,1,0,0.142857142857143,1,1
2021,pcpi_pch,0,ar,0.0708685613039411,0.0708685613039411,0,0,0.322127540355922,0.612052375189018,0.46708995777247,1,1,0,0,1,1
2022,pcpi_pch,0,ar,0.130657928163948,0.0712990094917299,0.053790052522364,0.00556886614985415,0.682818659306899,0.906111915011712,0.794465287159306,0.333333333333333,0.666666666666667,0,0.166666666666667,0.5,0.666666666666667
2023,pcpi_pch,0,ar,0.0885206194672586,0.0714449382824952,0,0.0170756811847634,0.461352866617234,0.617030222802088,0.539191544709661,0.333333333333333,1,0,0.666666666666667,1,1
2013,pcpi_pch,0.5,ar,0.301941110209445,0.297821764922768,0,0.004119345286677,1.38668046003374,2.57212105410456,1.97940075706915,0.714285714285714,1,0,0.285714285714286,1,1
2014,pcpi_pch,0.5,ar,0.326077957191111,0.296504479119227,0.0253267625965771,0.00424671547530664,1.58432590202181,2.56074438876769,2.07253514539475,0.714285714285714,1,0,0.142857142857143,0.857142857142857,1
2015,pcpi_pch,0.5,ar,0.313643289034377,0.296996791641434,0.0166464973929431,0,1.48314782491727,2.56499621839437,2.02407202165582,0.714285714285714,1,0,0,0.714285714285714,1
2016,pcpi_pch,0.5,ar,0.331533949203079,0.297318106821155,0.0342158423819236,0,1.62516309801886,2.56777123901443,2.09646716851665,0.714285714285714,1,0,0,0.714285714285714,1
2017,pcpi_pch,0.5,ar,0.338533594434888,0.296261263974385,0,0.0422723304605036,1.68481120558277,2.55864387474083,2.1217275401618,0.571428571428571,1,0,0.428571428571429,1,1
2018,pcpi_pch,0.5,ar,0.316492933991771,0.29476194894486,0.0117142642948293,0.0100167207520814,1.51366542227372,2.54569512415111,2.02968027321241,0.714285714285714,1,0,0.142857142857143,0.857142857142857,1
2019,pcpi_pch,0.5,ar,0.351773293898626,0.294209335574934,0.0575639583236922,0,1.74675320551824,2.66858286417693,2.20766803484758,0.714285714285714,0.857142857142857,0,0,0.714285714285714,0.857142857142857
2020,pcpi_pch,0.5,ar,0.349620345448593,0.293479029028225,0,0.0561413164203677,1.7831166604372,2.53461525787886,2.15886595915803,0.428571428571429,1,0,0.571428571428571,1,1
2021,pcpi_pch,0.5,ar,0.385737146221086,0.278793132253698,0.106944013967388,0,1.86002970661153,3.0646686578929,2.46234918225222,0.833333333333333,0.833333333333333,0,0,0.833333333333333,0.833333333333333
