source,target,country,horizon,ae,sque
IMF,ngdp_rpch,CAN,1,0.982376020574427,1.93609146649713
IMF,ngdp_rpch,CAN,1.5,1.27716812974024,3.02636129109411
IMF,ngdp_rpch,CAN,0,0.192794642279228,0.0549076730963262
IMF,ngdp_rpch,CAN,0.5,0.431578778058291,0.262290368544833
IMF,ngdp_rpch,DEU,1,1.70035953907734,4.48871061812358
IMF,ngdp_rpch,DEU,1.5,2.10129940635824,6.92589162128992
IMF,ngdp_rpch,DEU,0,0.319449355743575,0.159823929259664
IMF,ngdp_rpch,DEU,0.5,0.769527287634837,1.01047290013444
IMF,ngdp_rpch,FRA,1,1.02414815011004,1.71994275347562
IMF,ngdp_rpch,FRA,1.5,1.30789030195563,2.84102689173556
IMF,ngdp_rpch,FRA,0,0.244132073035941,0.0907106862460173
IMF,ngdp_rpch,FRA,0.5,0.417795962304559,0.278963727025554
IMF,ngdp_rpch,GBR,1,1.10315087358948,2.62160908565739
IMF,ngdp_rpch,GBR,1.5,1.47266985726926,4.94185768600024
IMF,ngdp_rpch,GBR,0,0.282119371638074,0.113953987180502
IMF,ngdp_rpch,GBR,0.5,0.476384986536437,0.329062168219067
IMF,ngdp_rpch,ITA,1,1.60040613588781,4.12355858732293
IMF,ngdp_rpch,ITA,1.5,1.94294630462947,5.87020827551372
IMF,ngdp_rpch,ITA,0,0.24007061022618,0.118467397976829
IMF,ngdp_rpch,ITA,0.5,0.647806364291465,0.559373014834555
IMF,ngdp_rpch,JPN,1,1.52005302201369,4.68197967397847
IMF,ngdp_rpch,JPN,1.5,1.94055473750995,6.91605611770153
IMF,ngdp_rpch,JPN,0,0.637597013146241,0.658924693055133
IMF,ngdp_rpch,JPN,0.5,1.20455814934365,1.95472465555422
IMF,ngdp_rpch,USA,1,1.06271028095799,1.90719815604082
IMF,ngdp_rpch,USA,1.5,1.325493211072,3.0216414935224
IMF,ngdp_rpch,USA,0,0.445199878861766,0.31330186471424
IMF,ngdp_rpch,USA,0.5,0.469061753947186,0.351036430091159
IMF,pcpi_pch,CAN,1,0.525394016301331,0.487391066896189
IMF,pcpi_pch,CAN,1.5,0.593719009314179,0.591865684937979
IMF,pcpi_pch,CAN,0,0.17795034353974,0.0644294027136248
IMF,pcpi_pch,CAN,0.5,0.472903483972914,0.35062218799301
IMF,pcpi_pch,DEU,1,0.692415953611826,0.663838193209532
IMF,pcpi_pch,DEU,1.5,0.873675226873479,1.01319150568035
IMF,pcpi_pch,DEU,0,0.130527126056238,0.0234484130932779
IMF,pcpi_pch,DEU,0.5,0.279668360158678,0.122097693713031
IMF,pcpi_pch,FRA,1,0.711280534049992,0.661617085468908
IMF,pcpi_pch,FRA,1.5,0.66552414175668,0.617232171851577
IMF,pcpi_pch,FRA,0,0.124995549964216,0.0264889428751298
IMF,pcpi_pch,FRA,0.5,0.30194009481715,0.131475303640969
IMF,pcpi_pch,GBR,1,0.809364280926432,1.07656318463022
IMF,pcpi_pch,GBR,1.5,0.986677418559655,1.81083162202083
IMF,pcpi_pch,GBR,0,0.261620159273791,0.207816756471325
IMF,pcpi_pch,GBR,0.5,0.498168129357068,0.413109065104155
IMF,pcpi_pch,ITA,1,0.839064774905866,0.977004143673552
IMF,pcpi_pch,ITA,1.5,0.899966949442472,0.99250749905067
IMF,pcpi_pch,ITA,0,0.120405516404699,0.023844786597244
IMF,pcpi_pch,ITA,0.5,0.442535490286196,0.296611765126702
IMF,pcpi_pch,JPN,1,0.642480290256013,0.758317843669544
IMF,pcpi_pch,JPN,1.5,0.726519650596593,1.0132858032193
IMF,pcpi_pch,JPN,0,0.12317584554661,0.0232008732723632
IMF,pcpi_pch,JPN,0.5,0.340544817073263,0.16654409649783
IMF,pcpi_pch,USA,1,0.823407989674087,1.25283034974598
IMF,pcpi_pch,USA,1.5,0.922485960357975,1.26078742909985
IMF,pcpi_pch,USA,0,0.212944707912764,0.0598032706473034
IMF,pcpi_pch,USA,0.5,0.434222709258815,0.304216948391478
ar,ngdp_rpch,CAN,1,1.53240552457042,4.54329707303303
ar,ngdp_rpch,CAN,1.5,1.54683536691596,4.58411798467153
ar,ngdp_rpch,CAN,0,0.377477029297172,0.227114509332861
ar,ngdp_rpch,CAN,0.5,0.559870828133737,0.479044189993249
ar,ngdp_rpch,DEU,1,1.71552169096606,5.55265637333608
ar,ngdp_rpch,DEU,1.5,1.98158190455385,7.35110559169153
ar,ngdp_rpch,DEU,0,0.563924732428317,0.520306458953601
ar,ngdp_rpch,DEU,0.5,0.730669647907275,1.05591848877758
ar,ngdp_rpch,FRA,1,1.92481325216631,4.95597901842888
ar,ngdp_rpch,FRA,1.5,2.18759390536565,6.31140873920261
ar,ngdp_rpch,FRA,0,0.468374600505204,0.244891187139149
ar,ngdp_rpch,FRA,0.5,1.0815587907185,1.31085564343843
ar,ngdp_rpch,GBR,1,1.22523548916526,3.84513432291987
ar,ngdp_rpch,GBR,1.5,1.43050172878542,5.54465520035201
ar,ngdp_rpch,GBR,0,0.637333789504856,0.539267599986436
ar,ngdp_rpch,GBR,0.5,0.747045327881602,0.79467277173067
ar,ngdp_rpch,ITA,1,2.28967872880273,7.15716157082732
ar,ngdp_rpch,ITA,1.5,2.90702958688916,12.2891421370042
ar,ngdp_rpch,ITA,0,0.371627881186926,0.258836157558819
ar,ngdp_rpch,ITA,0.5,0.981976783456507,1.70877471675809
ar,ngdp_rpch,JPN,1,2.70239073991195,10.8407603173101
ar,ngdp_rpch,JPN,1.5,3.68176106720566,18.635124026086
