target,horizon,method,error_method,source,score
pcpi_pch,1.5,rolling window,absolute,bvar_const-direct,1.46786975369109
ngdp_rpch,0,rolling window,absolute,bvar_mix,0.347589657295103
ngdp_rpch,0.5,rolling window,absolute,bvar_mix,0.729231062515237
ngdp_rpch,1,rolling window,absolute,bvar_mix,1.42899588657648
ngdp_rpch,1.5,rolling window,absolute,bvar_mix,1.72646566167967
pcpi_pch,0,rolling window,absolute,bvar_mix,0.20548275820796
pcpi_pch,0.5,rolling window,absolute,bvar_mix,0.469070948649039
pcpi_pch,1,rolling window,absolute,bvar_mix,0.894380058547958
pcpi_pch,1.5,rolling window,absolute,bvar_mix,1.1522867185448
ngdp_rpch,0,rolling window,absolute,bvar_mix-direct,0.332652004842658
ngdp_rpch,0.5,rolling window,absolute,bvar_mix-direct,0.699878960860246
ngdp_rpch,1,rolling window,absolute,bvar_mix-direct,1.42445273302998
ngdp_rpch,1.5,rolling window,absolute,bvar_mix-direct,1.68423706922884
pcpi_pch,0,rolling window,absolute,bvar_mix-direct,0.201495776760849
pcpi_pch,0.5,rolling window,absolute,bvar_mix-direct,0.475231238334608
pcpi_pch,1,rolling window,absolute,bvar_mix-direct,0.961738766501498
pcpi_pch,1.5,rolling window,absolute,bvar_mix-direct,1.19320891971396
ngdp_rpch,0,rolling window,absolute,bvar_qu-direct,0.37574634671255
ngdp_rpch,0.5,rolling window,absolute,bvar_qu-direct,0.87038952420355
ngdp_rpch,1,rolling window,absolute,bvar_qu-direct,2.07812530390309
ngdp_rpch,1.5,rolling window,absolute,bvar_qu-direct,2.09483260470098
pcpi_pch,0,rolling window,absolute,bvar_qu-direct,0.209859492425326
pcpi_pch,0.5,rolling window,absolute,bvar_qu-direct,0.522568203534673
pcpi_pch,1,rolling window,absolute,bvar_qu-direct,1.09838731116113
pcpi_pch,1.5,rolling window,absolute,bvar_qu-direct,1.26692294231702
ngdp_rpch,0,rolling window,absolute,mean_ensemble,0.26452466308172
ngdp_rpch,0.5,rolling window,absolute,mean_ensemble,0.603353301014021
ngdp_rpch,1,rolling window,absolute,mean_ensemble,1.38474739793319
ngdp_rpch,1.5,rolling window,absolute,mean_ensemble,1.61322355438111
pcpi_pch,0,rolling window,absolute,mean_ensemble,0.154488403887245
pcpi_pch,0.5,rolling window,absolute,mean_ensemble,0.407425900095275
pcpi_pch,1,rolling window,absolute,mean_ensemble,0.968280042532825
pcpi_pch,1.5,rolling window,absolute,mean_ensemble,1.21174909408212
