model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95,interval_score_30,interval_score_90
IMF,absolute,rolling window,ngdp_rpch,0,0.297969050625502,0.105943599413652,0.159231516618923,0.0327939345929279,1.27918168042981,2.29818665922027,1.5607742042512,0.202702702702703,0.256756756756757,0.378378378378378,0.445945945945946,0.554054054054054,0.635135135135135,0.702702702702703,0.783783783783784,0.824324324324324,0.0405405405405405,0.0405405405405405,0.0540540540540541,0.0945945945945946,0.121621621621622,0.162162162162162,0.202702702702703,0.22972972972973,0.27027027027027,0.472972972972973,0.486486486486487,0.581081081081081,0.608108108108108,0.675675675675676,0.72972972972973,0.756756756756757,0.824324324324324,0.864864864864865,0.988734714166353,3.34102724940288
IMF,absolute,rolling window,ngdp_rpch,0.5,0.518367057865252,0.211637299180168,0.184459538936996,0.122270219748088,2.25381444075636,3.9579428824207,2.63993448329312,0.148648648648649,0.216216216216216,0.256756756756757,0.445945945945946,0.581081081081081,0.689189189189189,0.72972972972973,0.783783783783784,0.837837837837838,0.0540540540540541,0.0675675675675676,0.121621621621622,0.148648648648649,0.189189189189189,0.27027027027027,0.391891891891892,0.432432432432432,0.45945945945946,0.608108108108108,0.648648648648649,0.648648648648649,0.716216216216216,0.77027027027027,0.837837837837838,0.851351351351351,0.851351351351351,0.891891891891892,1.73744824890185,5.11652879792405
IMF,absolute,rolling window,ngdp_rpch,1,1.1890933105985,0.283610078674712,0.10901588550893,0.796467346414856,5.1052290354603,9.73173633858012,6.47537649506508,0.22972972972973,0.283783783783784,0.378378378378378,0.445945945945946,0.567567567567568,0.635135135135135,0.702702702702703,0.72972972972973,0.837837837837838,0.135135135135135,0.189189189189189,0.202702702702703,0.243243243243243,0.256756756756757,0.337837837837838,0.391891891891892,0.45945945945946,0.486486486486487,0.716216216216216,0.743243243243243,0.77027027027027,0.783783783783784,0.824324324324324,0.878378378378378,0.905405405405405,0.918918918918919,0.972972972972973,3.79140793204031,15.392345629586
IMF,absolute,rolling window,ngdp_rpch,1.5,1.27054408864197,0.344991674067226,0.109801324040896,0.815751090533849,5.48094005983405,10.3664687940624,6.87849180178848,0.202702702702703,0.310810810810811,0.472972972972973,0.554054054054054,0.567567567567568,0.635135135135135,0.702702702702703,0.77027027027027,0.851351351351351,0.121621621621622,0.189189189189189,0.22972972972973,0.256756756756757,0.310810810810811,0.324324324324324,0.405405405405405,0.513513513513514,0.594594594594595,0.797297297297297,0.824324324324324,0.878378378378378,0.878378378378378,0.878378378378378,0.891891891891892,0.932432432432432,0.959459459459459,0.972972972972973,4.10504671771419,16.046595503193
IMF,absolute,rolling window,pcpi_pch,0,0.10615102351307,0.047984973775978,0.027971412534344,0.0301946372027481,0.46018582104187,0.741124448077641,0.521887146605809,0.175675675675676,0.27027027027027,0.337837837837838,0.472972972972973,0.581081081081081,0.648648648648649,0.743243243243243,0.810810810810811,0.878378378378378,0.0675675675675676,0.0810810810810811,0.121621621621622,0.175675675675676,0.202702702702703,0.256756756756757,0.364864864864865,0.418918918918919,0.445945945945946,0.621621621621622,0.689189189189189,0.702702702702703,0.72972972972973,0.783783783783784,0.824324324324324,0.864864864864865,0.891891891891892,0.945945945945946,0.375873211428521,0.92302698094315
IMF,absolute,rolling window,pcpi_pch,0.5,0.425046634150956,0.122101443790044,0.258798251916818,0.044146938444093,1.8071246021572,3.25704445222988,2.25014423569895,0.148648648648649,0.22972972972973,0.378378378378378,0.45945945945946,0.567567567567568,0.594594594594595,0.689189189189189,0.702702702702703,0.77027027027027,0.0405405405405405,0.0675675675675676,0.0810810810810811,0.175675675675676,0.189189189189189,0.27027027027027,0.27027027027027,0.378378378378378,0.405405405405405,0.554054054054054,0.608108108108108,0.648648648648649,0.72972972972973,0.756756756756757,0.77027027027027,0.77027027027027,0.77027027027027,0.810810810810811,1.43135533487408,5.11379883869264
IMF,absolute,rolling window,pcpi_pch,1,0.924666167958309,0.256125381275134,0.499401398786975,0.1691393878962,3.86878719294334,6.93505788240247,4.86344034402919,0.0675675675675676,0.135135135135135,0.297297297297297,0.378378378378378,0.432432432432432,0.527027027027027,0.608108108108108,0.716216216216216,0.756756756756757,0.0945945945945946,0.135135135135135,0.216216216216216,0.297297297297297,0.337837837837838,0.364864864864865,0.432432432432432,0.513513513513514,0.554054054054054,0.621621621621622,0.648648648648649,0.72972972972973,0.743243243243243,0.77027027027027,0.824324324324324,0.824324324324324,0.851351351351351,0.851351351351351,3.11716923139399,11.0980220995313
IMF,absolute,rolling window,pcpi_pch,1.5,1.11856661467313,0.292500976252392,0.673991739884004,0.152073898536732,4.74114397164423,8.39709161418526,5.89495186641309,0.121621621621622,0.202702702702703,0.27027027027027,0.324324324324324,0.418918918918919,0.445945945945946,0.513513513513514,0.621621621621622,0.72972972972973,0.0540540540540541,0.162162162162162,0.243243243243243,0.297297297297297,0.310810810810811,0.378378378378378,0.405405405405405,0.45945945945946,0.5,0.621621621621622,0.662162162162162,0.675675675675676,0.702702702702703,0.72972972972973,0.743243243243243,0.756756756756757,0.783783783783784,0.783783783783784,3.75292410685231,13.6373446251365
ar,absolute,rolling window,ngdp_rpch,0,0.344141616402887,0.160545753166443,0.0122330501798569,0.171362813056587,1.48497049365631,2.35535806378503,1.696553037061,0.216216216216216,0.337837837837838,0.364864864864865,0.472972972972973,0.567567567567568,0.675675675675676,0.716216216216216,0.824324324324324,0.864864864864865,0.135135135135135,0.162162162162162,0.243243243243243,0.283783783783784,0.378378378378378,0.472972972972973,0.554054054054054,0.581081081081081,0.662162162162162,0.878378378378378,0.918918918918919,0.918918918918919,0.945945945945946,0.945945945945946,0.959459459459459,0.959459459459459,0.986486486486486,1,1.21406047747284,3.18781335537875
ar,absolute,rolling window,ngdp_rpch,0.5,0.828890639881245,0.27661430574932,0.0427962063517388,0.509480127780185,3.48699566657445,6.18943510294262,4.29188036213096,0.202702702702703,0.283783783783784,0.351351351351351,0.418918918918919,0.540540540540541,0.635135135135135,0.72972972972973,0.783783783783784,0.837837837837838,0.148648648648649,0.202702702702703,0.256756756756757,0.324324324324324,0.418918918918919,0.5,0.567567567567568,0.608108108108108,0.675675675675676,0.878378378378378,0.891891891891892,0.918918918918919,0.918918918918919,0.959459459459459,0.959459459459459,0.986486486486486,0.986486486486486,0.986486486486486,2.79755332753979,9.21108041759223
