target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2013,ngdp_rpch,0,rolling window,absolute,IMF,0.201691921264275,0.176003571938287,0.0256883493259875,0,0.988263993604944,1.56317844127313,1.27572121743904,0.8,1,0,0,0.8,1
2014,ngdp_rpch,0,rolling window,absolute,IMF,0.285155610319719,0.181247257611797,0.0916335459959092,0.0122748067120125,1.38545733026024,2.23946888074377,1.81246310550201,0.6,0.8,0,0.1,0.7,0.8
2015,ngdp_rpch,0,rolling window,absolute,IMF,0.190113158515702,0.172861278076502,0,0.0172518804391995,0.920740994511766,1.50041068403462,1.21057583927319,0.9,1,0,0.1,1,1
2016,ngdp_rpch,0,rolling window,absolute,IMF,0.193223408641311,0.162254200407288,0.0296232571128784,0.001345951121144,0.950426292810952,1.48840244079884,1.21941436680489,0.5,1,0,0.1,0.6,1
2017,ngdp_rpch,0,rolling window,absolute,IMF,0.169603592287759,0.134042679982344,0.035560912305415,0,0.749977094013212,1.51712911072216,1.13355310236769,0.9,0.9,0,0,0.9,0.9
2018,ngdp_rpch,0,rolling window,absolute,IMF,0.159400906264044,0.12212726810616,0.0133045340782365,0.023969104079648,0.746389695885938,1.32204388556604,1.03421679072599,0.6,0.8,0.1,0.3,0.9,0.9
2019,ngdp_rpch,0,rolling window,absolute,IMF,0.28267239967918,0.113321846762482,0.0181757216827365,0.151174831233962,1.41849856615035,2.10720157820773,1.76285007217904,0.6,0.7,0.2,0.3,0.9,0.9
2020,ngdp_rpch,0,rolling window,absolute,IMF,1.36313362145812,0.111438414780442,1.25169520667767,0,6.0385465688217,12.1663060071081,9.10242628796488,0,0,0,0,0,0
2021,ngdp_rpch,0,rolling window,absolute,IMF,0.48734548891296,0.135180451607247,0.177617271336737,0.174547765968976,2.24379576975088,4.13742035388198,3.19060806181643,0.3,0.6,0.2,0.4,0.7,0.8
2022,ngdp_rpch,0,rolling window,absolute,IMF,0.511304987442103,0.150030504136529,0.350586597428223,0.010687885877351,2.33415001945763,4.39072470019798,3.36243735982781,0.5,0.6,0.1,0.1,0.6,0.7
2023,ngdp_rpch,0,rolling window,absolute,IMF,0.318685281910175,0.140622090766727,0.174796075846767,0.00326711529668107,1.57303704144815,2.44111303458313,2.00707503801564,0.4,0.7,0,0.1,0.5,0.7
2013,ngdp_rpch,0.5,rolling window,absolute,IMF,0.585551977006333,0.357662776811603,0.0011096701947015,0.226779530000029,2.97386828616587,4.276368824712,3.62511855543893,0.6,0.8,0.2,0.3,0.9,1
2014,ngdp_rpch,0.5,rolling window,absolute,IMF,0.415990659283078,0.365844162111196,0.036718283803216,0.0134282133686665,2.18000286110845,2.86980603289043,2.52490444699944,0.7,1,0,0.1,0.8,1
2015,ngdp_rpch,0.5,rolling window,absolute,IMF,0.47275384910612,0.325729699494272,0.0217512019614635,0.125272947650384,2.23198614506352,3.87511161946361,3.05354888226356,0.8,0.8,0.1,0.1,0.9,0.9
2016,ngdp_rpch,0.5,rolling window,absolute,IMF,0.369322250497852,0.317610635019024,0.051711615478828,0,1.89102063808911,2.65889341473427,2.27495702641169,0.8,1,0,0,0.8,1
2017,ngdp_rpch,0.5,rolling window,absolute,IMF,0.341128994800179,0.299192777926173,0.02632420466146,0.0156120122125455,1.57738551843122,2.87911609992553,2.22825080917838,0.8,0.8,0.1,0.1,0.9,0.9
2018,ngdp_rpch,0.5,rolling window,absolute,IMF,0.289537111837357,0.27372285969155,0.00425133920527201,0.011562912940535,1.34368514965105,2.4315293626195,1.88760725613528,0.7,1,0,0.2,0.9,1
2019,ngdp_rpch,0.5,rolling window,absolute,IMF,0.562953737943752,0.258554431916756,0,0.304399306026996,2.63980012388638,4.65957444915909,3.64968728652274,0.8,0.8,0.2,0.2,1,1
2020,ngdp_rpch,0.5,rolling window,absolute,IMF,2.52133435645869,0.265762621194968,1.21236129224228,1.04321044302144,11.0399839095243,22.8267273553631,16.9333556324437,0.1,0.3,0.2,0.3,0.4,0.5
2021,ngdp_rpch,0.5,rolling window,absolute,IMF,0.657099111752254,0.272131654523288,0.138436591361107,0.246530865867859,3.40025206671947,4.6413520682464,4.02080206748293,0.3,0.5,0.3,0.3,0.6,0.8
2022,ngdp_rpch,0.5,rolling window,absolute,IMF,1.1823624011999,0.271679320805892,0.800391858750691,0.11029122164332,5.55422155717468,9.76169413106136,7.65795784411802,0.2,0.4,0.1,0.2,0.4,0.5
2023,ngdp_rpch,0.5,rolling window,absolute,IMF,0.65586155830249,0.287823450473671,0.349401254901526,0.0186368529272931,3.66088105458596,3.96502852958491,3.81295479208543,0.4,0.8,0,0.1,0.5,0.8
2013,ngdp_rpch,1,rolling window,absolute,IMF,0.666095324975773,0.56523459258661,0,0.100860732389163,3.50415453151066,4.56152017073882,4.03283735112474,0.7,0.9,0.1,0.3,1,1
2014,ngdp_rpch,1,rolling window,absolute,IMF,0.694338671237538,0.570305262159836,0.0555269794572281,0.0685064296204739,3.62745441947025,4.81813737607514,4.2227958977727,0.6,1,0,0.2,0.8,1
