model,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar_ciss,ngdp_rpch,0,0.132247052726652,0.121340172521991,0.00055233335681907,0.0103545468478421,0.177272727272727,,,0.763636363636364,0.890909090909091
bvar_ciss,ngdp_rpch,0.5,0.57609145173622,0.415243303853,0.0163386385657628,0.144509509317457,0.168181818181818,,,0.690909090909091,0.945454545454546
bvar_ciss,ngdp_rpch,1,1.77005465463701,1.09118582190411,0.0107948487494353,0.668073983983464,0.122727272727273,,,0.672727272727273,0.872727272727273
bvar_ciss,ngdp_rpch,1.5,1.87949638497059,0.939195547705949,0.293876852191393,0.646423985073247,0.0863636363636363,,,0.654545454545455,0.818181818181818
bvar_ciss,pcpi_pch,0,0.0976517724510341,0.0465262558391786,0.0152444603820262,0.0358810562298293,-0.231818181818182,,,0.236363636363636,0.6
bvar_ciss,pcpi_pch,0.5,0.355822981143025,0.197049057425026,0.140606611530641,0.0181673121873583,0.05,,,0.527272727272727,0.872727272727273
bvar_ciss,pcpi_pch,1,0.904223385585861,0.384201648785985,0.312504469863237,0.207517266936639,-0.222727272727273,,,0.309090909090909,0.545454545454545
bvar_ciss,pcpi_pch,1.5,0.956908789289056,0.411238468292839,0.348170979541277,0.197499341454941,-0.159090909090909,,,0.363636363636364,0.618181818181818
bvar_qu,ngdp_rpch,0,0.133144634846537,0.112418740701259,0.000243878008101775,0.0204820161371763,0.154054054054054,,,0.702702702702703,0.905405405405405
bvar_qu,ngdp_rpch,0.5,0.618245147778035,0.401121701473833,0.00858386884935318,0.208539577454849,0.140540540540541,,,0.689189189189189,0.891891891891892
bvar_qu,ngdp_rpch,1,1.61961019423653,0.946791807038758,0.00180796119645203,0.671010426001318,0.0864864864864865,,,0.621621621621622,0.851351351351351
bvar_qu,ngdp_rpch,1.5,1.76441491257836,0.856144132992013,0.252370257460574,0.655900522125771,0.0527027027027027,,,0.608108108108108,0.797297297297297
bvar_qu,pcpi_pch,0,0.0882625553788053,0.0529034041300998,0.00861775670969666,0.0267413945390088,-0.0621621621621622,,,0.445945945945946,0.72972972972973
bvar_qu,pcpi_pch,0.5,0.351943861875417,0.267842045161038,0.0755211322728667,0.00858068444151247,0.160810810810811,,,0.689189189189189,0.932432432432432
bvar_qu,pcpi_pch,1,0.787639506161747,0.591636114865797,0.0887706575935168,0.107232733702433,0.0662162162162162,,,0.567567567567568,0.864864864864865
bvar_qu,pcpi_pch,1.5,0.908905788905311,0.735902711052561,0.0709005403115718,0.102102537541178,0.0797297297297297,,,0.527027027027027,0.932432432432432
