model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
bvar,CAN,ngdp_rpch,0,0.278992333732929,0.0526881152164157,0.0433863359814826,0.18291788253503,-0.432608695652174,,,0.130434782608696,0.304347826086957
bvar,CAN,ngdp_rpch,0.5,0.430298457248974,0.259886904327846,0.00446166432223261,0.165949888598895,-0.0195652173913044,,,0.521739130434783,0.739130434782609
bvar,CAN,ngdp_rpch,1,0.941662083187185,0.48914555699928,0.00186158126783886,0.450654944920067,0.0318181818181818,,,0.545454545454545,0.818181818181818
bvar,CAN,ngdp_rpch,1.5,0.995927533549049,0.581308526712912,0,0.414619006836138,0.122727272727273,,,0.681818181818182,0.863636363636364
bvar,CAN,pcpi_pch,0,0.0906640900456444,0.043893824839937,0.0053768172551876,0.0413934479505198,0.00217391304347824,,,0.521739130434783,0.782608695652174
bvar,CAN,pcpi_pch,0.5,0.434323697793551,0.262742290593543,0.00920971251051295,0.162371694689495,0.0456521739130435,,,0.565217391304348,0.826086956521739
bvar,CAN,pcpi_pch,1,0.826206063852307,0.590185984851575,0.000820118505672268,0.23519996049506,0.0772727272727273,,,0.545454545454545,0.909090909090909
bvar,CAN,pcpi_pch,1.5,1.25218008194493,0.80092614684981,0,0.45125393509512,0.0545454545454545,,,0.545454545454545,0.863636363636364
bvar,DEU,ngdp_rpch,0,0.491020539193594,0.0741601782442023,0.10022597488338,0.316634386066012,-0.323913043478261,,,0.260869565217391,0.391304347826087
bvar,DEU,ngdp_rpch,0.5,0.624275879161096,0.283311328198011,0.0371529190365624,0.303811631926523,-0.0195652173913044,,,0.521739130434783,0.739130434782609
bvar,DEU,ngdp_rpch,1,0.88108028159762,0.47173508637346,0.0127132045729759,0.396631990651183,0.0545454545454545,,,0.590909090909091,0.818181818181818
bvar,DEU,ngdp_rpch,1.5,0.985791437706405,0.510741989067573,0.018406730343212,0.45664271829562,0.0318181818181818,,,0.545454545454545,0.818181818181818
bvar,DEU,pcpi_pch,0,0.157078761675795,0.0409537400592619,0.0723085401110172,0.0438164815055159,-0.215217391304348,,,0.304347826086957,0.565217391304348
bvar,DEU,pcpi_pch,0.5,0.309786260629052,0.210041494793372,0.0130306569209435,0.0867141089147362,0.0239130434782608,,,0.521739130434783,0.826086956521739
bvar,DEU,pcpi_pch,1,0.588956404695915,0.41578454410505,0.0270508864760355,0.146120974114829,0.1,,,0.590909090909091,0.909090909090909
bvar,DEU,pcpi_pch,1.5,0.743488909520825,0.501551455799862,0,0.241937453720963,0.0545454545454545,,,0.545454545454545,0.863636363636364
bvar,FRA,ngdp_rpch,0,0.268284197313445,0.0374752046826341,0.0262253883767743,0.204583604254037,-0.497826086956522,,,0.0869565217391304,0.217391304347826
bvar,FRA,ngdp_rpch,0.5,0.378734720791291,0.16821446957844,0.0214349958838585,0.189085255328992,-0.258695652173913,,,0.217391304347826,0.565217391304348
