model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,AUS,ngdp_rpch,0,0.195392794150106,0.183583820460779,0.0115023894799429,0.000306584209384582,0.888537493513804,1.46162382099262,1.17508065725321,0.666666666666667,0.916666666666667,0,0.0833333333333333,0.75,0.916666666666667
IMF,absolute,rolling window,AUS,ngdp_rpch,0.5,0.558862401922872,0.26055418654982,0.264476470373557,0.0338317449994946,1.25305217969567,2.33949224195465,1.79627221082516,0.583333333333333,0.833333333333333,0,0.166666666666667,0.75,0.833333333333333
IMF,absolute,rolling window,AUS,ngdp_rpch,1,0.44674154544467,0.332232226292217,0,0.114509319152452,1.62893733007972,2.66664550267449,2.14779141637711,0.666666666666667,0.75,0.25,0.333333333333333,1,1
IMF,absolute,rolling window,AUS,ngdp_rpch,1.5,0.574793885684447,0.308953469397583,0.117931828134748,0.147908588152116,1.53340161028729,2.60149879643576,2.06745020336153,0.5,0.75,0.166666666666667,0.333333333333333,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,BRA,ngdp_rpch,0,0.450428956876493,0.366842004972593,0.0186657498584863,0.0649212020454138,1.73121927974506,3.11048564982908,2.42085246478707,0.583333333333333,0.916666666666667,0.0833333333333333,0.25,0.833333333333333,1
IMF,absolute,rolling window,BRA,ngdp_rpch,0.5,0.87550141007456,0.646504390697955,0.0426008290962183,0.186396190280386,2.8494975279825,6.08557833991009,4.46753793394629,0.416666666666667,0.916666666666667,0.0833333333333333,0.416666666666667,0.833333333333333,1
IMF,absolute,rolling window,BRA,ngdp_rpch,1,1.2138421681172,0.688083715567173,0.150701961132204,0.375056491417823,3.34227016829348,5.96260311748669,4.65243664289008,0.416666666666667,0.666666666666667,0.25,0.416666666666667,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,BRA,ngdp_rpch,1.5,1.39897735150643,0.799254075456894,0.23869397387019,0.361029302179343,3.90273186716573,6.82815129585901,5.36544158151237,0.5,0.75,0.166666666666667,0.416666666666667,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,CHE,ngdp_rpch,0,0.259416336589299,0.189368257686609,0.0669298678105462,0.00311821109214281,0.894023891110486,1.61394413752023,1.25398401431536,0.5,0.833333333333333,0,0.25,0.75,0.833333333333333
IMF,absolute,rolling window,CHE,ngdp_rpch,0.5,0.436741480532136,0.386099025538119,0.0423720275554371,0.00827042743857967,2.04128237397596,2.67499782489332,2.35814009943464,0.583333333333333,0.916666666666667,0,0.166666666666667,0.75,0.916666666666667
IMF,absolute,rolling window,CHE,ngdp_rpch,1,0.780779809062795,0.586569240786399,0.0610937803125425,0.133116787963853,3.11432011635501,4.11798042205794,3.61615026920647,0.583333333333333,0.833333333333333,0.0833333333333333,0.333333333333333,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,CHE,ngdp_rpch,1.5,0.946329348943017,0.569100282233471,0.151152020701208,0.226077046008339,2.92194591263427,4.40480919061763,3.66337755162595,0.5,0.75,0.166666666666667,0.25,0.75,0.916666666666667
IMF,absolute,rolling window,CHN,ngdp_rpch,0,0.380288295889288,0.256606463349509,0.114048822204072,0.00963301033570711,1.15255734412729,2.38583627732137,1.76919681072433,0.5,0.833333333333333,0,0.0833333333333333,0.583333333333333,0.833333333333333
IMF,absolute,rolling window,CHN,ngdp_rpch,0.5,0.674309377214346,0.398070690752136,0.27623868646221,0,2.05537202405479,3.07466051050077,2.56501626727778,0.416666666666667,0.583333333333333,0,0,0.416666666666667,0.583333333333333
IMF,absolute,rolling window,CHN,ngdp_rpch,1,0.908160026193638,0.640352010255016,0.267808015938622,0,3.2864663024724,4.8556344688426,4.0710503856575,0.583333333333333,0.833333333333333,0,0,0.583333333333333,0.833333333333333
IMF,absolute,rolling window,CHN,ngdp_rpch,1.5,1.07211783448951,0.592846208665037,0.474149252991558,0.00512237283291668,2.6377852839474,5.69890430222692,4.16834479308716,0.416666666666667,0.666666666666667,0,0.0833333333333333,0.5,0.666666666666667
IMF,absolute,rolling window,ESP,ngdp_rpch,0,0.153827294839906,0.0922752740472466,0.0308662296880518,0.0306857911046071,0.457908219677146,0.756133076792438,0.607020648234792,0.583333333333333,0.75,0.0833333333333333,0.166666666666667,0.75,0.833333333333333
IMF,absolute,rolling window,ESP,ngdp_rpch,0.5,0.264556271182171,0.174288157166786,0.02447849645178,0.0657896175636045,0.866732521827021,1.40061694703184,1.13367473442943,0.583333333333333,0.75,0.166666666666667,0.25,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,ESP,ngdp_rpch,1,0.780324009797243,0.23815908060725,0.0207701266508571,0.521394802539136,1.32352559298186,1.8851769139256,1.60435125345373,0.416666666666667,0.666666666666667,0.25,0.416666666666667,0.833333333333333,0.916666666666667
IMF,absolute,rolling window,ESP,ngdp_rpch,1.5,1.05772129350342,0.26165686742547,0.02110004780737,0.774964378270581,1.42145260799637,2.29534668720936,1.85839964760287,0.416666666666667,0.666666666666667,0.25,0.5,0.916666666666667,0.916666666666667
IMF,absolute,rolling window,IDN,ngdp_rpch,0,0.217934909588619,0.207036273923882,0.0108986356647367,0,0.927586555977335,1.83538238311522,1.38148446954628,0.833333333333333,1,0,0,0.833333333333333,1
IMF,absolute,rolling window,IDN,ngdp_rpch,0.5,0.496236674304489,0.416923748217248,0.0793129260872408,0,1.55851703834406,4.5275226219586,3.04301983015133,0.916666666666667,0.916666666666667,0,0,0.916666666666667,0.916666666666667
