model,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95,interval_score_30,interval_score_90
ar,ngdp_rpch,0,0.333531964338167,0.0709176386807518,0.0203731876422971,0.242241138015118,1.46216781611906,2.41244091500824,1.71258596691964,0.0405405405405405,0.135135135135135,0.189189189189189,0.256756756756757,0.364864864864865,0.405405405405405,0.472972972972973,0.527027027027027,0.689189189189189,0.297297297297297,0.405405405405405,0.45945945945946,0.527027027027027,0.554054054054054,0.594594594594595,0.662162162162162,0.689189189189189,0.702702702702703,0.743243243243243,0.824324324324324,0.851351351351351,0.851351351351351,0.918918918918919,0.932432432432432,0.932432432432432,0.932432432432432,0.986486486486486,1.16406763852963,3.4500328554026
ar,ngdp_rpch,0.5,0.801794143569882,0.264531502836847,0.0361970592921794,0.501065581440856,3.45796142514165,6.12944679998022,4.21570380937741,0.108108108108108,0.22972972972973,0.324324324324324,0.472972972972973,0.594594594594595,0.716216216216216,0.797297297297297,0.837837837837838,0.864864864864865,0.121621621621622,0.148648648648649,0.189189189189189,0.256756756756757,0.378378378378378,0.486486486486487,0.594594594594595,0.662162162162162,0.743243243243243,0.851351351351351,0.891891891891892,0.918918918918919,0.959459459459459,0.972972972972973,0.972972972972973,0.986486486486486,0.986486486486486,0.986486486486486,2.7440475049901,9.02528554779816
ar,ngdp_rpch,1,1.49724708251642,0.461686988820514,0.0627795317096683,0.972780561986236,6.38764493277789,11.6440005933095,7.97819915507829,0.108108108108108,0.202702702702703,0.283783783783784,0.45945945945946,0.648648648648649,0.716216216216216,0.783783783783784,0.824324324324324,0.891891891891892,0.0945945945945946,0.162162162162162,0.189189189189189,0.256756756756757,0.324324324324324,0.5,0.675675675675676,0.756756756756757,0.810810810810811,0.918918918918919,0.959459459459459,0.959459459459459,0.959459459459459,0.972972972972973,0.972972972972973,0.972972972972973,0.986486486486486,0.986486486486486,5.04758686557817,17.8068768659328
ar,ngdp_rpch,1.5,1.77466417115642,0.501137286686183,0.1977053091032,1.07582157536704,7.58141601771102,13.0604344078044,9.18266469889808,0.0945945945945946,0.135135135135135,0.216216216216216,0.364864864864865,0.486486486486487,0.608108108108108,0.756756756756757,0.797297297297297,0.824324324324324,0.135135135135135,0.148648648648649,0.175675675675676,0.324324324324324,0.432432432432432,0.540540540540541,0.689189189189189,0.756756756756757,0.77027027027027,0.864864864864865,0.891891891891892,0.905405405405405,0.905405405405405,0.918918918918919,0.932432432432432,0.932432432432432,0.945945945945946,0.959459459459459,6.16722943200076,19.4132857404025
ar,pcpi_pch,0,0.196116269217189,0.0583131463033998,0.102076333663346,0.0357267892504427,0.843120746066217,1.53232091907723,1.0476827795165,0.0810810810810811,0.216216216216216,0.310810810810811,0.445945945945946,0.608108108108108,0.689189189189189,0.77027027027027,0.810810810810811,0.851351351351351,0.0540540540540541,0.0675675675675676,0.108108108108108,0.175675675675676,0.202702702702703,0.310810810810811,0.378378378378378,0.432432432432432,0.513513513513514,0.594594594594595,0.648648648648649,0.689189189189189,0.756756756756757,0.810810810810811,0.864864864864865,0.878378378378378,0.878378378378378,0.905405405405405,0.660970236879821,2.34567293616808
ar,pcpi_pch,0.5,0.458260381157886,0.232240352708339,0.17294994751342,0.0530700809361259,2.01535243815241,3.33807794944618,2.34077416750247,0.202702702702703,0.283783783783784,0.418918918918919,0.472972972972973,0.675675675675676,0.77027027027027,0.891891891891892,0.932432432432432,0.945945945945946,0,0,0,0.0540540540540541,0.121621621621622,0.22972972972973,0.256756756756757,0.337837837837838,0.378378378378378,0.581081081081081,0.621621621621622,0.675675675675676,0.702702702702703,0.797297297297297,0.824324324324324,0.891891891891892,0.932432432432432,0.945945945945946,1.6233838216605,4.50153772054755
ar,pcpi_pch,1,1.04870733593181,0.502733532676226,0.244585246385872,0.301388556869709,4.51959367916121,6.89770133370107,5.05228251450343,0.0945945945945946,0.162162162162162,0.27027027027027,0.432432432432432,0.540540540540541,0.72972972972973,0.810810810810811,0.837837837837838,0.918918918918919,0.027027027027027,0.0540540540540541,0.0810810810810811,0.162162162162162,0.351351351351351,0.432432432432432,0.554054054054054,0.648648648648649,0.702702702702703,0.797297297297297,0.810810810810811,0.824324324324324,0.864864864864865,0.891891891891892,0.891891891891892,0.891891891891892,0.891891891891892,0.945945945945946,3.81092976002555,8.36481503867664
ar,pcpi_pch,1.5,1.36483665557924,0.647505273083179,0.237171261411695,0.480160121084364,5.78828612544457,8.15628826228829,6.3667654878079,0.0540540540540541,0.0945945945945946,0.22972972972973,0.283783783783784,0.445945945945946,0.689189189189189,0.797297297297297,0.905405405405405,0.945945945945946,0.0135135135135135,0.0405405405405405,0.108108108108108,0.216216216216216,0.432432432432432,0.581081081081081,0.635135135135135,0.756756756756757,0.783783783783784,0.837837837837838,0.851351351351351,0.864864864864865,0.864864864864865,0.878378378378378,0.905405405405405,0.905405405405405,0.945945945945946,0.959459459459459,5.15907424810799,10.3227931278091
ar_annual,ngdp_rpch,0,1.61344223632936,0.413622640456842,0.523577378348892,0.676242217523625,7.04272585695613,13.5985012949344,8.99475331857047,0.22972972972973,0.418918918918919,0.513513513513514,0.581081081081081,0.689189189189189,0.77027027027027,0.783783783783784,0.797297297297297,0.824324324324324,0.0945945945945946,0.0945945945945946,0.108108108108108,0.108108108108108,0.148648648648649,0.216216216216216,0.243243243243243,0.283783783783784,0.391891891891892,0.621621621621622,0.702702702702703,0.756756756756757,0.797297297297297,0.837837837837838,0.878378378378378,0.891891891891892,0.891891891891892,0.918918918918919,5.26220729737455,21.544181020338
ar_annual,ngdp_rpch,0.5,1.61650211380666,0.413867355792238,0.527138849845996,0.675495908168424,7.05724130992533,13.6249537294359,9.00830543353481,0.216216216216216,0.405405405405405,0.540540540540541,0.581081081081081,0.689189189189189,0.77027027027027,0.783783783783784,0.797297297297297,0.824324324324324,0.0945945945945946,0.0945945945945946,0.108108108108108,0.108108108108108,0.148648648648649,0.216216216216216,0.22972972972973,0.297297297297297,0.378378378378378,0.594594594594595,0.702702702702703,0.77027027027027,0.797297297297297,0.837837837837838,0.878378378378378,0.891891891891892,0.891891891891892,0.918918918918919,5.27236628870899,21.5524099324511
