country,target,target_year,forecast_season,horizon,forecast_year,prediction,tv_0.5,tv_1,tv_1.5,tv_2
CAN,pcpi_pch,2001,S,1.5,2000,1.950224564531,2.54467897330315,2.54467897330315,2.54467897330315,2.51780077809565
CAN,pcpi_pch,2001,F,1,2000,2.05716779240688,2.54467897330315,2.54467897330315,2.54467897330315,2.51780077809565
CAN,pcpi_pch,2001,S,0.5,2001,2.99102328155023,2.54467897330315,2.54467897330315,2.54467897330315,2.51780077809565
CAN,pcpi_pch,2001,F,0,2001,3.10277295629358,2.54467897330315,2.54467897330315,2.54467897330315,2.51780077809565
CAN,pcpi_pch,2002,S,1.5,2001,2.15511557897725,2.02969231872592,2.27695832736599,2.29860365198735,2.29860365198735
CAN,pcpi_pch,2002,F,1,2001,2.30325950597698,2.02969231872592,2.27695832736599,2.29860365198735,2.29860365198735
CAN,pcpi_pch,2002,S,0.5,2002,0.885081053587844,2.02969231872592,2.27695832736599,2.29860365198735,2.29860365198735
CAN,pcpi_pch,2002,F,0,2002,1.75121322657836,2.02969231872592,2.27695832736599,2.29860365198735,2.29860365198735
CAN,pcpi_pch,2003,S,1.5,2002,1.8128899881162,2.73694526109434,2.73694526109434,2.74394512109841,2.74394512109841
CAN,pcpi_pch,2003,F,1,2002,2.1323009571345,2.73694526109434,2.73694526109434,2.74394512109841,2.74394512109841
CAN,pcpi_pch,2003,S,0.5,2003,3.07009215555252,2.73694526109434,2.73694526109434,2.74394512109841,2.74394512109841
CAN,pcpi_pch,2003,F,0,2003,2.83169100406533,2.73694526109434,2.73694526109434,2.74394512109841,2.74394512109841
CAN,pcpi_pch,2004,S,1.5,2003,2.05203708097148,1.84630058591067,1.84630058591067,1.832674751328,1.832674751328
CAN,pcpi_pch,2004,F,1,2003,1.72195310807912,1.84630058591067,1.84630058591067,1.832674751328,1.832674751328
CAN,pcpi_pch,2004,S,0.5,2004,1.41202996286323,1.84630058591067,1.84630058591067,1.832674751328,1.832674751328
CAN,pcpi_pch,2004,F,0,2004,1.94326335025052,1.84630058591067,1.84630058591067,1.832674751328,1.832674751328
CAN,pcpi_pch,2005,S,1.5,2004,1.90121867779545,2.23456211948951,2.23456211948951,2.23456211948951,2.23000955718358
CAN,pcpi_pch,2005,F,1,2004,2.16431636867425,2.23456211948951,2.23456211948951,2.23456211948951,2.23000955718358
CAN,pcpi_pch,2005,S,0.5,2005,2.13787262164946,2.23456211948951,2.23456211948951,2.23456211948951,2.23000955718358
CAN,pcpi_pch,2005,F,0,2005,2.2118960782598,2.23456211948951,2.23456211948951,2.23456211948951,2.23000955718358
CAN,pcpi_pch,2006,S,1.5,2005,1.87720365668618,2.00248674824881,2.00218136491059,2.00997195387975,2.00997195387975
