country,target,target_year,true_value
CAN,ngdp_rpch,2017,3.04737801390693
CAN,ngdp_rpch,2018,1.87856366208394
CAN,ngdp_rpch,2019,1.65604085094309
CAN,ngdp_rpch,2020,-5.3129447501408
CAN,ngdp_rpch,2021,4.5408872787436
CAN,ngdp_rpch,2022,3.43798171948653
CAN,ngdp_rpch,2023,1.06599445140878
DEU,ngdp_rpch,2017,2.45594890842831
DEU,ngdp_rpch,2018,1.52236925015754
DEU,ngdp_rpch,2019,0.55529804105785
DEU,ngdp_rpch,2020,-4.56020537412051
DEU,ngdp_rpch,2021,2.62464165025065
DEU,ngdp_rpch,2022,1.80426632512853
DEU,ngdp_rpch,2023,-0.305051208295937
FRA,ngdp_rpch,2017,2.33529539865456
FRA,ngdp_rpch,2018,1.72488062763387
FRA,ngdp_rpch,2019,1.50859403441284
FRA,ngdp_rpch,2020,-7.98819078871232
FRA,ngdp_rpch,2021,6.76606459469806
FRA,ngdp_rpch,2022,2.52231337616071
FRA,ngdp_rpch,2023,0.86881527549143
GBR,ngdp_rpch,2017,1.6560346560895
GBR,ngdp_rpch,2018,1.39760759179965
GBR,ngdp_rpch,2019,1.4626589546002
GBR,ngdp_rpch,2020,-9.84667051167981
GBR,ngdp_rpch,2021,7.4412731055332
GBR,ngdp_rpch,2022,4.10162138348227
GBR,ngdp_rpch,2023,0.144709005427246
ITA,ngdp_rpch,2017,1.50231065958828
ITA,ngdp_rpch,2018,0.85827259991893
ITA,ngdp_rpch,2019,0.301279492160456
ITA,ngdp_rpch,2020,-8.87112896375047
ITA,ngdp_rpch,2021,6.64381519550785
ITA,ngdp_rpch,2022,3.72168611578712
ITA,ngdp_rpch,2023,0.920674092768148
JPN,ngdp_rpch,2017,1.73455711424073
JPN,ngdp_rpch,2018,0.813910543121343
JPN,ngdp_rpch,2019,0.671252257857047
JPN,ngdp_rpch,2020,-4.58550489671646
JPN,ngdp_rpch,2021,1.65706435844588
JPN,ngdp_rpch,2022,1.04667399896798
JPN,ngdp_rpch,2023,1.92306254493957
USA,ngdp_rpch,2017,2.21697472139168
USA,ngdp_rpch,2018,2.92714310170588
USA,ngdp_rpch,2019,2.16103554190437
USA,ngdp_rpch,2020,-3.40453982427588
USA,ngdp_rpch,2021,5.67101992417607
USA,ngdp_rpch,2022,2.0619792144744
USA,ngdp_rpch,2023,2.5309262878602
CAN,pcpi_pch,2017,1.6100759592282
CAN,pcpi_pch,2018,2.24252491694275
CAN,pcpi_pch,2019,1.94926902411596
CAN,pcpi_pch,2020,0.716999632307869
CAN,pcpi_pch,2021,3.39519318527535
CAN,pcpi_pch,2022,6.79651641755912
CAN,pcpi_pch,2023,3.87900159788375
DEU,pcpi_pch,2017,1.70180972937142
DEU,pcpi_pch,2018,1.92684519921553
DEU,pcpi_pch,2019,1.34550696780396
DEU,pcpi_pch,2020,0.371424055634884
DEU,pcpi_pch,2021,3.21234548460752
DEU,pcpi_pch,2022,8.66580212067982
DEU,pcpi_pch,2023,6.03018603018661
FRA,pcpi_pch,2017,1.16477107512925
FRA,pcpi_pch,2018,2.1015891265963
FRA,pcpi_pch,2019,1.29986084410552
FRA,pcpi_pch,2020,0.524886446654382
FRA,pcpi_pch,2021,2.06401364950475
FRA,pcpi_pch,2022,5.90425037922173
FRA,pcpi_pch,2023,5.66248684672044
GBR,pcpi_pch,2017,2.68313137409242
GBR,pcpi_pch,2018,2.47805619002151
GBR,pcpi_pch,2019,1.79102058670546
GBR,pcpi_pch,2020,0.850654028201903
GBR,pcpi_pch,2021,2.58822195007149
GBR,pcpi_pch,2022,9.06674555470392
GBR,pcpi_pch,2023,7.30632315461042
ITA,pcpi_pch,2017,1.32577336779818
ITA,pcpi_pch,2018,1.2425938117179
ITA,pcpi_pch,2019,0.633991709339177
ITA,pcpi_pch,2020,-0.145384056215159
ITA,pcpi_pch,2021,1.94127638922592
ITA,pcpi_pch,2022,8.73601523446799
ITA,pcpi_pch,2023,5.90338587273818
JPN,pcpi_pch,2017,0.468016672438654
JPN,pcpi_pch,2018,0.978850018173216
JPN,pcpi_pch,2019,0.477144681289365
JPN,pcpi_pch,2020,-0.0267035843209973
JPN,pcpi_pch,2021,-0.235059398476534
JPN,pcpi_pch,2022,2.49719970271902
JPN,pcpi_pch,2023,3.26810528520602
USA,pcpi_pch,2017,2.13865884094739
USA,pcpi_pch,2018,2.43540102188979
USA,pcpi_pch,2019,1.81175136075482
USA,pcpi_pch,2020,1.24837385110157
USA,pcpi_pch,2021,4.68522973968026
USA,pcpi_pch,2022,7.98648196903904
USA,pcpi_pch,2023,4.12826962787756
