country,target,target_year,prediction
CAN,gdp_growth,2024,1.3443075651431
CAN,gdp_growth,2025,2.392837469457
DEU,gdp_growth,2024,0.00701837879528711
DEU,gdp_growth,2025,0.785867908107218
FRA,gdp_growth,2024,1.09806069517624
FRA,gdp_growth,2025,1.0558507894016
GBR,gdp_growth,2024,1.08298189177825
GBR,gdp_growth,2025,1.48364765284077
ITA,gdp_growth,2024,0.672113285018883
ITA,gdp_growth,2025,0.762388717652707
JPN,gdp_growth,2024,0.321509784708529
JPN,gdp_growth,2025,1.13666020623515
USA,gdp_growth,2024,2.76497220691871
USA,gdp_growth,2025,2.1532607062912
CAN,inflation,2024,2.43931175105141
CAN,inflation,2025,1.87361390656267
DEU,inflation,2024,2.37374290144703
DEU,inflation,2025,2.02805205954684
FRA,inflation,2024,2.31298357759455
FRA,inflation,2025,1.63998661074876
GBR,inflation,2024,2.62350431151746
GBR,inflation,2025,2.07448693937125
ITA,inflation,2024,1.2653474509102
ITA,inflation,2025,2.14248742112668
JPN,inflation,2024,2.23292059854427
JPN,inflation,2025,1.98847121522932
USA,inflation,2024,2.98732469794052
USA,inflation,2025,1.85243812923885
