country,target,target_year,imf_pp,horizon,true_value,error,quantile,prediction,error_prediction,source,error_method,method,holdout
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.05,2.0167596155398,-0.45413226883557,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.1,2.08350859211908,-0.38738329225629,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.15,2.10061224527662,-0.37027963909875,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.2,2.10523957553648,-0.36565230883889,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.25,2.10797026630185,-0.36292161807352,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.3,2.12644672630222,-0.34444515807315,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.35,2.15133646870505,-0.31955541567032,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.4,2.23839929570537,-0.23249258867,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.45,2.33575785874112,-0.13513402563425,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.55,2.60602591000962,0.13513402563425,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.6,2.70338447304537,0.23249258867,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.65,2.79044730004569,0.31955541567032,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.7,2.81533704244852,0.34444515807315,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.75,2.83381350244889,0.36292161807352,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.8,2.83654419321426,0.36565230883889,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.85,2.84117152347412,0.37027963909875,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.9,2.85827517663166,0.38738329225629,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.47089188437537,0,2.32761911831765,0.14327276605772,0.95,2.92502415321094,0.45413226883557,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.05,1.34949958549417,-1.61127982949112,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.1,2.11009954190342,-0.85067987308187,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.15,2.12990313761791,-0.83087627736738,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.2,2.32373059730602,-0.63704881767927,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.25,2.67605846343825,-0.28472095154704,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.3,2.68088951416137,-0.27988990082392,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.35,2.68923608366123,-0.27154333132406,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.4,2.79244074294951,-0.16833867203578,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.45,2.92093419483312,-0.03984522015217,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.55,3.00062463513746,0.03984522015217,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.6,3.12911808702107,0.16833867203578,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.65,3.23232274630935,0.27154333132406,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.7,3.24066931580921,0.27988990082392,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.75,3.24550036653233,0.28472095154704,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.8,3.59782823266456,0.63704881767927,IMF,absolute,rolling window,_ho
AUS,ngdp_rpch,2013,2.96077941498529,0.5,2.32761911831765,0.63316029666764,0.85,3.79165569235267,0.83087627736738,IMF,absolute,rolling window,_ho
