model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
model1,absolute,rolling window,ngdp_rpch,0,0.378782432239331,0.127679713227144,0.211772444549199,0.0393302744629882,0.685346498405829,1.26217717079755,0.581818181818182,0.754545454545455,0.0454545454545455,0.118181818181818,0.7,0.8
model1,absolute,rolling window,ngdp_rpch,0.5,0.766672393508126,0.261462446584327,0.271293692012063,0.233916254911736,1.39316204058353,2.43348598048332,0.554545454545455,0.754545454545455,0.109090909090909,0.2,0.754545454545455,0.863636363636364
model1,absolute,rolling window,ngdp_rpch,1,1.24920284655684,0.414322721589771,0.124010115260106,0.710870009706959,2.15663474892365,3.95800080070165,0.572727272727273,0.790909090909091,0.163636363636364,0.290909090909091,0.863636363636364,0.954545454545455
model1,absolute,rolling window,ngdp_rpch,1.5,1.41775672232816,0.516758082637824,0.089941906720259,0.811056732970073,2.68027415271052,4.97153317025168,0.563636363636364,0.781818181818182,0.209090909090909,0.336363636363636,0.9,0.990909090909091
model1,absolute,rolling window,pcpi_pch,0,0.218447069409903,0.0926349215977668,0.0492800835958918,0.0765320642162441,0.530106367416033,0.903161056665149,0.554545454545455,0.745454545454546,0.154545454545455,0.3,0.854545454545455,0.9
model1,absolute,rolling window,pcpi_pch,0.5,0.649831512201531,0.223347819387913,0.243632386947614,0.182851305866003,1.19418793344948,2.06240943120136,0.445454545454545,0.7,0.127272727272727,0.327272727272727,0.772727272727273,0.827272727272727
model1,absolute,rolling window,pcpi_pch,1,1.16193446846323,0.45970969256162,0.511815710329576,0.190409065572031,2.51878746192065,4.15437067460066,0.545454545454545,0.772727272727273,0.0727272727272727,0.245454545454545,0.790909090909091,0.845454545454546
model1,absolute,rolling window,pcpi_pch,1.5,1.38603122865041,0.54498086619716,0.581628385797133,0.259421976656116,2.96259433247549,4.61366140277274,0.536363636363636,0.727272727272727,0.109090909090909,0.245454545454545,0.781818181818182,0.836363636363636
